episode,Objective,Banana,Chicken
399,100,30,0
400,100,30,0
401,100,30,0
402,100,30,0
403,100,30,0
404,100,30,0
405,100,30,0
406,100,30,0
407,100,30,0
408,100,30,0
409,100,30,0
410,100,30,0
411,100,30,0
412,100,30,0
413,100,30,0
414,100,30,0
415,100,30,0
416,100,30,0
417,100,30,0
418,100,30,0
419,100,30,0
420,100,30,0
421,100,30,0
422,100,30,0
423,100,30,0
424,100,30,0
425,100,30,0
426,100,30,0
427,100,30,0
428,100,30,0
429,100,30,0
430,100,30,0
431,100,30,0
432,100,30,0
433,100,30,0
434,100,30,0
435,100,30,0
436,100,30,0
437,100,30,0
438,100,30,0
439,100,30,0
440,100,30,0
441,100,30,0
442,100,30,0
443,100,30,0
444,100,30,0
445,100,30,0
446,100,30,0
447,100,30,0
448,100,30,0
449,100,30,0
450,100,30,0
451,100,30,0
452,100,30,0
453,100,30,0
454,100,30,0
455,100,30,0
456,100,30,0
457,100,30,0
458,100,30,0
459,100,30,0
460,100,30,0
461,100,30,0
462,100,30,0
463,100,30,0
464,100,30,0
465,100,30,0
466,100,30,0
467,100,30,0
468,100,30,0
469,100,30,0
470,100,30,0
471,100,30,0
472,100,30,0
473,100,30,0
474,100,30,0
475,100,30,0
476,100,30,0
477,100,30,0
478,100,30,0
479,100,30,0
480,100,30,0
481,100,30,0
482,100,30,0
483,100,30,0
484,100,30,0
485,100,30,0
486,100,30,0
487,100,30,0
488,100,30,0
489,100,30,0
490,100,0,0
491,100,30,0
492,100,30,0
493,100,30,0
494,100,30,0
495,100,30,0
496,100,30,0
497,100,30,0
498,100,30,0
499,100,30,0
500,100,30,0
501,100,30,0
502,100,30,0
503,100,30,0
504,100,30,0
505,100,30,0
506,100,30,0
507,100,30,0
508,100,30,0
509,100,30,0
510,100,30,0
511,100,30,0
512,100,30,0
513,100,30,0
514,100,30,0
515,100,30,0
516,100,30,0
517,100,30,0
518,100,30,0
519,100,30,0
520,100,30,0
521,100,30,0
522,100,30,0
523,100,30,0
524,100,30,0
525,100,30,0
526,100,30,0
527,100,30,0
528,100,30,0
529,100,30,0
530,100,30,0
531,100,30,0
532,100,30,0
533,100,30,0
534,100,30,0
535,100,30,0
536,100,30,0
537,100,30,0
538,100,30,0
539,100,30,0
540,100,30,0
541,100,30,0
542,100,30,0
543,100,30,0
544,100,0,0
545,100,30,0
546,100,30,0
547,100,30,0
548,100,30,0
549,100,30,0
550,100,30,0
551,100,30,0
552,100,30,0
553,100,30,0
554,100,30,0
555,100,30,0
556,100,30,0
557,100,30,0
558,100,30,0
559,100,30,0
560,100,0,0
561,100,30,0
562,100,30,0
563,100,30,0
564,100,30,0
565,100,30,0
566,100,30,0
567,100,30,0
568,100,30,0
569,100,30,0
570,100,30,0
571,100,30,0
572,100,30,0
573,100,30,0
574,100,30,0
575,100,30,0
576,100,30,0
577,100,30,0
578,100,30,0
579,100,30,0
580,100,30,0
581,100,0,0
582,100,30,0
583,100,30,0
584,100,30,0
585,100,30,0
586,100,30,0
587,100,30,0
588,100,30,0
589,100,30,0
590,100,30,0
591,100,30,0
592,100,30,0
593,100,30,0
594,100,30,0
595,100,30,0
596,0,0,70
597,100,30,0
598,100,30,0
599,100,30,0
600,100,30,0
601,100,30,0
602,100,30,0
603,100,30,0
604,100,30,0
605,100,30,0
606,100,30,0
607,100,30,0
608,100,30,0
609,100,30,0
610,100,30,0
611,100,30,0
612,100,30,0
613,100,30,0
614,100,30,0
615,100,30,0
616,100,30,0
617,100,30,0
618,100,30,0
619,100,30,0
620,100,30,0
621,100,30,0
622,100,30,0
623,100,30,0
624,100,30,0
625,100,30,0
626,100,30,0
627,100,30,0
628,100,30,0
629,100,30,0
630,100,30,0
631,100,30,0
632,100,30,0
633,100,30,0
634,100,30,0
635,100,30,0
636,100,30,0
637,100,30,0
638,100,30,0
639,100,30,0
640,100,30,0
641,100,30,0
642,100,30,0
643,100,30,0
644,100,30,0
645,100,30,0
646,100,30,0
647,100,30,0
648,100,30,0
649,100,30,0
650,100,30,0
651,100,30,0
652,100,30,0
653,100,30,0
654,100,30,0
655,100,30,0
656,100,30,0
657,100,30,0
658,100,30,0
659,100,30,0
660,100,30,0
661,100,30,0
662,100,30,0
663,100,30,0
664,100,30,0
665,100,30,0
666,100,30,0
667,100,30,0
668,100,30,0
669,100,30,0
670,100,30,0
671,100,30,0
672,100,30,0
673,100,30,0
674,100,30,0
675,100,30,0
676,100,30,0
677,100,30,0
678,100,30,0
679,100,30,0
680,100,30,0
681,100,30,0
682,100,30,0
683,100,30,0
684,100,30,0
685,100,30,0
686,100,30,0
687,100,30,0
688,100,30,0
689,100,30,0
690,100,30,0
691,100,30,0
692,100,30,0
693,100,30,0
694,100,30,0
695,100,30,0
696,100,30,0
697,100,30,0
698,100,30,0
699,100,30,0
700,100,30,0
701,100,30,0
702,100,30,0
703,100,30,0
704,100,30,0
705,100,30,0
706,100,30,0
707,100,30,0
708,100,30,0
709,100,30,0
710,100,30,0
711,100,30,0
712,100,30,0
713,100,30,0
714,100,30,0
715,100,30,0
716,100,0,70
717,100,30,0
718,100,30,0
719,100,30,0
720,100,30,0
721,100,30,0
722,100,30,0
