_step,ep_info/total,seed,method
999,-207.3498050161372,1802391005,Base SO RL
1999,-306.4806886476255,1802391005,Base SO RL
2999,-231.133067567603,1802391005,Base SO RL
3999,-325.93637141850513,1802391005,Base SO RL
4999,-279.1089541518724,1802391005,Base SO RL
5999,-236.24923641640908,1802391005,Base SO RL
6999,-332.18449931981934,1802391005,Base SO RL
7999,-322.1474735879474,1802391005,Base SO RL
8999,-119.83878870087368,1802391005,Base SO RL
9999,-201.970339407434,1802391005,Base SO RL
10999,-291.1774929991723,1802391005,Base SO RL
11999,-300.1257370342797,1802391005,Base SO RL
12999,-272.5598593348584,1802391005,Base SO RL
13999,-348.85268292588376,1802391005,Base SO RL
14999,-184.47132209654924,1802391005,Base SO RL
15999,-119.51114932779572,1802391005,Base SO RL
16999,-179.37055656728324,1802391005,Base SO RL
17999,-136.9240223232159,1802391005,Base SO RL
18999,-304.4174194243676,1802391005,Base SO RL
19999,-148.76123567905708,1802391005,Base SO RL
20999,-178.63260861535167,1802391005,Base SO RL
21999,-79.70215836322389,1802391005,Base SO RL
22999,6.7801660145924645,1802391005,Base SO RL
23999,44.38902404985622,1802391005,Base SO RL
24999,15.537070149916705,1802391005,Base SO RL
25999,113.80643509030642,1802391005,Base SO RL
26999,173.6100943439058,1802391005,Base SO RL
27999,290.5794300226804,1802391005,Base SO RL
28999,357.47997076780405,1802391005,Base SO RL
29999,441.8408099145089,1802391005,Base SO RL
30999,499.87816827944505,1802391005,Base SO RL
31999,676.3387537061022,1802391005,Base SO RL
32999,842.2351769450844,1802391005,Base SO RL
33999,149.20875087523058,1802391005,Base SO RL
34999,1190.178279432134,1802391005,Base SO RL
35999,1330.8100841583537,1802391005,Base SO RL
36999,1401.6985189903376,1802391005,Base SO RL
37999,679.3448327384341,1802391005,Base SO RL
38999,435.57112085617416,1802391005,Base SO RL
39999,1798.2032046632703,1802391005,Base SO RL
40999,1856.7623820109511,1802391005,Base SO RL
41999,1862.0291505048383,1802391005,Base SO RL
42999,1912.2967554805396,1802391005,Base SO RL
43999,2044.608234636062,1802391005,Base SO RL
44999,2099.232869454351,1802391005,Base SO RL
45999,2130.244710832627,1802391005,Base SO RL
46999,2211.291736083701,1802391005,Base SO RL
47999,2242.2489124118247,1802391005,Base SO RL
48999,2298.9411538557893,1802391005,Base SO RL
49999,2387.96131842171,1802391005,Base SO RL
50999,2450.029935296342,1802391005,Base SO RL
51999,2484.1514090185315,1802391005,Base SO RL
52999,2549.674120341428,1802391005,Base SO RL
53999,2597.136927017599,1802391005,Base SO RL
54999,2602.902154528266,1802391005,Base SO RL
55999,2663.2563588042526,1802391005,Base SO RL
56999,2716.834417890305,1802391005,Base SO RL
57999,2764.9392704431234,1802391005,Base SO RL
58999,2802.546279117404,1802391005,Base SO RL
59999,2795.7374326675986,1802391005,Base SO RL
60999,2856.4090261893293,1802391005,Base SO RL
61999,2896.4054577386523,1802391005,Base SO RL
62999,2995.427874084047,1802391005,Base SO RL
63999,3010.3022522139163,1802391005,Base SO RL
64999,3096.4093912511144,1802391005,Base SO RL
65999,3089.099258715692,1802391005,Base SO RL
66999,3159.6761441746903,1802391005,Base SO RL
67999,3162.8339254218354,1802391005,Base SO RL
68999,3236.1335815724524,1802391005,Base SO RL
69999,3235.893109200257,1802391005,Base SO RL
70999,3293.982760874615,1802391005,Base SO RL
71999,3318.324451053716,1802391005,Base SO RL
72999,3311.522840515479,1802391005,Base SO RL
73999,3308.1371173868574,1802391005,Base SO RL
74999,3310.736041688162,1802391005,Base SO RL
75999,3321.2649793810665,1802391005,Base SO RL
76999,3433.946157525718,1802391005,Base SO RL
77999,3331.4753231636464,1802391005,Base SO RL
78999,3472.184149299507,1802391005,Base SO RL
79999,3445.9609326881096,1802391005,Base SO RL
80999,3462.494207449473,1802391005,Base SO RL
81999,3486.759777769784,1802391005,Base SO RL
82999,3449.2708063072146,1802391005,Base SO RL
