_step,ep_info/Goal,seed,condition
40980,0,1778554757,nominal
40986,0,1778554757,nominal
41239,0,1778554757,nominal
41265,1,1778554757,nominal
41332,0,1778554757,nominal
41357,1,1778554757,nominal
41642,0,1778554757,nominal
41696,0,1778554757,nominal
41757,0,1778554757,nominal
41780,0,1778554757,nominal
41919,0,1778554757,nominal
42097,-1,1778554757,nominal
42496,0,1778554757,nominal
42522,0,1778554757,nominal
42598,-1,1778554757,nominal
42641,0,1778554757,nominal
43224,-1,1778554757,nominal
43723,0,1778554757,nominal
43768,0,1778554757,nominal
44168,0,1778554757,nominal
44560,0,1778554757,nominal
44700,0,1778554757,nominal
44887,1,1778554757,nominal
44942,0,1778554757,nominal
44993,0,1778554757,nominal
45212,-1,1778554757,nominal
45619,0,1778554757,nominal
45921,-1,1778554757,nominal
45946,1,1778554757,nominal
46069,1,1778554757,nominal
46234,-1,1778554757,nominal
46241,0,1778554757,nominal
46641,0,1778554757,nominal
46810,1,1778554757,nominal
46970,1,1778554757,nominal
47098,0,1778554757,nominal
47109,0,1778554757,nominal
47212,0,1778554757,nominal
47488,0,1778554757,nominal
47555,1,1778554757,nominal
47610,0,1778554757,nominal
47734,1,1778554757,nominal
47909,0,1778554757,nominal
48012,0,1778554757,nominal
48148,-1,1778554757,nominal
48264,0,1778554757,nominal
48273,1,1778554757,nominal
48348,0,1778554757,nominal
48355,0,1778554757,nominal
49012,0,1778554757,nominal
49013,0,1778554757,nominal
49016,1,1778554757,nominal
49253,0,1778554757,nominal
49323,0,1778554757,nominal
49332,1,1778554757,nominal
49412,0,1778554757,nominal
49489,-1,1778554757,nominal
49555,0,1778554757,nominal
49765,0,1778554757,nominal
49829,1,1778554757,nominal
50367,0,1778554757,nominal
50428,0,1778554757,nominal
50560,-1,1778554757,nominal
50713,0,1778554757,nominal
50894,0,1778554757,nominal
51142,0,1778554757,nominal
51274,0,1778554757,nominal
51318,0,1778554757,nominal
51430,0,1778554757,nominal
51599,0,1778554757,nominal
51830,0,1778554757,nominal
51837,-1,1778554757,nominal
51904,0,1778554757,nominal
51939,-1,1778554757,nominal
52032,-1,1778554757,nominal
52075,1,1778554757,nominal
52475,0,1778554757,nominal
52496,0,1778554757,nominal
52519,0,1778554757,nominal
52727,0,1778554757,nominal
53037,0,1778554757,nominal
53381,-1,1778554757,nominal
53600,-1,1778554757,nominal
53688,0,1778554757,nominal
54237,0,1778554757,nominal
54354,0,1778554757,nominal
54483,0,1778554757,nominal
54631,0,1778554757,nominal
54751,-1,1778554757,nominal
54775,0,1778554757,nominal
55000,0,1778554757,nominal
55120,0,1778554757,nominal
55175,0,1778554757,nominal
55195,0,1778554757,nominal
55313,0,1778554757,nominal
55445,-1,1778554757,nominal
55711,-1,1778554757,nominal
55778,0,1778554757,nominal
55837,0,1778554757,nominal
56041,-1,1778554757,nominal
56113,0,1778554757,nominal
56178,0,1778554757,nominal
56206,1,1778554757,nominal
56382,0,1778554757,nominal
56731,0,1778554757,nominal
56920,0,1778554757,nominal
56985,0,1778554757,nominal
57227,0,1778554757,nominal
58151,0,1778554757,nominal
58179,1,1778554757,nominal
58301,0,1778554757,nominal
58378,0,1778554757,nominal
58466,0,1778554757,nominal
58528,0,1778554757,nominal
58801,0,1778554757,nominal
58853,0,1778554757,nominal
59005,1,1778554757,nominal
59101,0,1778554757,nominal
59115,0,1778554757,nominal
59125,1,1778554757,nominal
59331,1,1778554757,nominal
59446,0,1778554757,nominal
59515,0,1778554757,nominal
59824,0,1778554757,nominal
59975,-1,1778554757,nominal
60014,-1,1778554757,nominal
60551,0,1778554757,nominal
60566,-1,1778554757,nominal
60690,1,1778554757,nominal
60783,0,1778554757,nominal
60789,0,1778554757,nominal
61090,0,1778554757,nominal
61408,-1,1778554757,nominal
61500,0,1778554757,nominal
61581,0,1778554757,nominal
61835,1,1778554757,nominal
61981,0,1778554757,nominal
62027,1,1778554757,nominal
62254,0,1778554757,nominal
62381,0,1778554757,nominal
62507,0,1778554757,nominal
62641,1,1778554757,nominal
62750,0,1778554757,nominal
62781,1,1778554757,nominal
62988,-1,1778554757,nominal
63054,0,1778554757,nominal
63164,-1,1778554757,nominal
63363,-1,1778554757,nominal
63397,0,1778554757,nominal
64078,0,1778554757,nominal
64150,0,1778554757,nominal
64772,-1,1778554757,nominal
64851,0,1778554757,nominal
65019,-1,1778554757,nominal
65110,0,1778554757,nominal
65164,0,1778554757,nominal
65198,-1,1778554757,nominal
65230,0,1778554757,nominal
65251,0,1778554757,nominal
65341,1,1778554757,nominal
65433,0,1778554757,nominal
65671,0,1778554757,nominal
65781,-1,1778554757,nominal
66026,-1,1778554757,nominal
66233,0,1778554757,nominal
66354,-1,1778554757,nominal
66968,1,1778554757,nominal
67125,0,1778554757,nominal
67226,0,1778554757,nominal
67398,0,1778554757,nominal
67421,-1,1778554757,nominal
67547,0,1778554757,nominal
67597,0,1778554757,nominal
67604,0,1778554757,nominal
67624,0,1778554757,nominal
67819,0,1778554757,nominal
67821,0,1778554757,nominal
68157,-1,1778554757,nominal
68233,0,1778554757,nominal
68505,0,1778554757,nominal
68601,0,1778554757,nominal
68612,-1,1778554757,nominal
68667,0,1778554757,nominal
68679,1,1778554757,nominal
68875,1,1778554757,nominal
68957,0,1778554757,nominal
68964,-1,1778554757,nominal
69233,0,1778554757,nominal
69553,0,1778554757,nominal
69722,0,1778554757,nominal
69764,0,1778554757,nominal
69852,1,1778554757,nominal
69902,0,1778554757,nominal
70173,1,1778554757,nominal
70252,0,1778554757,nominal
70513,0,1778554757,nominal
70525,-1,1778554757,nominal
70606,0,1778554757,nominal
70802,0,1778554757,nominal
71202,0,1778554757,nominal
71471,-1,1778554757,nominal
71502,0,1778554757,nominal
71664,0,1778554757,nominal
71865,1,1778554757,nominal
71987,0,1778554757,nominal
72091,-1,1778554757,nominal
72119,-1,1778554757,nominal
72313,0,1778554757,nominal
72429,1,1778554757,nominal
72593,-1,1778554757,nominal
73067,0,1778554757,nominal
73094,1,1778554757,nominal
73207,0,1778554757,nominal
73524,0,1778554757,nominal
73717,1,1778554757,nominal
73959,0,1778554757,nominal
74117,0,1778554757,nominal
74409,1,1778554757,nominal
74489,0,1778554757,nominal
74684,1,1778554757,nominal
74803,0,1778554757,nominal
74993,-1,1778554757,nominal
75262,1,1778554757,nominal
75316,0,1778554757,nominal
75572,0,1778554757,nominal
75712,1,1778554757,nominal
76341,1,1778554757,nominal
76400,0,1778554757,nominal
76517,0,1778554757,nominal
76672,0,1778554757,nominal
76724,0,1778554757,nominal
76884,-1,1778554757,nominal
76917,0,1778554757,nominal
77072,0,1778554757,nominal
77321,1,1778554757,nominal
77327,0,1778554757,nominal
77726,0,1778554757,nominal
77872,0,1778554757,nominal
77963,1,1778554757,nominal
77998,0,1778554757,nominal
78121,0,1778554757,nominal
78275,0,1778554757,nominal
78285,-1,1778554757,nominal
78305,-1,1778554757,nominal
78335,-1,1778554757,nominal
78398,0,1778554757,nominal
78769,0,1778554757,nominal
78878,0,1778554757,nominal
78884,0,1778554757,nominal
78990,0,1778554757,nominal
79008,-1,1778554757,nominal
79135,0,1778554757,nominal
79658,1,1778554757,nominal
80250,0,1778554757,nominal
80469,-1,1778554757,nominal
80645,0,1778554757,nominal
80826,0,1778554757,nominal
81115,0,1778554757,nominal
81135,-1,1778554757,nominal
81198,1,1778554757,nominal
81226,0,1778554757,nominal
81455,0,1778554757,nominal
81515,0,1778554757,nominal
81746,1,1778554757,nominal
81979,0,1778554757,nominal
82133,0,1778554757,nominal
82142,0,1778554757,nominal
82363,1,1778554757,nominal
82407,0,1778554757,nominal
82542,0,1778554757,nominal
82960,0,1778554757,nominal
83342,0,1778554757,nominal
83366,0,1778554757,nominal
83979,0,1778554757,nominal
84028,0,1778554757,nominal
84290,0,1778554757,nominal
84569,0,1778554757,nominal
84584,0,1778554757,nominal
84603,0,1778554757,nominal
84648,1,1778554757,nominal
84788,0,1778554757,nominal
85135,-1,1778554757,nominal
85270,0,1778554757,nominal
85322,0,1778554757,nominal
85353,0,1778554757,nominal
85416,0,1778554757,nominal
86409,0,1778554757,nominal
86606,0,1778554757,nominal
86616,0,1778554757,nominal
86942,0,1778554757,nominal
87016,0,1778554757,nominal
87050,-1,1778554757,nominal
87349,0,1778554757,nominal
