"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"9822","0","0","0"
"9843","0","0","0"
"9853","0","0","0"
"9871","0","0","0"
"9872","0","0","0"
"9876","-1","-1","-1"
"9900","0","0","0"
"9965","0","0","0"
"9986","0","0","0"
"9987","0","0","0"
"9996","0","0","0"
"10055","0","0","0"
"10079","0","0","0"
"10122","0","0","0"
"10124","0","0","0"
"10135","0","0","0"
"10138","0","0","0"
"10155","0","0","0"
"10198","0","0","0"
"10213","0","0","0"
"10221","0","0","0"
"10222","0","0","0"
"10241","0","0","0"
"10243","0","0","0"
"10245","0","0","0"
"10259","0","0","0"
"10265","0","0","0"
"10271","0","0","0"
"10311","1","1","1"
"10386","0","0","0"
"10399","0","0","0"
"10435","0","0","0"
"10486","0","0","0"
"10494","0","0","0"
"10518","0","0","0"
"10524","0","0","0"
"10538","0","0","0"
"10545","0","0","0"
"10555","0","0","0"
"10584","0","0","0"
"10586","0","0","0"
"10589","0","0","0"
"10598","0","0","0"
"10613","0","0","0"
"10621","0","0","0"
"10653","0","0","0"
"10698","0","0","0"
"10700","0","0","0"
"10709","0","0","0"
"10711","0","0","0"
"10782","0","0","0"
"10787","0","0","0"
"10835","0","0","0"
"10855","0","0","0"
"10869","0","0","0"
"10873","0","0","0"
"10874","0","0","0"
"10897","0","0","0"
"10928","0","0","0"
"10931","1","1","1"
"10959","0","0","0"
"10983","0","0","0"
"10984","0","0","0"
"10991","0","0","0"
"11022","0","0","0"
"11041","0","0","0"
"11109","0","0","0"
"11165","0","0","0"
"11170","1","1","1"
"11187","0","0","0"
"11199","0","0","0"
"11208","0","0","0"
"11255","0","0","0"
"11286","0","0","0"
"11303","0","0","0"
"11306","0","0","0"
"11323","0","0","0"
"11338","0","0","0"
"11383","-1","-1","-1"
"11386","0","0","0"
"11421","0","0","0"
"11445","0","0","0"
"11471","0","0","0"
"11498","0","0","0"
"11500","0","0","0"
"11509","0","0","0"
"11513","0","0","0"
"11519","0","0","0"
"11599","0","0","0"
"11655","0","0","0"
"11665","0","0","0"
"11674","0","0","0"
"11683","0","0","0"
"11694","0","0","0"
"11699","0","0","0"
"11718","0","0","0"
"11723","0","0","0"
"11757","0","0","0"
"11769","0","0","0"
"11783","0","0","0"
"11784","0","0","0"
"11791","0","0","0"
"11813","0","0","0"
"11865","0","0","0"
"11919","0","0","0"
"11965","0","0","0"
"11986","0","0","0"
"11999","0","0","0"
"12008","0","0","0"
"12037","0","0","0"
"12069","0","0","0"
"12073","0","0","0"
"12106","0","0","0"
"12130","0","0","0"
"12138","0","0","0"
"12160","0","0","0"
"12186","0","0","0"
"12198","0","0","0"
"12213","0","0","0"
"12259","0","0","0"
"12298","0","0","0"
"12303","0","0","0"
"12309","0","0","0"
"12313","0","0","0"
"12352","0","0","0"
"12379","0","0","0"
"12386","0","0","0"
"12399","0","0","0"
"12435","0","0","0"
"12479","0","0","0"
"12494","0","0","0"
"12499","0","0","0"
"12518","0","0","0"
"12530","0","0","0"
"12583","0","0","0"
"12591","0","0","0"
"12613","0","0","0"
"12645","0","0","0"
"12676","0","0","0"
"12678","0","0","0"
"12684","1","1","1"
"12698","0","0","0"
"12719","0","0","0"
"12763","0","0","0"
"12786","0","0","0"
"12799","0","0","0"
"12835","0","0","0"
"12837","0","0","0"
"12865","0","0","0"
"12905","0","0","0"
"12912","0","0","0"
"12918","0","0","0"
"12923","0","0","0"
"12928","0","0","0"
"12938","0","0","0"
"12959","0","0","0"
"12960","0","0","0"
"12991","0","0","0"
"13017","0","0","0"
"13041","0","0","0"
"13051","1","1","1"
"13053","0","0","0"
"13071","0","0","0"
"13076","0","0","0"
"13084","0","0","0"
"13103","0","0","0"
"13119","0","0","0"
"13163","0","0","0"
"13179","0","0","0"
"13199","0","0","0"
"13219","-1","-1","-1"
"13244","0","0","0"
"13269","0","0","0"
"13274","-1","-1","-1"
"13277","0","0","0"
"13279","0","0","0"
"13297","0","0","0"
"13316","0","0","0"
"13317","1","1","1"
"13323","-1","-1","-1"
"13345","0","0","0"
"13383","0","0","0"
"13417","0","0","0"
"13445","0","0","0"
"13472","0","0","0"
"13486","0","0","0"
"13519","0","0","0"
"13586","0","0","0"
"13589","1","1","1"
"13599","0","0","0"
"13608","0","0","0"
"13635","0","0","0"
"13677","0","0","0"
"13702","0","0","0"
"13738","0","0","0"
"13745","0","0","0"
"13769","0","0","0"
"13772","0","0","0"
"13798","0","0","0"
"13813","0","0","0"
"13876","0","0","0"
"13878","0","0","0"
"13884","0","0","0"
"13886","0","0","0"
"13965","0","0","0"
"13998","0","0","0"
"13999","0","0","0"
"14019","0","0","0"
"14102","0","0","0"
"14117","0","0","0"
"14118","0","0","0"
"14157","0","0","0"
"14173","-1","-1","-1"
"14176","0","0","0"
"14198","0","0","0"
"14213","0","0","0"
"14272","0","0","0"
"14286","0","0","0"
"14303","0","0","0"
"14363","0","0","0"
"14379","0","0","0"
"14386","0","0","0"
"14398","0","0","0"
"14399","0","0","0"
"14419","0","0","0"
"14429","0","0","0"
"14444","0","0","0"
"14465","0","0","0"
"14479","0","0","0"
"14499","0","0","0"
"14502","0","0","0"
"14503","0","0","0"
"14512","0","0","0"
"14523","0","0","0"
"14537","1","1","1"
"14545","0","0","0"
"14684","0","0","0"
"14709","0","0","0"
"14713","0","0","0"
"14799","0","0","0"
"14819","0","0","0"
"14902","0","0","0"
"14905","0","0","0"
"14917","0","0","0"
"14938","0","0","0"
"14973","0","0","0"
"14977","0","0","0"
"14986","0","0","0"
"14998","0","0","0"
"15006","0","0","0"
"15041","0","0","0"
"15055","0","0","0"
"15076","0","0","0"
"15137","0","0","0"
"15163","0","0","0"
"15165","0","0","0"
"15199","0","0","0"
"15265","0","0","0"
"15279","0","0","0"
"15296","0","0","0"
"15297","0","0","0"
"15303","0","0","0"
"15318","0","0","0"
"15323","0","0","0"
"15377","0","0","0"
"15386","0","0","0"
"15407","0","0","0"
"15422","0","0","0"
"15451","0","0","0"
"15464","0","0","0"
"15476","0","0","0"
"15486","0","0","0"
"15509","0","0","0"
"15549","1","1","1"
"15587","0","0","0"
"15594","0","0","0"
"15598","0","0","0"
"15599","0","0","0"
"15608","0","0","0"
"15674","0","0","0"
"15683","0","0","0"
"15697","0","0","0"
"15718","0","0","0"
"15759","0","0","0"
"15773","0","0","0"
"15786","0","0","0"
"15827","0","0","0"
"15876","0","0","0"
"15927","-1","-1","-1"
"15967","0","0","0"
"15978","0","0","0"
"15979","0","0","0"
"15994","0","0","0"
"15999","0","0","0"
"16019","0","0","0"
"16044","0","0","0"
"16063","1","1","1"
"16065","0","0","0"
"16077","0","0","0"
"16102","0","0","0"
"16103","0","0","0"
"16116","0","0","0"
"16117","0","0","0"
"16145","0","0","0"
"16160","0","0","0"
"16222","0","0","0"
"16264","0","0","0"
"16319","0","0","0"
"16327","0","0","0"
"16349","0","0","0"
"16365","0","0","0"
"16387","0","0","0"
"16394","0","0","0"
"16399","0","0","0"
"16419","0","0","0"
"16450","0","0","0"
"16494","0","0","0"
"16495","-1","-1","-1"
"16516","0","0","0"
"16538","0","0","0"
"16557","0","0","0"
"16604","0","0","0"
"16617","0","0","0"
"16622","0","0","0"
"16627","0","0","0"
"16675","0","0","0"
"16682","0","0","0"
"16684","0","0","0"
"16698","0","0","0"
"16742","0","0","0"
"16769","-1","-1","-1"
"16786","0","0","0"
"16799","0","0","0"
"16808","0","0","0"
"16819","0","0","0"
"16844","0","0","0"
"16865","0","0","0"
"16877","0","0","0"
"16916","0","0","0"
"16937","0","0","0"
"16957","0","0","0"
"16969","0","0","0"
"16983","0","0","0"
"16984","0","0","0"
"16986","0","0","0"
"17007","0","0","0"
"17022","0","0","0"
"17027","0","0","0"
"17072","0","0","0"
"17100","0","0","0"
"17187","0","0","0"
"17198","0","0","0"
"17199","0","0","0"
"17203","0","0","0"
"17219","0","0","0"
"17250","0","0","0"
"17258","0","0","0"
"17283","0","0","0"
"17295","0","0","0"
"17305","0","0","0"
"17318","0","0","0"
"17328","0","0","0"
"17338","0","0","0"
"17372","0","0","0"
"17386","0","0","0"
"17398","0","0","0"
"17459","0","0","0"
"17464","0","0","0"
"17478","0","0","0"
"17486","0","0","0"
"17495","-1","-1","-1"
"17509","0","0","0"
"17531","0","0","0"
"17548","0","0","0"
"17549","0","0","0"
"17565","0","0","0"
"17578","0","0","0"
"17587","0","0","0"
"17598","0","0","0"
"17599","0","0","0"
"17603","0","0","0"
"17619","0","0","0"
"17663","0","0","0"
"17665","0","0","0"
"17670","0","0","0"
"17674","0","0","0"
"17678","0.5","0","1"
"17703","0","0","0"
"17712","0","0","0"
"17717","0","0","0"
"17718","0","0","0"
"17733","-1","-1","-1"
"17757","0","0","0"
"17769","0","0","0"
"17786","0","0","0"
"17798","0","0","0"
"17806","0","0","0"
"17859","0","0","0"
"17864","0","0","0"
"17875","0","0","0"
"17895","0","0","0"
"17898","0","0","0"
"17913","0","0","0"
"17919","0","0","0"
"17967","0","0","0"
"17999","0","0","0"
"18003","0","0","0"
"18019","0","0","0"
"18037","0","0","0"
"18044","0","0","0"
"18050","0","0","0"
"18058","0","0","0"
"18063","0","0","0"
"18078","0","0","0"
"18095","0","0","0"
"18096","0","0","0"
"18102","0","0","0"
"18118","0","0","0"
"18145","0","0","0"
"18172","0","0","0"
"18184","0","0","0"
"18206","0","0","0"
"18227","0","0","0"
"18255","0","0","0"
"18272","0","0","0"
"18291","0","0","0"
"18295","0","0","0"
"18337","0","0","0"
"18369","0","0","0"
"18399","0","0","0"
"18403","0","0","0"
"18419","0","0","0"
"18447","0","0","0"
"18463","0","0","0"
"18474","0","0","0"
"18478","0","0","0"
"18523","0","0","0"
"18531","1","1","1"
"18533","0","0","0"
"18537","0","0","0"
"18583","0","0","0"
"18586","0","0","0"
"18607","0","0","0"
"18622","0","0","0"
"18627","0","0","0"
"18644","-1","-1","-1"
"18678","0","0","0"
"18686","0","0","0"
"18695","0","0","0"
"18713","0","0","0"
"18731","0","0","0"
"18737","0","0","0"
"18741","0","0","0"
"18798","0","0","0"
"18799","0","0","0"
"18819","0","0","0"
"18854","0","0","0"
"18870","0","0","0"
"18896","0","0","0"
"18912","0","0","0"
"18931","0","0","0"
"18957","0","0","0"
"18988","0","0","0"
"19027","0","0","0"
"19072","0","0","0"
