"Step","env: VSS - ep_info/Energy","env: VSS - ep_info/Energy__MIN","env: VSS - ep_info/Energy__MAX"
"14270","-196.5574920807816","-196.5574920807816","-196.5574920807816"
"14305","-199.78121528481554","-199.78121528481554","-199.78121528481554"
"14448","-196.82459029575958","-196.82459029575958","-196.82459029575958"
"14476","-201.02484806959893","-201.02484806959893","-201.02484806959893"
"14532","-202.8979462243701","-202.8979462243701","-202.8979462243701"
"14608","-197.40701598862498","-197.40701598862498","-197.40701598862498"
"14630","-203.72512997603536","-203.72512997603536","-203.72512997603536"
"14704","-203.5516345372988","-203.5516345372988","-203.5516345372988"
"14725","-190.71878093786287","-190.71878093786287","-190.71878093786287"
"14743","-197.27021205590304","-197.27021205590304","-197.27021205590304"
"14858","-192.36709996136207","-192.36709996136207","-192.36709996136207"
"14889","-203.87780725396965","-203.87780725396965","-203.87780725396965"
"14894","-194.55334833211026","-194.55334833211026","-194.55334833211026"
"14974","-202.54556742860052","-202.54556742860052","-202.54556742860052"
"14985","-196.10495613626253","-196.10495613626253","-196.10495613626253"
"15070","-196.5735271809728","-196.5735271809728","-196.5735271809728"
"15103","-91.5658825733727","-91.5658825733727","-91.5658825733727"
"15199","-202.65089406289493","-202.65089406289493","-202.65089406289493"
"15248","-194.34550717132572","-194.34550717132572","-194.34550717132572"
"15262","-192.22990398219923","-192.22990398219923","-192.22990398219923"
"15275","-197.88916192680682","-197.88916192680682","-197.88916192680682"
"15290","-204.27250202137404","-204.27250202137404","-204.27250202137404"
"15430","-205.49960334540933","-205.49960334540933","-205.49960334540933"
"15479","-206.840240244397","-206.840240244397","-206.840240244397"
"15493","-200.7371560186093","-200.7371560186093","-200.7371560186093"
"15503","-194.89525532094376","-194.89525532094376","-194.89525532094376"
"15543","-202.48010460993464","-202.48010460993464","-202.48010460993464"
"15592","-197.33746682539788","-197.33746682539788","-197.33746682539788"
"15662","-195.37185058580792","-195.37185058580792","-195.37185058580792"
"15675","-198.71345463076014","-198.71345463076014","-198.71345463076014"
"15694","-197.47682753422404","-197.47682753422404","-197.47682753422404"
"15901","-199.29863579097363","-199.29863579097363","-199.29863579097363"
"15943","-202.47805902710408","-202.47805902710408","-202.47805902710408"
"16075","-197.20254988484004","-197.20254988484004","-197.20254988484004"
"16094","-197.7815019549678","-197.7815019549678","-197.7815019549678"
"16095","-44.821510120929844","-44.821510120929844","-44.821510120929844"
"16108","-52.01801009013816","-52.01801009013816","-52.01801009013816"
"16230","-204.2551745586582","-204.2551745586582","-204.2551745586582"
"16307","-111.08683874408408","-111.08683874408408","-111.08683874408408"
"16309","-195.23990559004227","-195.23990559004227","-195.23990559004227"
"16358","-203.4481174534588","-203.4481174534588","-203.4481174534588"
"16399","-202.0510699677452","-202.0510699677452","-202.0510699677452"
"16489","-194.2334687492804","-194.2334687492804","-194.2334687492804"
"16679","-203.41831945557104","-203.41831945557104","-203.41831945557104"
"16725","-198.5026091917255","-198.5026091917255","-198.5026091917255"
"16781","-202.2473244964327","-202.2473244964327","-202.2473244964327"
"16876","-208.7427974498769","-208.7427974498769","-208.7427974498769"
"16889","-203.95902662185992","-203.95902662185992","-203.95902662185992"
"16894","-201.73585215494617","-201.73585215494617","-201.73585215494617"
"16895","-201.1178938968995","-201.1178938968995","-201.1178938968995"
"16974","-203.1848251290103","-203.1848251290103","-203.1848251290103"
"16980","-200.2702259407273","-200.2702259407273","-200.2702259407273"
"17004","-50.60842137409651","-50.60842137409651","-50.60842137409651"
"17070","-193.70515487608927","-193.70515487608927","-193.70515487608927"
"17080","-193.14980119075693","-193.14980119075693","-193.14980119075693"
"17110","-40.34776527033986","-40.34776527033986","-40.34776527033986"
"17143","-196.8043459055054","-196.8043459055054","-196.8043459055054"
"17158","-205.62850338956173","-205.62850338956173","-205.62850338956173"
"17181","-198.17511051595994","-198.17511051595994","-198.17511051595994"
"17289","-198.0206941028646","-198.0206941028646","-198.0206941028646"
"17505","-199.01440912916433","-199.01440912916433","-199.01440912916433"
"17558","-190.63628654773436","-190.63628654773436","-190.63628654773436"
"17577","-198.89305957056686","-198.89305957056686","-198.89305957056686"
"17662","-198.53061462868368","-198.53061462868368","-198.53061462868368"
"17695","-203.74580747043774","-203.74580747043774","-203.74580747043774"
"17707","-198.91872338977927","-198.91872338977927","-198.91872338977927"
"17804","-197.9164046523853","-197.9164046523853","-197.9164046523853"
"17879","-196.58591572573502","-196.58591572573502","-196.58591572573502"
"17992","-195.85714253958105","-195.85714253958105","-195.85714253958105"
"18058","-197.14152841083327","-197.14152841083327","-197.14152841083327"
"18059","-202.7203759210355","-202.7203759210355","-202.7203759210355"
"18071","-198.49881966196295","-198.49881966196295","-198.49881966196295"
"18089","-201.61542251773912","-201.61542251773912","-201.61542251773912"
"18256","-202.50455371729672","-202.50455371729672","-202.50455371729672"
"18279","-206.4489218829299","-206.4489218829299","-206.4489218829299"
"18295","-155.07815138507192","-155.07815138507192","-155.07815138507192"
"18305","-199.92967841427216","-199.92967841427216","-199.92967841427216"
"18399","-194.34203078354545","-194.34203078354545","-194.34203078354545"
"18458","-204.4355033369313","-204.4355033369313","-204.4355033369313"
"18462","-198.0039423044347","-198.0039423044347","-198.0039423044347"
"18507","-200.12306622276967","-200.12306622276967","-200.12306622276967"
"18574","-202.7132897797567","-202.7132897797567","-202.7132897797567"
"18580","-199.19938279615712","-199.19938279615712","-199.19938279615712"
"18604","-198.4166268480288","-198.4166268480288","-198.4166268480288"
"18670","-195.7368175784454","-195.7368175784454","-195.7368175784454"
"18707","-195.05285537622245","-195.05285537622245","-195.05285537622245"
"18725","-197.5268092201701","-197.5268092201701","-197.5268092201701"
"18819","-158.60655132897796","-158.60655132897796","-158.60655132897796"
"18980","-201.16405642123186","-201.16405642123186","-201.16405642123186"
"19008","-199.16355238255073","-199.16355238255073","-199.16355238255073"
"19105","-201.53127293816593","-201.53127293816593","-201.53127293816593"
"19107","-198.63115592801705","-198.63115592801705","-198.63115592801705"
"19177","-198.68358169499984","-198.68358169499984","-198.68358169499984"
"19192","-194.47769526506485","-194.47769526506485","-194.47769526506485"
"19385","-198.4870977517533","-198.4870977517533","-198.4870977517533"
"19404","-192.1867841295326","-192.1867841295326","-192.1867841295326"
"19479","-201.09077954055883","-201.09077954055883","-201.09077954055883"
"19495","-194.40471464319742","-194.40471464319742","-194.40471464319742"
"19543","-204.19413371816026","-204.19413371816026","-204.19413371816026"
"19577","-206.83458395840074","-206.83458395840074","-206.83458395840074"
"19592","-194.06080059181997","-194.06080059181997","-194.06080059181997"
"19658","-198.70531467249938","-198.70531467249938","-198.70531467249938"
"19659","-197.39653186773464","-197.39653186773464","-197.39653186773464"
"19662","-192.48878035485495","-192.48878035485495","-192.48878035485495"
"19675","-195.57563893143487","-195.57563893143487","-195.57563893143487"
"19707","-203.8397376187416","-203.8397376187416","-203.8397376187416"
"19879","-199.1775266138169","-199.1775266138169","-199.1775266138169"
"19895","-190.69872361336064","-190.69872361336064","-190.69872361336064"
"19903","-200.66015485533794","-200.66015485533794","-200.66015485533794"
"19907","-203.6551128527072","-203.6551128527072","-203.6551128527072"
"19977","-197.65155346159793","-197.65155346159793","-197.65155346159793"
"20059","-207.39008294838945","-207.39008294838945","-207.39008294838945"
"20076","-192.29623211173586","-192.29623211173586","-192.29623211173586"
"20136","-38.07982821146808","-38.07982821146808","-38.07982821146808"
"20153","-196.54807783912003","-196.54807783912003","-196.54807783912003"
"20180","-193.40480711977813","-193.40480711977813","-193.40480711977813"
"20185","-200.63560327535595","-200.63560327535595","-200.63560327535595"
"20244","-199.44243405325312","-199.44243405325312","-199.44243405325312"
"20279","-196.86430742421123","-196.86430742421123","-196.86430742421123"
"20325","-188.9300010470418","-188.9300010470418","-188.9300010470418"
"20358","-193.20740647729235","-193.20740647729235","-193.20740647729235"
"20377","-202.1459964884354","-202.1459964884354","-202.1459964884354"
"20399","-198.34749845260723","-200.54117085766396","-196.1538260475505"
"20476","-199.08048952247105","-199.08048952247105","-199.08048952247105"
"20656","-197.61752736688155","-197.61752736688155","-197.61752736688155"
"20695","-189.65524906909812","-189.65524906909812","-189.65524906909812"
"20725","-195.63052138633154","-195.63052138633154","-195.63052138633154"
"20743","-197.35342100985173","-197.35342100985173","-197.35342100985173"
"20787","-99.96363957894674","-99.96363957894674","-99.96363957894674"
"20859","-197.34533612668272","-197.34533612668272","-197.34533612668272"
"20974","-199.70109977706923","-199.70109977706923","-199.70109977706923"
"21004","-189.23197234220504","-189.23197234220504","-189.23197234220504"
"21070","-198.5613412274337","-198.5613412274337","-198.5613412274337"
"21105","-196.63822936110742","-196.63822936110742","-196.63822936110742"
"21106","-191.2570024392659","-191.2570024392659","-191.2570024392659"
"21199","-197.72407787386132","-197.72407787386132","-197.72407787386132"
"21230","-198.74540036318922","-198.74540036318922","-198.74540036318922"
"21262","-199.32351458069735","-199.32351458069735","-199.32351458069735"
"21311","-58.48564287108033","-58.48564287108033","-58.48564287108033"
"21316","-194.0495591739582","-194.0495591739582","-194.0495591739582"
"21336","-184.6730775469484","-184.6730775469484","-184.6730775469484"
"21408","-196.03707518168798","-196.03707518168798","-196.03707518168798"
"21429","-197.7239545925253","-197.7239545925253","-197.7239545925253"
"21456","-191.971710933236","-191.971710933236","-191.971710933236"
"21495","-192.93750701317828","-192.93750701317828","-192.93750701317828"
"21503","-200.93544562408613","-200.93544562408613","-200.93544562408613"
"21504","-194.30609655584462","-194.30609655584462","-194.30609655584462"
"21676","-190.29718128940019","-190.29718128940019","-190.29718128940019"
"21707","-196.48211670459128","-196.48211670459128","-196.48211670459128"
"21708","-195.6490389609753","-195.6490389609753","-195.6490389609753"
"21711","-199.09697253340747","-199.09697253340747","-199.09697253340747"
"21753","-192.25923290613298","-192.25923290613298","-192.25923290613298"
"21785","-192.8907169343048","-192.8907169343048","-192.8907169343048"
"21856","-197.69189002297801","-197.69189002297801","-197.69189002297801"
"21879","-200.0296586357582","-200.0296586357582","-200.0296586357582"
"21903","-189.74839915454137","-189.74839915454137","-189.74839915454137"
"22076","-192.2656935022842","-192.2656935022842","-192.2656935022842"
"22116","-197.1374268790618","-197.1374268790618","-197.1374268790618"
"22185","-185.5169003833188","-185.5169003833188","-185.5169003833188"
"22305","-194.85545956789642","-194.85545956789642","-194.85545956789642"
"22325","-193.80189533921123","-193.80189533921123","-193.80189533921123"
"22358","-194.3835815399629","-194.3835815399629","-194.3835815399629"
"22511","-198.08441006402708","-198.08441006402708","-198.08441006402708"
"22585","-190.2191197155847","-190.2191197155847","-190.2191197155847"
"22629","-192.60191735323883","-192.60191735323883","-192.60191735323883"
"22703","-193.92821632459982","-193.92821632459982","-193.92821632459982"
"22704","-192.85802545016844","-192.85802545016844","-192.85802545016844"
"22705","-197.014857957298","-197.014857957298","-197.014857957298"
"22799","-195.46393953492972","-195.46393953492972","-195.46393953492972"
"22903","-197.70427993160405","-197.70427993160405","-197.70427993160405"
"22953","-193.5739927921852","-193.5739927921852","-193.5739927921852"
"22982","-118.06538344914122","-118.06538344914122","-118.06538344914122"
"23079","-197.55608504484184","-197.55608504484184","-197.55608504484184"
"23101","-195.35539189119913","-195.35539189119913","-195.35539189119913"
"23103","-186.25722183240862","-186.25722183240862","-186.25722183240862"
"23104","-190.04815675714792","-190.04815675714792","-190.04815675714792"
"23173","-189.40434990154736","-189.40434990154736","-189.40434990154736"
"23276","-198.61801432153672","-198.61801432153672","-198.61801432153672"
"23289","-190.0577792874742","-190.0577792874742","-190.0577792874742"
"23382","-188.57819103653526","-188.57819103653526","-188.57819103653526"
"23495","-191.4892375073152","-191.4892375073152","-191.4892375073152"
"23503","-192.86545926847342","-192.86545926847342","-192.86545926847342"
"23546","-186.8465079219255","-186.8465079219255","-186.8465079219255"
"23577","-192.04392437151938","-192.04392437151938","-192.04392437151938"
"23599","-190.41446166647614","-190.41446166647614","-190.41446166647614"
"23659","-189.55948162662838","-189.55948162662838","-189.55948162662838"
"23674","-192.0974771451487","-192.0974771451487","-192.0974771451487"
"23711","-190.5199981118879","-190.5199981118879","-190.5199981118879"
"23716","-195.16547207460403","-195.16547207460403","-195.16547207460403"
"23804","-190.63820862533845","-190.63820862533845","-190.63820862533845"
"23837","-195.07072779856585","-195.07072779856585","-195.07072779856585"
"23844","-187.62558465466057","-187.62558465466057","-187.62558465466057"
"23856","-193.46472594824425","-193.46472594824425","-193.46472594824425"
"23870","-191.91083625275422","-191.91083625275422","-191.91083625275422"
"23895","-191.57965229604036","-191.57965229604036","-191.57965229604036"
"23906","-194.53841983844822","-194.53841983844822","-194.53841983844822"
"23973","-191.34560568118314","-191.34560568118314","-191.34560568118314"
"23999","-187.12511961105412","-187.12511961105412","-187.12511961105412"
"24059","-202.02400432242123","-202.02400432242123","-202.02400432242123"
"24136","-191.41815261119092","-191.41815261119092","-191.41815261119092"
"24174","-190.11135079323935","-190.11135079323935","-190.11135079323935"
"24182","-186.92364245091503","-186.92364245091503","-186.92364245091503"
"24185","-194.5085064812015","-194.5085064812015","-194.5085064812015"
"24301","-183.4311341899989","-183.4311341899989","-183.4311341899989"
"24303","-196.18028229768373","-196.18028229768373","-196.18028229768373"
"24304","-199.1659355151131","-199.1659355151131","-199.1659355151131"
"24346","-185.98122150378376","-185.98122150378376","-185.98122150378376"
"24392","-191.12317165101342","-191.12317165101342","-191.12317165101342"
"24474","-191.1779790467639","-191.1779790467639","-191.1779790467639"
"24476","-188.5297733887887","-188.5297733887887","-188.5297733887887"
"24516","-190.39484315345317","-190.39484315345317","-190.39484315345317"
"24536","-192.4327011981986","-192.4327011981986","-192.4327011981986"
"24553","-194.03663608791925","-194.03663608791925","-194.03663608791925"
"24561","-180.74982361807974","-180.74982361807974","-180.74982361807974"
"24574","-193.8204847321928","-193.8204847321928","-193.8204847321928"
"24698","-45.101004371659045","-45.101004371659045","-45.101004371659045"
"24725","-194.12020401414753","-194.12020401414753","-194.12020401414753"
"24903","-194.2316418622715","-194.2316418622715","-194.2316418622715"
"24936","-190.46602526451235","-190.46602526451235","-190.46602526451235"
"24953","-189.66593515189274","-189.66593515189274","-189.66593515189274"
"24961","-191.7416300104467","-191.7416300104467","-191.7416300104467"
"25095","-185.88908218312736","-185.88908218312736","-185.88908218312736"
"25098","-187.2904125888852","-187.2904125888852","-187.2904125888852"
"25101","-188.59244819768463","-188.59244819768463","-188.59244819768463"
"25103","-194.28012354257845","-194.28012354257845","-194.28012354257845"
"25104","-186.78286150101908","-186.78286150101908","-186.78286150101908"
"25199","-190.58816741261978","-190.58816741261978","-190.58816741261978"
"25217","-188.62434056218348","-188.62434056218348","-188.62434056218348"
"25230","-187.87290945827013","-187.87290945827013","-187.87290945827013"
"25303","-194.65594731180113","-194.65594731180113","-194.65594731180113"
"25336","-196.63902168008337","-196.63902168008337","-196.63902168008337"
"25361","-190.04389312523324","-190.04389312523324","-190.04389312523324"
"25382","-195.69319084985182","-195.69319084985182","-195.69319084985182"
"25479","-190.9510266985292","-190.9510266985292","-190.9510266985292"
"25546","-181.43671258967564","-181.43671258967564","-181.43671258967564"
"25573","-179.36989145737317","-179.36989145737317","-179.36989145737317"
"25662","-188.3321193978956","-188.3321193978956","-188.3321193978956"
"25676","-186.5975550867368","-186.5975550867368","-186.5975550867368"
"25703","-190.62666471706456","-190.62666471706456","-190.62666471706456"
"25707","-194.08150852594335","-194.08150852594335","-194.08150852594335"
"25725","-93.67385132376455","-93.67385132376455","-93.67385132376455"
"25761","-187.66580835678744","-187.66580835678744","-187.66580835678744"
"25782","-181.4739621528875","-181.4739621528875","-181.4739621528875"
"25901","-193.2721944185188","-193.2721944185188","-193.2721944185188"
"25905","-184.69004459142693","-184.69004459142693","-184.69004459142693"
"25961","-190.9037149576553","-190.9037149576553","-190.9037149576553"
"25992","-183.45045697782112","-183.45045697782112","-183.45045697782112"
"26017","-184.4433428403023","-184.4433428403023","-184.4433428403023"
"26072","-186.91688262754957","-186.91688262754957","-186.91688262754957"
"26076","-185.13753738597035","-185.13753738597035","-185.13753738597035"
"26111","-189.69782587639702","-189.69782587639702","-189.69782587639702"
"26125","-183.06215321220515","-183.06215321220515","-183.06215321220515"
"26174","-181.8593102841032","-181.8593102841032","-181.8593102841032"
"26256","-195.07719491738104","-195.07719491738104","-195.07719491738104"
"26288","-179.32974202331457","-179.32974202331457","-179.32974202331457"
"26301","-186.50802430556905","-186.50802430556905","-186.50802430556905"
"26347","-187.75109115035926","-187.75109115035926","-187.75109115035926"
"26399","-181.0682512346166","-181.0682512346166","-181.0682512346166"
"26472","-190.88107956883468","-190.88107956883468","-190.88107956883468"
"26474","-186.9433786592168","-186.9433786592168","-186.9433786592168"
"26656","-188.1456629946514","-188.1456629946514","-188.1456629946514"
"26698","-189.1555256613526","-189.1555256613526","-189.1555256613526"
"26746","-181.20893516361605","-181.20893516361605","-181.20893516361605"
"26817","-184.14772807531978","-184.14772807531978","-184.14772807531978"
"26819","-181.36082131478878","-181.36082131478878","-181.36082131478878"
"26903","-188.33071010691603","-188.33071010691603","-188.33071010691603"
"26911","-180.49843794486733","-180.49843794486733","-180.49843794486733"
"26916","-187.3169942641021","-187.3169942641021","-187.3169942641021"
"26953","-185.80844341443265","-185.80844341443265","-185.80844341443265"
"26974","-188.2330777534405","-188.2330777534405","-188.2330777534405"
"27005","-44.29532262503286","-44.29532262503286","-44.29532262503286"
"27070","-187.0640591503226","-187.0640591503226","-187.0640591503226"
"27088","-189.65532641565443","-189.65532641565443","-189.65532641565443"
"27098","-186.0480694631532","-186.0480694631532","-186.0480694631532"
"27100","-76.58286318231629","-76.58286318231629","-76.58286318231629"
"27101","-183.57865738975582","-183.57865738975582","-183.57865738975582"
"27123","-182.16368639185032","-182.16368639185032","-182.16368639185032"
"27146","-190.58898802943494","-190.58898802943494","-190.58898802943494"
