"Step","env: VSS - ep_info/Goal","env: VSS - ep_info/Goal__MIN","env: VSS - ep_info/Goal__MAX"
"8270","0","0","0"
"8287","0","0","0"
"8301","0","0","0"
"8317","0","0","0"
"8324","0","0","0"
"8344","0","0","0"
"8347","0","0","0"
"8349","0","0","0"
"8368","0","0","0"
"8399","0","0","0"
"8410","0","0","0"
"8430","0","0","0"
"8450","0","0","0"
"8463","0","0","0"
"8471","0","0","0"
"8477","0","0","0"
"8505","0","0","0"
"8509","0","0","0"
"8523","0","0","0"
"8531","0","0","0"
"8540","0","0","0"
"8596","1","1","1"
"8627","0","0","0"
"8651","0","0","0"
"8653","-1","-1","-1"
"8667","0","0","0"
"8678","0","0","0"
"8687","0","0","0"
"8717","0","0","0"
"8724","0","0","0"
"8729","0","0","0"
"8742","-1","-1","-1"
"8744","0","0","0"
"8749","0","0","0"
"8787","0","0","0"
"8821","0","0","0"
"8830","0","0","0"
"8867","0","0","0"
"8888","0","0","0"
"8900","0","0","0"
"8905","0","0","0"
"8931","0","0","0"
"8935","0","0","0"
"8938","0","0","0"
"8956","0","0","0"
"8959","0","0","0"
"8961","0","0","0"
"8972","1","1","1"
"8996","0","0","0"
"9033","0","0","0"
"9051","0","0","0"
"9052","0","0","0"
"9074","0","0","0"
"9078","0","0","0"
"9120","0","0","0"
"9135","0","0","0"
"9142","0","0","0"
"9187","0","0","0"
"9199","0","0","0"
"9221","0","0","0"
"9250","0","0","0"
"9267","0","0","0"
"9277","0","0","0"
"9289","0","0","0"
"9292","-1","-1","-1"
"9296","-1","-1","-1"
"9297","0","0","0"
"9300","0","0","0"
"9317","1","1","1"
"9330","0","0","0"
"9331","0","0","0"
"9335","0","0","0"
"9347","0","0","0"
"9361","0","0","0"
"9363","0","0","0"
"9381","-1","-1","-1"
"9394","0","0","0"
"9396","0","0","0"
"9404","0","0","0"
"9433","0","0","0"
"9451","0","0","0"
"9452","0","0","0"
"9478","0","0","0"
"9481","-1","-1","-1"
"9487","0","0","0"
"9492","0","0","0"
"9501","0","0","0"
"9516","0","0","0"
"9517","0","0","0"
"9547","0","0","0"
"9593","1","1","1"
"9599","0","0","0"
"9621","0","0","0"
"9630","0","0","0"
"9705","0","0","0"
"9717","0","0","0"
"9735","0","0","0"
"9738","0","0","0"
"9759","0","0","0"
"9763","0","0","0"
"9793","0","0","0"
"9827","0","0","0"
"9851","0","0","0"
"9878","0","0","0"
"9883","1","1","1"
"9917","0","0","0"
"9929","0","0","0"
"9935","0","0","0"
"9944","0","0","0"
"9946","1","1","1"
"9968","0","0","0"
"9993","0","0","0"
"9999","0","0","0"
"10014","1","1","1"
"10033","-1","-1","-1"
"10041","0","0","0"
"10071","0","0","0"
"10088","0","0","0"
"10097","0","0","0"
"10100","0","0","0"
"10110","0","0","0"
"10117","0","0","0"
"10123","0","0","0"
"10135","0","0","0"
"10140","0","0","0"
"10161","0","0","0"
"10178","-1","-1","-1"
"10193","0","0","0"
"10194","0","0","0"
"10227","0","0","0"
"10251","0","0","0"
"10267","0","0","0"
"10270","0","0","0"
"10274","0","0","0"
"10283","0","0","0"
"10317","0","0","0"
"10335","0","0","0"
"10347","0","0","0"
"10399","0","0","0"
"10430","0","0","0"
"10471","0","0","0"
"10517","0","0","0"
"10523","0","0","0"
"10547","0","0","0"
"10559","0","0","0"
"10578","0","0","0"
"10604","0","0","0"
"10623","0","0","0"
"10651","0","0","0"
"10670","0","0","0"
"10687","0","0","0"
"10724","0","0","0"
"10729","0","0","0"
"10735","0","0","0"
"10742","0","0","0"
"10744","0","0","0"
"10799","0","0","0"
"10808","0","0","0"
"10828","-1","-1","-1"
"10835","0","0","0"
"10850","0","0","0"
"10869","0","0","0"
"10888","0","0","0"
"10892","0","0","0"
"10910","0","0","0"
"10923","0","0","0"
"10935","0","0","0"
"10959","0","0","0"
"10961","0","0","0"
"11027","0","0","0"
"11052","0","0","0"
"11053","0","0","0"
"11081","0","0","0"
"11092","0","0","0"
"11116","0","0","0"
"11117","0","0","0"
"11129","0","0","0"
"11135","0","0","0"
"11142","0","0","0"
"11144","0","0","0"
"11187","0","0","0"
"11193","0","0","0"
"11199","0","0","0"
"11221","0","0","0"
"11228","0","0","0"
"11241","0","0","0"
"11269","0","0","0"
"11292","0","0","0"
"11300","0","0","0"
"11305","0","0","0"
"11307","0","0","0"
"11317","0.5","0","1"
"11323","0","0","0"
"11347","0","0","0"
"11361","0","0","0"
"11363","0","0","0"
"11381","0","0","0"
"11404","0","0","0"
"11423","0","0","0"
"11427","0","0","0"
"11453","0","0","0"
"11470","0","0","0"
"11481","0","0","0"
"11492","0","0","0"
"11501","0","0","0"
"11516","0","0","0"
"11524","0","0","0"
"11529","0","0","0"
"11535","0","0","0"
"11542","0","0","0"
"11544","0","0","0"
"11587","0","0","0"
"11593","0","0","0"
"11599","0","0","0"
"11608","0","0","0"
"11621","0","0","0"
"11628","0","0","0"
"11630","0","0","0"
"11650","0","0","0"
"11656","-1","-1","-1"
"11669","0","0","0"
"11675","1","1","1"
"11689","0","0","0"
"11695","0","0","0"
"11697","0","0","0"
"11705","0","0","0"
"11717","0","0","0"
"11759","0","0","0"
"11763","0","0","0"
"11772","0","0","0"
"11781","0","0","0"
"11793","0","0","0"
"11825","1","1","1"
"11827","0","0","0"
"11851","0","0","0"
"11852","0","0","0"
"11867","0","0","0"
"11901","0","0","0"
"11935","0","0","0"
"11941","1","1","1"
"11944","0","0","0"
"11947","0","0","0"
"11999","0","0","0"
"12008","0","0","0"
"12015","0","0","0"
"12030","0","0","0"
"12033","0","0","0"
"12041","0","0","0"
"12050","0","0","0"
"12088","0","0","0"
"12092","0","0","0"
"12100","0","0","0"
"12117","0","0","0"
"12138","0","0","0"
"12140","0","0","0"
"12147","0","0","0"
"12161","0","0","0"
"12163","0","0","0"
"12172","0","0","0"
"12227","0","0","0"
"12233","0","0","0"
"12251","0","0","0"
"12252","0","0","0"
"12274","0","0","0"
"12278","0","0","0"
"12335","0","0","0"
"12337","0","0","0"
"12344","0","0","0"
"12356","0","0","0"
"12387","0","0","0"
"12393","0","0","0"
"12399","0","0","0"
"12430","0","0","0"
"12450","0","0","0"
"12469","0","0","0"
"12471","0","0","0"
"12492","0","0","0"
"12495","0","0","0"
"12497","0","0","0"
"12500","0","0","0"
"12517","0","0","0"
"12523","0","0","0"
"12538","0","0","0"
"12540","0","0","0"
"12561","0","0","0"
"12563","0","0","0"
"12581","0","0","0"
"12627","0","0","0"
"12651","0","0","0"
"12652","0","0","0"
"12667","0","0","0"
"12681","0","0","0"
"12683","0","0","0"
"12701","0","0","0"
"12741","0","0","0"
"12746","0","0","0"
