"Step","env: VSS - ep_info/Move","env: VSS - ep_info/Move__MIN","env: VSS - ep_info/Move__MAX"
"198","-1.3605314748580735","-1.3605314748580735","-1.3605314748580735"
"300","1.3078047651252829","1.3078047651252829","1.3078047651252829"
"399","-5.5280460520317725","-7.846889557084282","-3.209202546979264"
"522","-0.8134122563604379","-0.8134122563604379","-0.8134122563604379"
"598","0.8475617887190756","0.8475617887190756","0.8475617887190756"
"799","-5.512361670861634","-12.966967191823704","2.0169191441762853"
"869","-8.538748281948186","-8.538748281948186","-8.538748281948186"
"900","-2.98951953420352","-2.98951953420352","-2.98951953420352"
"998","-6.9697948079370375","-6.9697948079370375","-6.9697948079370375"
"1199","-1.6999459542842859","-6.22532397005371","2.825432061485138"
"1345","2.746210198595881","2.746210198595881","2.746210198595881"
"1398","-3.378809461363436","-3.378809461363436","-3.378809461363436"
"1489","-1.7995055220823457","-1.7995055220823457","-1.7995055220823457"
"1500","6.5573494621300314","6.5573494621300314","6.5573494621300314"
"1536","1.3086886341642665","1.3086886341642665","1.3086886341642665"
"1669","3.9053756334612175","3.9053756334612175","3.9053756334612175"
"1900","7.254787840296449","6.909185543314202","7.600390137278695"
"2140","-4.347499300929641","-4.347499300929641","-4.347499300929641"
"2145","-0.9076246662384168","-0.9076246662384168","-0.9076246662384168"
"2198","-2.4939060769948256","-2.4939060769948256","-2.4939060769948256"
"2469","-9.453279081233443","-9.453279081233443","-9.453279081233443"
"2522","-21.196513964196857","-21.196513964196857","-21.196513964196857"
"2559","-5.415972196409976","-5.415972196409976","-5.415972196409976"
"2598","-3.377966972504003","-3.377966972504003","-3.377966972504003"
"2616","-1.5929357730998397","-1.5929357730998397","-1.5929357730998397"
"2665","-7.1462184287319515","-7.1462184287319515","-7.1462184287319515"
"2700","7.121844731688676","7.121844731688676","7.121844731688676"
"2722","7.326490879194906","7.326490879194906","7.326490879194906"
"2782","8.171911208938674","8.171911208938674","8.171911208938674"
"2831","-4.9630213204231595","-4.9630213204231595","-4.9630213204231595"
"2900","2.8837483457669673","2.8837483457669673","2.8837483457669673"
"2945","4.6628263193127815","4.6628263193127815","4.6628263193127815"
"2998","-8.203906377794727","-8.203906377794727","-8.203906377794727"
"3114","1.0881476142195932","1.0881476142195932","1.0881476142195932"
"3182","-0.6629949886666514","-0.6629949886666514","-0.6629949886666514"
"3199","1.3744504385718688","-6.2328082542669785","8.034170699059706"
"3269","-10.376047124476946","-10.376047124476946","-10.376047124476946"
"3279","7.482375356611073","7.482375356611073","7.482375356611073"
"3322","5.205048383138372","5.205048383138372","5.205048383138372"
"3345","-8.696855777120215","-8.696855777120215","-8.696855777120215"
"3398","2.725003850679905","2.725003850679905","2.725003850679905"
"3416","0.8569099621006534","0.8569099621006534","0.8569099621006534"
"3443","-3.5016614127622505","-3.5016614127622505","-3.5016614127622505"
"3500","-0.2636663000697604","-0.2636663000697604","-0.2636663000697604"
"3587","-5.920042348422337","-5.920042348422337","-5.920042348422337"
"3599","12.690929509755067","12.690929509755067","12.690929509755067"
"3608","-7.416466177094079","-7.416466177094079","-7.416466177094079"
"3679","-5.9182860514329185","-5.9182860514329185","-5.9182860514329185"
"3702","11.912251771953423","11.912251771953423","11.912251771953423"
"3713","-2.0871807121775827","-2.0871807121775827","-2.0871807121775827"
"3722","-3.368555048395144","-3.368555048395144","-3.368555048395144"
"3723","-3.559757478929787","-3.559757478929787","-3.559757478929787"
"3728","-1.1191968748370977","-1.1191968748370977","-1.1191968748370977"
"3745","-1.766524218939087","-1.766524218939087","-1.766524218939087"
"3783","3.9075521636642896","3.9075521636642896","3.9075521636642896"
"3816","-0.620026258332461","-0.620026258332461","-0.620026258332461"
"3914","-0.5913221573416442","-0.5913221573416442","-0.5913221573416442"
"3982","1.2853972935699614","1.2853972935699614","1.2853972935699614"
"3999","-0.7908831190313714","-6.171652265001047","4.589886026938304"
"4008","-2.2911593074543615","-2.2911593074543615","-2.2911593074543615"
"4069","-10.417832809908571","-10.417832809908571","-10.417832809908571"
"4122","1.8769443877492002","1.8769443877492002","1.8769443877492002"
"4123","2.5200659817681754","2.5200659817681754","2.5200659817681754"
"4128","-3.3499666521136144","-3.3499666521136144","-3.3499666521136144"
"4300","-4.784957549934938","-4.784957549934938","-4.784957549934938"
"4465","-8.541320335185528","-8.541320335185528","-8.541320335185528"
"4469","-1.2119478951150997","-1.2119478951150997","-1.2119478951150997"
"4479","9.159483629654641","9.159483629654641","9.159483629654641"
"4522","0.7436895274843223","0.7436895274843223","0.7436895274843223"
"4528","-2.1184425030991942","-2.1184425030991942","-2.1184425030991942"
"4602","11.19300085461231","11.19300085461231","11.19300085461231"
"4616","-9.3020617184283","-9.3020617184283","-9.3020617184283"
"4633","1.5859669778555818","1.5859669778555818","1.5859669778555818"
"4672","5.626289445936183","5.626289445936183","5.626289445936183"
"4687","1.651338380141148","1.651338380141148","1.651338380141148"
"4700","7.721030077879643","7.721030077879643","7.721030077879643"
"4704","-1.246083250804693","-1.246083250804693","-1.246083250804693"
"4709","7.932424939763356","7.932424939763356","7.932424939763356"
"4714","-0.6009235191196391","-0.6009235191196391","-0.6009235191196391"
"4799","1.5799404726201371","-2.2139071284089167","5.373788073649191"
"4808","-4.593615875799055","-4.593615875799055","-4.593615875799055"
"4831","-1.834638557120099","-1.834638557120099","-1.834638557120099"
"4869","4.6447619802105224","4.6447619802105224","4.6447619802105224"
"4879","-6.697019469113379","-6.697019469113379","-6.697019469113379"
"4900","0.6524656366031892","0.6524656366031892","0.6524656366031892"
