"Step","env: MINECART - lambdas/component_1","env: MINECART - lambdas/component_1__MIN","env: MINECART - lambdas/component_1__MAX"
"5100","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5200","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5300","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5400","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5500","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5600","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5700","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5800","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"5900","0.007567729335278273","0.007567729335278273","0.007567729335278273"
"6000","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6100","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6200","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6300","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6400","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6500","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6600","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6700","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6800","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"6900","0.0034403796307742596","0.0034403796307742596","0.0034403796307742596"
"7000","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7100","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7200","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7300","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7400","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7500","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7600","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7700","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7800","0.8459030389785767","0.8459030389785767","0.8459030389785767"
"7900","0.8459030389785767","0.8459030389785767","0.8459030389785767"
