"Step","Minecart-Baseline_1726019116 - ep_info/Fuel","Minecart-Baseline_1726019116 - ep_info/Fuel__MIN","Minecart-Baseline_1726019116 - ep_info/Fuel__MAX"
"78","-5.359999924898148","-5.359999924898148","-5.359999924898148"
"364","-7.0799999088048935","-7.0799999088048935","-7.0799999088048935"
"446","-28.739999622106552","-28.739999622106552","-28.739999622106552"
"465","-31.19999958574772","-31.19999958574772","-31.19999958574772"
"528","-5.839999925345182","-5.839999925345182","-5.839999925345182"
"540","-16.679999761283398","-16.679999761283398","-16.679999761283398"
"780","-7.559999901801348","-7.559999901801348","-7.559999901801348"
"840","-26.599999647587538","-26.599999647587538","-26.599999647587538"
"891","-5.219999946653843","-5.219999946653843","-5.219999946653843"
"919","-18.399999752640724","-18.399999752640724","-18.399999752640724"
"1332","-2.7799999713897705","-2.7799999713897705","-2.7799999713897705"
"1392","-5.699999932199717","-5.699999932199717","-5.699999932199717"
"1405","-3.499999947845936","-3.499999947845936","-3.499999947845936"
"1459","-3.379999954253435","-3.379999954253435","-3.379999954253435"
"1584","-12.319999866187572","-12.319999866187572","-12.319999866187572"
"1703","-8.979999888688326","-8.979999888688326","-8.979999888688326"
"1733","-20.19999973848462","-20.19999973848462","-20.19999973848462"
"1851","-7.059999901801348","-7.059999901801348","-7.059999901801348"
"1959","-8.699999880045652","-8.699999880045652","-8.699999880045652"
"2334","-11.799999848008156","-11.799999848008156","-11.799999848008156"
"2365","-2.1199999675154686","-2.1199999675154686","-2.1199999675154686"
"2422","-11.919999849051237","-11.919999849051237","-11.919999849051237"
"2449","-1.3399999849498272","-1.3399999849498272","-1.3399999849498272"
"2490","-2.0399999767541885","-2.0399999767541885","-2.0399999767541885"
"2540","-17.899999752640724","-17.899999752640724","-17.899999752640724"
"2597","-19.95999974757433","-19.95999974757433","-19.95999974757433"
"2607","-9.699999868869781","-9.699999868869781","-9.699999868869781"
"2989","-1.8599999658763409","-1.8599999658763409","-1.8599999658763409"
"2991","-6.839999906718731","-6.839999906718731","-6.839999906718731"
"3086","-23.359999738633633","-23.359999738633633","-23.359999738633633"
"3348","-6.359999921172857","-6.359999921172857","-6.359999921172857"
"3364","-21.439999766647816","-21.439999766647816","-21.439999766647816"
"3443","-13.859999809414148","-13.859999809414148","-13.859999809414148"
"3479","-5.499999925494194","-5.499999925494194","-5.499999925494194"
"3748","-35.39999955892563","-35.39999955892563","-35.39999955892563"
"3780","-35.53999957814813","-35.53999957814813","-35.53999957814813"
"3815","-12.239999860525131","-12.239999860525131","-12.239999860525131"
"3894","-1.1799999848008156","-1.1799999848008156","-1.1799999848008156"
"4308","-5.579999942332506","-5.579999942332506","-5.579999942332506"
"4652","-22.87999975308776","-22.87999975308776","-22.87999975308776"
"4664","-11.219999875873327","-11.219999875873327","-11.219999875873327"
"5050","-5.939999923110008","-5.939999923110008","-5.939999923110008"
"5145","-6.199999902397394","-6.199999902397394","-6.199999902397394"
"5176","-5.619999907910824","-5.619999907910824","-5.619999907910824"
"5195","-19.37999976798892","-19.37999976798892","-19.37999976798892"
"5211","-3.699999950826168","-3.699999950826168","-3.699999950826168"
"5245","-3.89999995008111","-3.89999995008111","-3.89999995008111"
"5247","-4.579999953508377","-4.579999953508377","-4.579999953508377"
"5306","-10.919999860227108","-10.919999860227108","-10.919999860227108"
"5319","-4.539999932050705","-4.539999932050705","-4.539999932050705"
"5371","-9.659999884665012","-9.659999884665012","-9.659999884665012"
"5618","-2.839999958872795","-2.839999958872795","-2.839999958872795"
"5640","-7.6799998842179775","-7.6799998842179775","-7.6799998842179775"
"5643","-1.9599999710917473","-1.9599999710917473","-1.9599999710917473"
"5682","-4.339999932795763","-4.339999932795763","-4.339999932795763"
"5683","-10.7799998447299","-10.7799998447299","-10.7799998447299"
"5689","-2.219999972730875","-2.219999972730875","-2.219999972730875"
"5717","-14.179999805986881","-14.179999805986881","-14.179999805986881"
"5718","-14.55999981239438","-14.55999981239438","-14.55999981239438"
"5880","-8.49999987706542","-8.49999987706542","-8.49999987706542"
"5923","-9.719999872148037","-9.719999872148037","-9.719999872148037"
"6261","-22.939999658614397","-22.939999658614397","-22.939999658614397"
"6419","-8.179999869316816","-8.179999869316816","-8.179999869316816"
"6481","-4.01999993622303","-4.01999993622303","-4.01999993622303"
"6673","-8.199999868869781","-8.199999868869781","-8.199999868869781"
"6681","-16.559999782592058","-16.559999782592058","-16.559999782592058"
"6711","-16.83999979123473","-16.83999979123473","-16.83999979123473"
"6712","-6.279999915510416","-6.279999915510416","-6.279999915510416"
"6714","-9.619999878108501","-9.619999878108501","-9.619999878108501"
"6853","-9.839999880641699","-9.839999880641699","-9.839999880641699"
"6864","-0.8799999840557575","-0.8799999840557575","-0.8799999840557575"
"6869","-15.539999775588512","-15.539999775588512","-15.539999775588512"
"6927","-11.679999832063913","-11.679999832063913","-11.679999832063913"
"6951","-11.959999836981297","-11.959999836981297","-11.959999836981297"
"6997","-4.899999927729368","-4.899999927729368","-4.899999927729368"
"7012","-9.059999864548445","-9.059999864548445","-9.059999864548445"
"7409","-17.199999779462814","-17.199999779462814","-17.199999779462814"
"7613","-1.439999982714653","-1.439999982714653","-1.439999982714653"
"7644","-5.8399999141693115","-5.8399999141693115","-5.8399999141693115"
"7949","-3.0599999465048313","-3.0599999465048313","-3.0599999465048313"
"7960","-6.599999908357859","-6.599999908357859","-6.599999908357859"
"8008","-7.179999902844429","-7.179999902844429","-7.179999902844429"
"8244","-9.699999876320362","-9.699999876320362","-9.699999876320362"
"8263","-6.459999918937683","-6.459999918937683","-6.459999918937683"
"8280","-0.9399999864399433","-0.9399999864399433","-0.9399999864399433"
"8301","-13.459999788552523","-13.459999788552523","-13.459999788552523"
"8550","-57.339999198913574","-57.339999198913574","-57.339999198913574"
"8555","-6.599999908357859","-6.599999908357859","-6.599999908357859"
"8572","-6.139999896287918","-6.139999896287918","-6.139999896287918"
"8612","-19.979999728500843","-19.979999728500843","-19.979999728500843"
"8756","-26.119999639689922","-26.119999639689922","-26.119999639689922"
"8804","-13.85999982059002","-13.85999982059002","-13.85999982059002"
"8922","-7.459999900311232","-7.459999900311232","-7.459999900311232"
"9085","-21.099999703466892","-21.099999703466892","-21.099999703466892"
"9092","-48.13999933376908","-48.13999933376908","-48.13999933376908"
"9099","-31.779999546706676","-31.779999546706676","-31.779999546706676"
"9199","-12.059999827295542","-12.059999827295542","-12.059999827295542"
"9230","-6.499999903142452","-6.499999903142452","-6.499999903142452"
"9372","-1.9599999710917473","-1.9599999710917473","-1.9599999710917473"
"9485","-6.999999895691872","-6.999999895691872","-6.999999895691872"
"9560","-7.099999908357859","-7.099999908357859","-7.099999908357859"
"9562","-9.079999893903732","-9.079999893903732","-9.079999893903732"
"9591","-2.599999964237213","-2.599999964237213","-2.599999964237213"
"9603","-6.979999903589487","-6.979999903589487","-6.979999903589487"
"9744","-7.139999907463789","-7.139999907463789","-7.139999907463789"
"10218","-31.9199995175004","-31.9199995175004","-31.9199995175004"
"10433","-1.539999969303608","-1.539999969303608","-1.539999969303608"
"10460","-4.179999951273203","-4.179999951273203","-4.179999951273203"
"10486","-6.759999912232161","-6.759999912232161","-6.759999912232161"
"10525","-41.619999438524246","-41.619999438524246","-41.619999438524246"
"10569","-15.379999794065952","-15.379999794065952","-15.379999794065952"
"10847","-2.859999965876341","-2.859999965876341","-2.859999965876341"
"11157","-9.799999836832285","-9.799999836832285","-9.799999836832285"
"11350","-4.299999937415123","-4.299999937415123","-4.299999937415123"
"11358","-4.6799999140203","-4.6799999140203","-4.6799999140203"
"11414","-17.799999739974737","-17.799999739974737","-17.799999739974737"
"11516","-8.259999882429838","-8.259999882429838","-8.259999882429838"
"11870","-3.3999999538064003","-3.3999999538064003","-3.3999999538064003"
"11942","-0.8999999798834324","-0.8999999798834324","-0.8999999798834324"
"12088","-12.759999811649323","-12.759999811649323","-12.759999811649323"
"12205","-12.599999811500311","-12.599999811500311","-12.599999811500311"
"12238","-5.899999924004078","-5.899999924004078","-5.899999924004078"
"12248","-9.299999859184027","-9.299999859184027","-9.299999859184027"
"12444","-4.339999936521053","-4.339999936521053","-4.339999936521053"
"12548","-3.3999999575316906","-3.3999999575316906","-3.3999999575316906"
"12561","-6.159999895840883","-6.159999895840883","-6.159999895840883"
"12776","-13.879999790340662","-13.879999790340662","-13.879999790340662"
"12799","-3.739999942481518","-3.739999942481518","-3.739999942481518"
"12918","-8.83999989926815","-8.83999989926815","-8.83999989926815"
"12973","-3.079999953508377","-3.079999953508377","-3.079999953508377"
"13031","-2.939999956637621","-2.939999956637621","-2.939999956637621"
"13073","-4.159999940544367","-4.159999940544367","-4.159999940544367"
"13115","-12.27999983355403","-12.27999983355403","-12.27999983355403"
"13178","-10.099999863654375","-10.099999863654375","-10.099999863654375"
"13283","-6.499999899417162","-6.499999899417162","-6.499999899417162"
"13338","-7.279999915510416","-7.279999915510416","-7.279999915510416"
"13373","-2.2999999709427357","-2.2999999709427357","-2.2999999709427357"
"13395","-5.279999919235706","-5.279999919235706","-5.279999919235706"
"13552","-2.9999999590218067","-2.9999999590218067","-2.9999999590218067"
"13613","-4.439999934285879","-4.439999934285879","-4.439999934285879"
"13630","-6.87999988719821","-6.87999988719821","-6.87999988719821"
"13688","-6.919999901205301","-6.919999901205301","-6.919999901205301"
"13700","-5.4399999268352985","-5.4399999268352985","-5.4399999268352985"
"13734","-15.059999819844961","-15.059999819844961","-15.059999819844961"
"13771","-4.039999932050705","-4.039999932050705","-4.039999932050705"
"13796","-3.9399999380111694","-3.9399999380111694","-3.9399999380111694"
"13871","-3.5999999567866325","-3.5999999567866325","-3.5999999567866325"
"13934","-2.6999999582767487","-2.6999999582767487","-2.6999999582767487"
"14050","-6.619999911636114","-6.619999911636114","-6.619999911636114"
"14111","-4.499999936670065","-4.499999936670065","-4.499999936670065"
"14179","-2.1199999675154686","-2.1199999675154686","-2.1199999675154686"
"14287","-5.299999922513962","-5.299999922513962","-5.299999922513962"
"14293","-1.6199999749660492","-1.6199999749660492","-1.6199999749660492"
"14318","-4.799999926239252","-4.799999926239252","-4.799999926239252"
"14345","-4.239999949932098","-4.239999949932098","-4.239999949932098"
"14423","-2.9599999636411667","-2.9599999636411667","-2.9599999636411667"
"14434","-5.2999999187886715","-5.2999999187886715","-5.2999999187886715"
"14452","-3.0399999544024467","-3.0399999544024467","-3.0399999544024467"
"14461","-2.719999957829714","-2.719999957829714","-2.719999957829714"
"14570","-2.6999999545514584","-2.6999999545514584","-2.6999999545514584"
"14571","-4.099999941885471","-4.099999941885471","-4.099999941885471"
"14600","-12.539999838918447","-12.539999838918447","-12.539999838918447"
"14655","-3.0199999548494816","-3.0199999548494816","-3.0199999548494816"
"14900","-1.9799999669194221","-1.9799999669194221","-1.9799999669194221"
"14937","-3.7599999494850636","-3.7599999494850636","-3.7599999494850636"
"14982","-2.8999999575316906","-2.8999999575316906","-2.8999999575316906"
"14994","-3.539999946951866","-3.539999946951866","-3.539999946951866"
"15017","-3.559999942779541","-3.559999942779541","-3.559999942779541"
"15028","-3.519999958574772","-3.519999958574772","-3.519999958574772"
"15040","-3.339999955147505","-3.339999955147505","-3.339999955147505"
"15050","-2.359999965876341","-2.359999965876341","-2.359999965876341"
"15084","-7.079999905079603","-7.079999905079603","-7.079999905079603"
"15188","-3.6999999471008778","-3.6999999471008778","-3.6999999471008778"
"15217","-4.039999943226576","-4.039999943226576","-4.039999943226576"
"15232","-2.0799999721348286","-2.0799999721348286","-2.0799999721348286"
"15257","-2.179999966174364","-2.179999966174364","-2.179999966174364"
"15344","-3.7599999383091927","-3.7599999383091927","-3.7599999383091927"
"15346","-3.099999960511923","-3.099999960511923","-3.099999960511923"
"15349","-6.239999916404486","-6.239999916404486","-6.239999916404486"
"15405","-9.439999856054783","-9.439999856054783","-9.439999856054783"
"15408","-3.8799999468028545","-3.8799999468028545","-3.8799999468028545"
"15495","-3.5399999506771564","-3.5399999506771564","-3.5399999506771564"
"15585","-2.439999967813492","-2.439999967813492","-2.439999967813492"
"15608","-2.9599999599158764","-2.9599999599158764","-2.9599999599158764"
"15611","-2.419999960809946","-2.419999960809946","-2.419999960809946"
"15679","-1.8799999728798866","-1.8799999728798866","-1.8799999728798866"
"15723","-3.8399999365210533","-3.8399999365210533","-3.8399999365210533"
"15728","-1.559999980032444","-1.559999980032444","-1.559999980032444"
"15784","-4.099999938160181","-4.099999938160181","-4.099999938160181"
"15867","-6.319999907165766","-6.319999907165766","-6.319999907165766"
"15926","-4.919999923557043","-4.919999923557043","-4.919999923557043"
"15940","-1.7999999709427357","-1.7999999709427357","-1.7999999709427357"
"15945","-1.8999999649822712","-1.8999999649822712","-1.8999999649822712"
"15961","-6.639999903738499","-6.639999903738499","-6.639999903738499"
