"Step","env: MINECART - ep_info/Second_minerium","env: MINECART - ep_info/Second_minerium__MIN","env: MINECART - ep_info/Second_minerium__MAX"
"49","0","0","0"
"196","0.1923597902059555","0.1923597902059555","0.1923597902059555"
"233","0","0","0"
"294","0","0","0"
"526","0.7907482981681824","0.7907482981681824","0.7907482981681824"
"623","0","0","0"
"645","0","0","0"
"700","0.35159018635749817","0.35159018635749817","0.35159018635749817"
"774","0.8177620768547058","0.8177620768547058","0.8177620768547058"
"814","0","0","0"
"1109","0","0","0"
"1391","0","0","0"
"1781","0.14120148122310638","0.14120148122310638","0.14120148122310638"
"1789","0","0","0"
"1809","0","0","0"
"1811","1.3877674341201782","1.3877674341201782","1.3877674341201782"
"1816","0.6511340737342834","0.6511340737342834","0.6511340737342834"
"1841","0.6845619082450867","0.6845619082450867","0.6845619082450867"
"1850","0","0","0"
"1897","0.8515852689743042","0.8515852689743042","0.8515852689743042"
"1951","0","0","0"
"1960","0.05722617730498314","0.05722617730498314","0.05722617730498314"
"1974","1.4408847093582153","1.4408847093582153","1.4408847093582153"
"2087","0","0","0"
"2188","0","0","0"
"2488","0","0","0"
"2714","0.05722617730498314","0.05722617730498314","0.05722617730498314"
"2996","0","0","0"
"3093","0","0","0"
"3170","0","0","0"
"3325","0.5767724514007568","0.5767724514007568","0.5767724514007568"
"3335","0.8498634696006775","0.8498634696006775","0.8498634696006775"
"3458","1.4685741662979126","1.4685741662979126","1.4685741662979126"
"3490","0.7493295073509216","0.7493295073509216","0.7493295073509216"
"3498","0","0","0"
"3573","0","0","0"
"3627","0","0","0"
"3656","0","0","0"
"3714","0.9407796263694763","0.9407796263694763","0.9407796263694763"
"3724","0","0","0"
"3970","0.5809199810028076","0.5809199810028076","0.5809199810028076"
"4206","0","0","0"
"4469","0","0","0"
"4535","1.1101537942886353","1.1101537942886353","1.1101537942886353"
"4681","0.0901862308382988","0.0901862308382988","0.0901862308382988"
"4775","1.089950442314148","1.089950442314148","1.089950442314148"
"4935","1.3696277141571045","1.3696277141571045","1.3696277141571045"
"5060","0.08985816687345505","0.08985816687345505","0.08985816687345505"
"5285","0","0","0"
"5574","0.03729419782757759","0.03729419782757759","0.03729419782757759"
"5631","0","0","0"
"5700","0","0","0"
"6114","0","0","0"
"6227","0.8389310836791992","0.8389310836791992","0.8389310836791992"
"6317","0.837002694606781","0.837002694606781","0.837002694606781"
"6377","0","0","0"
"6605","0.643123209476471","0.643123209476471","0.643123209476471"
"6832","0.1883898228406906","0.1883898228406906","0.1883898228406906"
"6869","0.6681503653526306","0.6681503653526306","0.6681503653526306"
"6910","0.7873673439025879","0.7873673439025879","0.7873673439025879"
"7097","1.3771048784255981","1.3771048784255981","1.3771048784255981"
"7256","0.6657105088233948","0.6657105088233948","0.6657105088233948"
"7269","0","0","0"
"7450","0","0","0"
"7509","0.09841965138912201","0.09841965138912201","0.09841965138912201"
"7576","0.7285286784172058","0.7285286784172058","0.7285286784172058"
"7649","0.6385128498077393","0.6385128498077393","0.6385128498077393"
"7660","0.2764168977737427","0.2764168977737427","0.2764168977737427"
"7665","0","0","0"
"7714","0","0","0"
"7891","0","0","0"
"8248","0","0","0"
"8272","0","0","0"
"8285","0.7522900700569153","0.7522900700569153","0.7522900700569153"
"8296","1.3250948190689087","1.3250948190689087","1.3250948190689087"
"8299","1.4107553958892822","1.4107553958892822","1.4107553958892822"
"8450","0","0","0"
"8562","0","0","0"
"8686","0","0","0"
"8806","0.5207510590553284","0.5207510590553284","0.5207510590553284"
"9405","0.7731977105140686","0.7731977105140686","0.7731977105140686"
"9428","0.0329778678715229","0.0329778678715229","0.0329778678715229"
"9540","1.350793719291687","1.350793719291687","1.350793719291687"
"9713","0","0","0"
"9832","0.5490888953208923","0.5490888953208923","0.5490888953208923"
"9945","0.6732268333435059","0.6732268333435059","0.6732268333435059"
"9997","0","0","0"
"10069","0","0","0"
"10464","0","0","0"
"10614","0","0","0"
"10852","0","0","0"
"10856","0","0","0"
"10870","0","0","0"
"10890","0","0","0"
"10961","0","0","0"
"11121","1.3750642538070679","1.3750642538070679","1.3750642538070679"
"11199","0","0","0"
"11323","0.6837448477745056","0.6837448477745056","0.6837448477745056"
"11451","1.4179692268371582","1.4179692268371582","1.4179692268371582"
"11475","0.8820024728775024","0.8820024728775024","0.8820024728775024"
"11562","0","0","0"
"11570","0","0","0"
"11587","0","0","0"
"11645","0.29240453243255615","0.29240453243255615","0.29240453243255615"
"11682","0","0","0"
"11805","0","0","0"
"11856","0.7311447262763977","0.7311447262763977","0.7311447262763977"
"11859","0.7692640423774719","0.7692640423774719","0.7692640423774719"
"11880","0","0","0"
"11933","0","0","0"
"12008","0.16236013174057007","0.16236013174057007","0.16236013174057007"
"12069","0","0","0"
"12345","0.6472399830818176","0.6472399830818176","0.6472399830818176"
"12556","0.8260871767997742","0.8260871767997742","0.8260871767997742"
"12612","0.23851284384727478","0.23851284384727478","0.23851284384727478"
"12677","0","0","0"
"12807","0","0","0"
"12880","0.6455247402191162","0.6455247402191162","0.6455247402191162"
"13006","0","0","0"
"13008","0.7314200401306152","0.7314200401306152","0.7314200401306152"
"13019","0","0","0"
"13040","1.4368393421173096","1.4368393421173096","1.4368393421173096"
"13058","0","0","0"
"13077","0","0","0"
"13222","0.8139263987541199","0.8139263987541199","0.8139263987541199"
"13225","1.4493963718414307","1.4493963718414307","1.4493963718414307"
"13252","0","0","0"
"13339","0.7840537428855896","0.7840537428855896","0.7840537428855896"
"13515","0","0","0"
"13546","0","0","0"
"13584","0","0","0"
"13625","0","0","0"
"13632","1.3797248601913452","1.3797248601913452","1.3797248601913452"
"13665","0","0","0"
"13732","0.7455922961235046","0.7455922961235046","0.7455922961235046"
"13771","0","0","0"
"13779","0","0","0"
"13813","0","0","0"
"13824","0","0","0"
"13827","0","0","0"
"13897","0.8382009863853455","0.8382009863853455","0.8382009863853455"
"13959","0","0","0"
"14099","0.5666083097457886","0.5666083097457886","0.5666083097457886"
"14103","0","0","0"
"14122","0.5640600323677063","0.5640600323677063","0.5640600323677063"
"14208","0","0","0"
"14227","0","0","0"
"14277","0","0","0"
"14281","0","0","0"
"14286","0","0","0"
"14321","0.6705909967422485","0.6705909967422485","0.6705909967422485"
"14343","0","0","0"
"14483","1.3772525787353516","1.3772525787353516","1.3772525787353516"
"14493","0","0","0"
"14571","0","0","0"
"14582","0","0","0"
"14612","0.12466374039649963","0.12466374039649963","0.12466374039649963"
"14662","0","0","0"
"14664","0","0","0"
"14666","0","0","0"
"14670","0","0","0"
"14705","0","0","0"
"14711","1.4485276937484741","1.4485276937484741","1.4485276937484741"
"14725","0","0","0"
"14735","0","0","0"
"14742","0","0","0"
"14770","0","0","0"
"14781","0","0","0"
"14839","0.6727466583251953","0.6727466583251953","0.6727466583251953"
"14841","0","0","0"
"14874","0","0","0"
"14902","0.8101217746734619","0.8101217746734619","0.8101217746734619"
"14937","0.11596131324768066","0.11596131324768066","0.11596131324768066"
"14960","0","0","0"
"14968","0","0","0"
"15068","1.4368393421173096","1.4368393421173096","1.4368393421173096"
"15095","0.619308590888977","0.619308590888977","0.619308590888977"
"15107","0.8686131834983826","0.8686131834983826","0.8686131834983826"
"15109","0","0","0"
"15149","0","0","0"
"15156","0","0","0"
"15260","0.10216131061315536","0.10216131061315536","0.10216131061315536"
"15262","0","0","0"
"15298","0","0","0"
"15300","0","0","0"
"15355","0","0","0"
"15359","0.7884187698364258","0.7884187698364258","0.7884187698364258"
"15409","0","0","0"
"15426","0","0","0"
"15501","0","0","0"
"15590","0","0","0"
"15645","0.03196373209357262","0.03196373209357262","0.03196373209357262"
"15668","0.21115846931934357","0.21115846931934357","0.21115846931934357"
"15749","0","0","0"
"15797","0","0","0"
"15818","0","0","0"
"15873","0.888261616230011","0.888261616230011","0.888261616230011"
"15896","0.8258090019226074","0.8258090019226074","0.8258090019226074"
"15913","1.3631423711776733","1.3631423711776733","1.3631423711776733"
"15917","1.0310412645339966","1.0310412645339966","1.0310412645339966"
"15949","0","0","0"
"16000","0","0","0"
"16055","0","0","0"
"16114","0.756373405456543","0.756373405456543","0.756373405456543"
"16147","0.755085825920105","0.755085825920105","0.755085825920105"
"16205","0","0","0"
"16274","0","0","0"
"16318","0","0","0"
"16342","0","0","0"
"16351","0","0","0"
"16359","0.8866637349128723","0.8866637349128723","0.8866637349128723"
"16392","0.30391794443130493","0.30391794443130493","0.30391794443130493"
"16403","0","0","0"
"16448","0.8042689561843872","0.8042689561843872","0.8042689561843872"
"16459","0","0","0"
"16477","0.6230835914611816","0.6230835914611816","0.6230835914611816"
"16496","0.9114833474159241","0.9114833474159241","0.9114833474159241"
"16500","0.8163415193557739","0.8163415193557739","0.8163415193557739"
"16501","0.7521026730537415","0.7521026730537415","0.7521026730537415"
"16507","0.8081463575363159","0.8081463575363159","0.8081463575363159"
"16553","0.6557533740997314","0.6557533740997314","0.6557533740997314"
"16560","0","0","0"
"16638","0.7763128280639648","0.7763128280639648","0.7763128280639648"
"16654","0","0","0"
"16658","0.8214729428291321","0.8214729428291321","0.8214729428291321"
"16677","0","0","0"
"16738","0.793325662612915","0.793325662612915","0.793325662612915"
"16805","0","0","0"
"16814","0","0","0"
"16991","0.5485091209411621","0.5485091209411621","0.5485091209411621"
"17040","0.8061230778694153","0.8061230778694153","0.8061230778694153"
"17065","0.659110963344574","0.659110963344574","0.659110963344574"
"17086","0","0","0"
"17090","0.21393847465515137","0.21393847465515137","0.21393847465515137"
"17121","0.6527883410453796","0.6527883410453796","0.6527883410453796"
"17195","0.7314200401306152","0.7314200401306152","0.7314200401306152"
"17207","0.1069786325097084","0.1069786325097084","0.1069786325097084"
"17270","0.7358458042144775","0.7358458042144775","0.7358458042144775"
"17289","0","0","0"
"17297","0.7259691953659058","0.7259691953659058","0.7259691953659058"
"17300","0.6602343320846558","0.6602343320846558","0.6602343320846558"
"17331","0","0","0"
"17353","0.866087019443512","0.866087019443512","0.866087019443512"
"17369","0.8786647319793701","0.8786647319793701","0.8786647319793701"
"17414","0.8547787666320801","0.8547787666320801","0.8547787666320801"
"17479","0.7848543524742126","0.7848543524742126","0.7848543524742126"
"17483","0.9376751780509949","0.9376751780509949","0.9376751780509949"
"17513","0.5017643570899963","0.5017643570899963","0.5017643570899963"
"17562","0.7835330963134766","0.7835330963134766","0.7835330963134766"
"17588","0.6705313324928284","0.6705313324928284","0.6705313324928284"
"17624","0.9516574144363403","0.9516574144363403","0.9516574144363403"
"17644","0.7650686502456665","0.7650686502456665","0.7650686502456665"
"17744","0.6862177848815918","0.6862177848815918","0.6862177848815918"
"17759","0.1505448818206787","0.1505448818206787","0.1505448818206787"
