"Step","Minecart-Baseline_1726019116 - ep_info/Second_minerium","Minecart-Baseline_1726019116 - ep_info/Second_minerium__MIN","Minecart-Baseline_1726019116 - ep_info/Second_minerium__MAX"
"106","0.7393503189086914","0.7393503189086914","0.7393503189086914"
"317","0","0","0"
"352","0.7393503189086914","0.7393503189086914","0.7393503189086914"
"353","0","0","0"
"542","0","0","0"
"574","0","0","0"
"624","0","0","0"
"819","1.0020841360092163","1.0020841360092163","1.0020841360092163"
"919","0","0","0"
"954","0","0","0"
"1097","0","0","0"
"1112","0.220614492893219","0.220614492893219","0.220614492893219"
"1349","0.5757760405540466","0.5757760405540466","0.5757760405540466"
"1383","0.7447621822357178","0.7447621822357178","0.7447621822357178"
"1688","0.3072642683982849","0.3072642683982849","0.3072642683982849"
"1985","0","0","0"
"2138","0.4575040936470032","0.4575040936470032","0.4575040936470032"
"2164","0","0","0"
"2434","0.40767204761505127","0.40767204761505127","0.40767204761505127"
"2666","0.5748973488807678","0.5748973488807678","0.5748973488807678"
"2937","0.8135231733322144","0.8135231733322144","0.8135231733322144"
"3004","0.8293876647949219","0.8293876647949219","0.8293876647949219"
"3069","0","0","0"
"3260","0.9394838213920593","0.9394838213920593","0.9394838213920593"
"3302","0.2259087711572647","0.2259087711572647","0.2259087711572647"
"3315","1.440072774887085","1.440072774887085","1.440072774887085"
"3405","1.427319884300232","1.427319884300232","1.427319884300232"
"3479","0","0","0"
"3675","0.661719799041748","0.661719799041748","0.661719799041748"
"3709","1.361522912979126","1.361522912979126","1.361522912979126"
"3815","0","0","0"
"3894","0","0","0"
"3959","0.8906054496765137","0.8906054496765137","0.8906054496765137"
"4054","0","0","0"
"4237","0.8825739622116089","0.8825739622116089","0.8825739622116089"
"4425","0","0","0"
"4569","0.9691959023475647","0.9691959023475647","0.9691959023475647"
"4619","1.2983779907226562","1.2983779907226562","1.2983779907226562"
"4766","0.8749624490737915","0.8749624490737915","0.8749624490737915"
"4850","0","0","0"
"5151","0","0","0"
"5198","0","0","0"
