"Step","env: MINECART - ep_info/First_minerium","env: MINECART - ep_info/First_minerium__MIN","env: MINECART - ep_info/First_minerium__MAX"
"35","0","0","0"
"95","0","0","0"
"496","0","0","0"
"567","0","0","0"
"596","0.6258869767189026","0.6258869767189026","0.6258869767189026"
"614","0","0","0"
"647","0","0","0"
"662","0","0","0"
"724","0.9196916818618774","0.9196916818618774","0.9196916818618774"
"817","0.7146355509757996","0.7146355509757996","0.7146355509757996"
"833","0","0","0"
"1295","0.5504751205444336","0.5504751205444336","0.5504751205444336"
"1313","0","0","0"
"1348","0.5592558979988098","0.5592558979988098","0.5592558979988098"
"1364","0.9335373044013977","0.9335373044013977","0.9335373044013977"
"1529","0.8555279970169067","0.8555279970169067","0.8555279970169067"
"1648","0","0","0"
"1709","0","0","0"
"1759","0","0","0"
"1778","0.8491708636283875","0.8491708636283875","0.8491708636283875"
"1797","0.9427791237831116","0.9427791237831116","0.9427791237831116"
"1942","0","0","0"
"2052","0","0","0"
"2165","0","0","0"
"2484","0","0","0"
"2513","0","0","0"
"2527","0","0","0"
"2665","0.148501455783844","0.148501455783844","0.148501455783844"
"2679","0","0","0"
"2995","0.547719419002533","0.547719419002533","0.547719419002533"
"3043","0","0","0"
"3050","0.8283803462982178","0.8283803462982178","0.8283803462982178"
"3118","0","0","0"
"3127","0","0","0"
"3282","0","0","0"
"3314","0","0","0"
"3330","0","0","0"
"3392","0","0","0"
"3795","0","0","0"
"3869","0","0","0"
"4080","0.4748389720916748","0.4748389720916748","0.4748389720916748"
"4128","0","0","0"
"4129","1.353277564048767","1.353277564048767","1.353277564048767"
"4157","0","0","0"
"4289","1.3386564254760742","1.3386564254760742","1.3386564254760742"
"4385","0.9750966429710388","0.9750966429710388","0.9750966429710388"
"4409","0","0","0"
"4593","0","0","0"
"4629","0","0","0"
"4653","0.5042433142662048","0.5042433142662048","0.5042433142662048"
"4659","0.903587818145752","0.903587818145752","0.903587818145752"
"4863","0.8308208584785461","0.8308208584785461","0.8308208584785461"
"4895","0","0","0"
"4958","0.8769029378890991","0.8769029378890991","0.8769029378890991"
"5312","0","0","0"
"5467","1.4073561429977417","1.4073561429977417","1.4073561429977417"
"5641","0.2221713811159134","0.2221713811159134","0.2221713811159134"
"5648","0","0","0"
"5696","0","0","0"
"5761","0","0","0"
"5919","0.15143737196922302","0.15143737196922302","0.15143737196922302"
"5949","0.7337878346443176","0.7337878346443176","0.7337878346443176"
"6024","0.1763569563627243","0.1763569563627243","0.1763569563627243"
"6071","0.191416934132576","0.191416934132576","0.191416934132576"
"6111","0.764509916305542","0.764509916305542","0.764509916305542"
