"Step","env: MINECART - lambdas/component_0","env: MINECART - lambdas/component_0__MIN","env: MINECART - lambdas/component_0__MAX"
"5100","0.28910496830940247","0.28910496830940247","0.28910496830940247"
"5200","0.2714759111404419","0.2714759111404419","0.2714759111404419"
"5300","0.28455352783203125","0.28455352783203125","0.28455352783203125"
"5400","0.30979010462760925","0.30979010462760925","0.30979010462760925"
"5500","0.3015078902244568","0.3015078902244568","0.3015078902244568"
"5600","0.26343822479248047","0.26343822479248047","0.26343822479248047"
"5700","0.2576473355293274","0.2576473355293274","0.2576473355293274"
"5800","0.2739788591861725","0.2739788591861725","0.2739788591861725"
"5900","0.26521483063697815","0.26521483063697815","0.26521483063697815"
"6000","0.26058098673820496","0.26058098673820496","0.26058098673820496"
"6100","0.27536964416503906","0.27536964416503906","0.27536964416503906"
"6200","0.28369027376174927","0.28369027376174927","0.28369027376174927"
"6300","0.2606234848499298","0.2606234848499298","0.2606234848499298"
"6400","0.2871520221233368","0.2871520221233368","0.2871520221233368"
"6500","0.29202044010162354","0.29202044010162354","0.29202044010162354"
"6600","0.32087185978889465","0.32087185978889465","0.32087185978889465"
"6700","0.3505373001098633","0.3505373001098633","0.3505373001098633"
"6800","0.36828598380088806","0.36828598380088806","0.36828598380088806"
"6900","0.37056249380111694","0.37056249380111694","0.37056249380111694"
"7000","0.38059890270233154","0.38059890270233154","0.38059890270233154"
"7100","0.4020542502403259","0.4020542502403259","0.4020542502403259"
"7200","0.4146350622177124","0.4146350622177124","0.4146350622177124"
"7300","0.4207238554954529","0.4207238554954529","0.4207238554954529"
"7400","0.4318409860134125","0.4318409860134125","0.4318409860134125"
"7500","0.42434537410736084","0.42434537410736084","0.42434537410736084"
"7600","0.3564860224723816","0.3564860224723816","0.3564860224723816"
"7700","0.35901203751564026","0.35901203751564026","0.35901203751564026"
"7800","0.3891712725162506","0.3891712725162506","0.3891712725162506"
"7900","0.40918830037117004","0.40918830037117004","0.40918830037117004"
"8000","0.4001670181751251","0.4001670181751251","0.4001670181751251"
"8100","0.4209340512752533","0.4209340512752533","0.4209340512752533"
"8200","0.4070826768875122","0.4070826768875122","0.4070826768875122"
"8300","0.413562148809433","0.413562148809433","0.413562148809433"
"8400","0.4221891462802887","0.4221891462802887","0.4221891462802887"
"8500","0.41505101323127747","0.41505101323127747","0.41505101323127747"
"8600","0.41136202216148376","0.41136202216148376","0.41136202216148376"
"8700","0.41078701615333557","0.41078701615333557","0.41078701615333557"
"8800","0.4093886911869049","0.4093886911869049","0.4093886911869049"
"8900","0.41825422644615173","0.41825422644615173","0.41825422644615173"
"9000","0.40933141112327576","0.40933141112327576","0.40933141112327576"
"9100","0.4005688726902008","0.4005688726902008","0.4005688726902008"
"9200","0.40728071331977844","0.40728071331977844","0.40728071331977844"
"9300","0.398039847612381","0.398039847612381","0.398039847612381"
"9400","0.38655710220336914","0.38655710220336914","0.38655710220336914"
"9500","0.3680729269981384","0.3680729269981384","0.3680729269981384"
"9600","0.3727560043334961","0.3727560043334961","0.3727560043334961"
"9700","0.38300132751464844","0.38300132751464844","0.38300132751464844"
"9800","0.37994930148124695","0.37994930148124695","0.37994930148124695"
"9900","0.38986557722091675","0.38986557722091675","0.38986557722091675"
"10000","0.39815622568130493","0.39815622568130493","0.39815622568130493"
"10100","0.3835185468196869","0.3835185468196869","0.3835185468196869"
"10200","0.4169067442417145","0.4169067442417145","0.4169067442417145"
"10300","0.4314619302749634","0.4314619302749634","0.4314619302749634"
"10400","0.4019531011581421","0.4019531011581421","0.4019531011581421"
"10500","0.36055442690849304","0.36055442690849304","0.36055442690849304"
"10600","0.36493098735809326","0.36493098735809326","0.36493098735809326"
"10700","0.38165318965911865","0.38165318965911865","0.38165318965911865"
"10800","0.4040992856025696","0.4040992856025696","0.4040992856025696"
"10900","0.4461415708065033","0.4461415708065033","0.4461415708065033"
"11000","0.4463101625442505","0.4463101625442505","0.4463101625442505"
"11100","0.4396572709083557","0.4396572709083557","0.4396572709083557"
"11200","0.4335649907588959","0.4335649907588959","0.4335649907588959"
"11300","0.42294543981552124","0.42294543981552124","0.42294543981552124"
"11400","0.45601409673690796","0.45601409673690796","0.45601409673690796"
"11500","0.4828163683414459","0.4828163683414459","0.4828163683414459"
"11600","0.45260894298553467","0.45260894298553467","0.45260894298553467"
"11700","0.4520014822483063","0.4520014822483063","0.4520014822483063"
"11800","0.440094530582428","0.440094530582428","0.440094530582428"
"11900","0.43386900424957275","0.43386900424957275","0.43386900424957275"
"12000","0.4429682195186615","0.4429682195186615","0.4429682195186615"
"12100","0.4381164312362671","0.4381164312362671","0.4381164312362671"
"12200","0.46097320318222046","0.46097320318222046","0.46097320318222046"
"12300","0.4636892080307007","0.4636892080307007","0.4636892080307007"
"12400","0.46735337376594543","0.46735337376594543","0.46735337376594543"
"12500","0.44310036301612854","0.44310036301612854","0.44310036301612854"
"12600","0.4121696949005127","0.4121696949005127","0.4121696949005127"
"12700","0.4013298749923706","0.4013298749923706","0.4013298749923706"
"12800","0.4247787594795227","0.4247787594795227","0.4247787594795227"
