"Step","env: MINECART - ep_info/Second_minerium","env: MINECART - ep_info/Second_minerium__MIN","env: MINECART - ep_info/Second_minerium__MAX"
"25","0","0","0"
"112","0","0","0"
"170","0.7011138200759888","0.7011138200759888","0.7011138200759888"
"176","0","0","0"
"211","0","0","0"
"248","0","0","0"
"256","0","0","0"
"309","0","0","0"
"329","0.0197940431535244","0.0197940431535244","0.0197940431535244"
"469","0.8940761685371399","0.8940761685371399","0.8940761685371399"
"556","0","0","0"
"576","0.0197940431535244","0.0197940431535244","0.0197940431535244"
"628","0","0","0"
"635","0","0","0"
"707","0","0","0"
"785","0.5648161768913269","0.5648161768913269","0.5648161768913269"
"807","0.5646770000457764","0.5646770000457764","0.5646770000457764"
"869","0","0","0"
"876","0","0","0"
"906","0","0","0"
"978","0.18493635952472687","0.18493635952472687","0.18493635952472687"
"1031","1.3835312128067017","1.3835312128067017","1.3835312128067017"
"1048","0","0","0"
"1058","0","0","0"
"1100","0.8918300271034241","0.8918300271034241","0.8918300271034241"
"1114","0","0","0"
"1186","0","0","0"
"1294","1.4407542943954468","1.4407542943954468","1.4407542943954468"
"1346","0","0","0"
"1462","0","0","0"
"1479","0","0","0"
"1491","0.7298760414123535","0.7298760414123535","0.7298760414123535"
"1502","1.3354976177215576","1.3354976177215576","1.3354976177215576"
"1526","0","0","0"
"1563","1.3886691331863403","1.3886691331863403","1.3886691331863403"
"1566","0","0","0"
"1572","0.0783764198422432","0.0783764198422432","0.0783764198422432"
"1577","0","0","0"
"1585","0.5810728073120117","0.5810728073120117","0.5810728073120117"
"1593","0","0","0"
"1612","0","0","0"
"1613","0","0","0"
"1654","0","0","0"
"1687","0","0","0"
"1720","0","0","0"
"1732","0","0","0"
"1744","0","0","0"
"1747","0","0","0"
"1776","0.7283707857131958","0.7283707857131958","0.7283707857131958"
"1829","0","0","0"
"1908","0","0","0"
"1917","0","0","0"
"2136","0.6344789862632751","0.6344789862632751","0.6344789862632751"
"2236","0","0","0"
"2260","0","0","0"
"2285","1.4110312461853027","1.4110312461853027","1.4110312461853027"
"2315","0","0","0"
"2329","0.10788711905479431","0.10788711905479431","0.10788711905479431"
"2362","0","0","0"
"2391","0.11424693465232849","0.11424693465232849","0.11424693465232849"
"2471","0.7355412840843201","0.7355412840843201","0.7355412840843201"
"2503","0.9201764464378357","0.9201764464378357","0.9201764464378357"
"2520","0.7724743485450745","0.7724743485450745","0.7724743485450745"
"2545","0.0795058086514473","0.0795058086514473","0.0795058086514473"
"2641","0.22611744701862335","0.22611744701862335","0.22611744701862335"
"2706","0","0","0"
"2758","0","0","0"
"2809","0.5332304239273071","0.5332304239273071","0.5332304239273071"
"2851","0","0","0"
"2852","0.9788680076599121","0.9788680076599121","0.9788680076599121"
"2881","0","0","0"
"2895","0","0","0"
"2927","0","0","0"
"2933","0.6454976797103882","0.6454976797103882","0.6454976797103882"
"2963","0","0","0"
"3050","1.3899383544921875","1.3899383544921875","1.3899383544921875"
"3119","0.6071035861968994","0.6071035861968994","0.6071035861968994"
"3128","0","0","0"
"3132","0","0","0"
"3161","0","0","0"
"3220","0","0","0"
"3253","0.7879152297973633","0.7879152297973633","0.7879152297973633"
"3267","0.7268578410148621","0.7268578410148621","0.7268578410148621"
"3389","0.6509649157524109","0.6509649157524109","0.6509649157524109"
"3433","0","0","0"
"3594","0","0","0"
"3673","0","0","0"
"3711","1.3970623016357422","1.3970623016357422","1.3970623016357422"
"3770","0.9511840343475342","0.9511840343475342","0.9511840343475342"
"3805","0","0","0"
"3859","0","0","0"
"3900","0","0","0"
"3961","1.245307207107544","1.245307207107544","1.245307207107544"
"4005","0.782932460308075","0.782932460308075","0.782932460308075"
"4044","0","0","0"
"4111","0","0","0"
"4198","0.5057768821716309","0.5057768821716309","0.5057768821716309"
"4302","0.20364652574062347","0.20364652574062347","0.20364652574062347"
"4333","0","0","0"
"4377","0","0","0"
"4466","1.1291028261184692","1.1291028261184692","1.1291028261184692"
"4500","0","0","0"
"4568","0","0","0"
"4580","0","0","0"
"4615","0","0","0"
"4616","0","0","0"
"4617","0.7777175307273865","0.7777175307273865","0.7777175307273865"
"4618","0","0","0"
"4653","0.7065357565879822","0.7065357565879822","0.7065357565879822"
"4694","0","0","0"
"4726","0","0","0"
"4763","0","0","0"
"4782","0","0","0"
"4802","0","0","0"
"4803","0","0","0"
"4837","0","0","0"
"4869","0.7944819331169128","0.7944819331169128","0.7944819331169128"
"4909","0.7502594590187073","0.7502594590187073","0.7502594590187073"
"4961","0.4255267083644867","0.4255267083644867","0.4255267083644867"
"4969","0.7852161526679993","0.7852161526679993","0.7852161526679993"
"4993","0","0","0"
"5075","0","0","0"
"5131","0","0","0"
"5186","0.5529792904853821","0.5529792904853821","0.5529792904853821"
"5253","0.9475614428520203","0.9475614428520203","0.9475614428520203"
"5325","0.6672938466072083","0.6672938466072083","0.6672938466072083"
"5339","0.685762345790863","0.685762345790863","0.685762345790863"
"5380","0.15742690861225128","0.15742690861225128","0.15742690861225128"
"5388","1.41697359085083","1.41697359085083","1.41697359085083"
"5516","0.9036108255386353","0.9036108255386353","0.9036108255386353"
"5560","0","0","0"
"5671","1.239266037940979","1.239266037940979","1.239266037940979"
"5686","0.7371996641159058","0.7371996641159058","0.7371996641159058"
