,HV,Cardinality,Time (m)
Envelope,707.6522414629078,155,507
GPI-LS,723.863533943064,500,422
PCN,686.5653561434198,373,120
IPRO,721.5634595890562,86,2400
DQN,1209.279852138181,31,15
DRQ,1199.0289500422539,52,21
DyLam-DQN,1213.6700113712307,32,20
