"Step","env: ROBUSTNESS_TEST1 - ep_info/Move","env: ROBUSTNESS_TEST1 - ep_info/Move__MIN","env: ROBUSTNESS_TEST1 - ep_info/Move__MAX"
"91","-1.3861609719136139","-1.3861609719136139","-1.3861609719136139"
"103","0.5049231771843243","0.5049231771843243","0.5049231771843243"
"276","4.358286248598177","4.358286248598177","4.358286248598177"
"399","0.0250116631559254","-7.560621478956221","7.6106448052680715"
"1285","-7.500533685599084","-7.500533685599084","-7.500533685599084"
"1298","1.5084103104332331","1.5084103104332331","1.5084103104332331"
"1378","3.665272812669588","3.665272812669588","3.665272812669588"
"1655","-6.477219064283518","-6.477219064283518","-6.477219064283518"
"1685","-5.479054110065455","-5.479054110065455","-5.479054110065455"
"1698","-0.9044410435124283","-0.9044410435124283","-0.9044410435124283"
"1778","-6.61967031590441","-6.61967031590441","-6.61967031590441"
"1798","-3.408589504366931","-3.408589504366931","-3.408589504366931"
"1876","-3.96824672463575","-3.96824672463575","-3.96824672463575"
"1889","2.5271254199384785","2.5271254199384785","2.5271254199384785"
"2098","-8.442800688783588","-8.442800688783588","-8.442800688783588"
"2100","3.051617733242764","3.051617733242764","3.051617733242764"
"2117","-2.9286373452191397","-2.9286373452191397","-2.9286373452191397"
"2127","-9.72829989805096","-9.72829989805096","-9.72829989805096"
"2167","-5.613093993242575","-5.613093993242575","-5.613093993242575"
"2262","7.571283573612062","7.571283573612062","7.571283573612062"
"2267","-2.683644495062718","-2.683644495062718","-2.683644495062718"
"2335","-4.6385977700772125","-4.6385977700772125","-4.6385977700772125"
"2485","-6.56517639722277","-6.56517639722277","-6.56517639722277"
"2491","-11.708989264224426","-11.708989264224426","-11.708989264224426"
"2498","-1.7536498228253563","-1.7536498228253563","-1.7536498228253563"
"2567","2.5553363849456776","2.5553363849456776","2.5553363849456776"
"2577","-6.27621688079314","-6.27621688079314","-6.27621688079314"
"2662","-1.8059816369443278","-1.8059816369443278","-1.8059816369443278"
"2781","6.536598166655009","6.536598166655009","6.536598166655009"
"2799","-1.7708781180044602","-1.7708781180044602","-1.7708781180044602"
"2830","-1.4354089648828046","-1.4354089648828046","-1.4354089648828046"
"2977","-5.056978441952617","-5.056978441952617","-5.056978441952617"
"3086","-1.5204937944298593","-1.5204937944298593","-1.5204937944298593"
"3089","-7.301465897596456","-7.301465897596456","-7.301465897596456"
"3135","0.622282010504873","0.622282010504873","0.622282010504873"
"3199","0.24584868552879968","0.24584868552879968","0.24584868552879968"
"3318","-4.2660900095205","-4.2660900095205","-4.2660900095205"
"3327","-4.662261143088576","-4.662261143088576","-4.662261143088576"
"3364","0.023876532089446845","0.023876532089446845","0.023876532089446845"
"3511","-7.919307558236474","-7.919307558236474","-7.919307558236474"
"3599","6.009811447235247","3.772997033144418","8.246625861326077"
"3718","-2.642896534059232","-2.642896534059232","-2.642896534059232"
"3749","5.553820957252587","5.553820957252587","5.553820957252587"
"3764","0.9398463223503395","0.9398463223503395","0.9398463223503395"
"3767","-8.313430326162056","-8.313430326162056","-8.313430326162056"
"3778","-10.237102658868851","-10.237102658868851","-10.237102658868851"
"3832","-5.998319707838249","-5.998319707838249","-5.998319707838249"
"3862","-4.867746156555178","-4.867746156555178","-4.867746156555178"
"3867","4.638918931614617","4.638918931614617","4.638918931614617"
"3886","-3.9704216675176442","-3.9704216675176442","-3.9704216675176442"
"3999","4.7557198928708395","1.5651430497739682","7.94629673596771"
"4030","-4.239810726083948","-4.239810726083948","-4.239810726083948"
"4065","6.641023873604559","6.641023873604559","6.641023873604559"
"4085","4.895476522253665","4.895476522253665","4.895476522253665"
"4134","-5.276328362906136","-5.276328362906136","-5.276328362906136"
"4224","-1.955372846744297","-1.955372846744297","-1.955372846744297"
"4262","-8.42845120484824","-8.42845120484824","-8.42845120484824"
"4273","-0.323947684569067","-0.323947684569067","-0.323947684569067"
"4276","2.3525791175570108","2.3525791175570108","2.3525791175570108"
"4311","-0.352249319380918","-0.352249319380918","-0.352249319380918"
"4399","11.888956837368777","11.888956837368777","11.888956837368777"
"4465","-3.6223584016535937","-3.6223584016535937","-3.6223584016535937"
"4503","2.0240144239066313","2.0240144239066313","2.0240144239066313"
"4564","3.0935006484566276","3.0935006484566276","3.0935006484566276"
"4574","-7.165240399660009","-7.165240399660009","-7.165240399660009"
"4647","1.683583828160415","1.683583828160415","1.683583828160415"
"4673","-2.5071116343312334","-2.5071116343312334","-2.5071116343312334"
"4735","-11.190127671851762","-11.190127671851762","-11.190127671851762"
"4762","1.623509257167934","1.623509257167934","1.623509257167934"
"4779","2.915401192616844","2.915401192616844","2.915401192616844"
"4799","-3.4251948438682986","-5.646398629047829","-0.9901722362974832"
"4900","4.778607326487125","4.778607326487125","4.778607326487125"
"4918","4.6799377350805775","4.6799377350805775","4.6799377350805775"
"4927","11.784674554855865","11.784674554855865","11.784674554855865"
"4934","-8.06534651286324","-8.06534651286324","-8.06534651286324"
"4964","-3.2737150242856026","-3.2737150242856026","-3.2737150242856026"
"4974","-0.7006051291217082","-0.7006051291217082","-0.7006051291217082"
"4977","-7.599872242601698","-7.599872242601698","-7.599872242601698"
"4981","2.6059155967628542","2.6059155967628542","2.6059155967628542"
"5045","0.6413655616973489","0.6413655616973489","0.6413655616973489"
"5062","-9.916167289082464","-9.916167289082464","-9.916167289082464"
"5073","0.7395498021135469","0.7395498021135469","0.7395498021135469"
"5089","-2.7166768711959617","-2.7166768711959617","-2.7166768711959617"
"5162","-2.3634021440496076","-2.3634021440496076","-2.3634021440496076"
"5179","-3.6421554113933623","-3.6421554113933623","-3.6421554113933623"
"5199","4.195009344433614","4.195009344433614","4.195009344433614"
"5300","-5.303690412805651","-5.303690412805651","-5.303690412805651"
"5352","0.4758353920018727","0.4758353920018727","0.4758353920018727"
"5374","3.2207035865261933","-2.7396626483774615","9.181069821429848"
"5381","-1.346720457317299","-1.346720457317299","-1.346720457317299"
"5403","-9.446350269947464","-9.446350269947464","-9.446350269947464"
"5424","-0.8668194133502118","-0.8668194133502118","-0.8668194133502118"
"5447","-10.260818040049665","-10.260818040049665","-10.260818040049665"
"5718","-2.9107327402641925","-2.9107327402641925","-2.9107327402641925"
"5727","-9.068814361589189","-9.068814361589189","-9.068814361589189"
"5734","-8.808866302332648","-8.808866302332648","-8.808866302332648"
"5774","-1.7757073492507982","-4.88794640931632","1.3365317108147232"
"5783","-2.7893825042691347","-2.7893825042691347","-2.7893825042691347"
"5845","-8.097013961679925","-8.097013961679925","-8.097013961679925"
"5889","5.170104654557952","5.170104654557952","5.170104654557952"
"5976","-0.8844243077644633","-0.8844243077644633","-0.8844243077644633"
"5999","15.93752669012918","15.93752669012918","15.93752669012918"
"6065","-1.5216249693183899","-1.5216249693183899","-1.5216249693183899"
"6091","6.157708536292658","6.157708536292658","6.157708536292658"
"6149","3.787992884423957","3.787992884423957","3.787992884423957"
"6174","12.846382498422663","12.846382498422663","12.846382498422663"
"6289","6.90041595209242","6.90041595209242","6.90041595209242"
"6343","0.1561997306415754","0.1561997306415754","0.1561997306415754"
