"Step","env: ROBUSTNESS_TEST1 - ep_info/Ball","env: ROBUSTNESS_TEST1 - ep_info/Ball__MIN","env: ROBUSTNESS_TEST1 - ep_info/Ball__MAX"
"91","20.887234265897884","20.887234265897884","20.887234265897884"
"103","-22.082361912261366","-22.082361912261366","-22.082361912261366"
"276","-6.628272251961931","-6.628272251961931","-6.628272251961931"
"399","9.340809825646764","0","18.681619651293527"
"1285","-5.62435208252657","-5.62435208252657","-5.62435208252657"
"1298","0","0","0"
"1378","9.506714839069947","9.506714839069947","9.506714839069947"
"1655","-0.9971869986209136","-0.9971869986209136","-0.9971869986209136"
"1685","0","0","0"
"1698","0","0","0"
"1778","0","0","0"
"1798","0","0","0"
"1876","0","0","0"
"1889","14.182853274263982","14.182853274263982","14.182853274263982"
"2098","-0.18006524843793836","-0.18006524843793836","-0.18006524843793836"
"2100","-12.218024381008851","-12.218024381008851","-12.218024381008851"
"2117","2.4274332308047706","2.4274332308047706","2.4274332308047706"
"2127","0","0","0"
"2167","10.758777805002858","10.758777805002858","10.758777805002858"
"2262","0","0","0"
"2267","9.503361046217421","9.503361046217421","9.503361046217421"
"2335","0","0","0"
"2485","0","0","0"
"2491","6.6467844317388405","6.6467844317388405","6.6467844317388405"
"2498","0","0","0"
"2567","0","0","0"
"2577","0","0","0"
"2662","0","0","0"
"2781","-23.291582947034666","-23.291582947034666","-23.291582947034666"
"2799","0","0","0"
"2830","0","0","0"
"2977","0","0","0"
"3086","0","0","0"
"3089","-5.501198885417057","-5.501198885417057","-5.501198885417057"
"3135","0","0","0"
"3199","0","0","0"
"3318","10.410549548032538","10.410549548032538","10.410549548032538"
"3327","0","0","0"
"3364","11.445074584006647","11.445074584006647","11.445074584006647"
"3511","0","0","0"
"3599","13.146984922127965","1.6349695430079263","24.659000301248003"
"3718","-5.135191331160604","-5.135191331160604","-5.135191331160604"
"3749","0","0","0"
"3764","0","0","0"
"3767","0","0","0"
"3778","0","0","0"
"3832","0","0","0"
"3862","0","0","0"
"3867","0","0","0"
"3886","0","0","0"
"3999","0.6337963771511425","0","1.267592754302285"
"4030","0","0","0"
"4065","0","0","0"
"4085","0","0","0"
"4134","-12.455977896558615","-12.455977896558615","-12.455977896558615"
"4224","0","0","0"
"4262","0","0","0"
"4273","0","0","0"
"4276","-15.346257170206222","-15.346257170206222","-15.346257170206222"
"4311","0","0","0"
"4399","-15.776161581375534","-15.776161581375534","-15.776161581375534"
"4465","0","0","0"
"4503","28.593255587290415","28.593255587290415","28.593255587290415"
"4564","0","0","0"
"4574","0","0","0"
"4647","7.490511516449431","7.490511516449431","7.490511516449431"
"4673","16.44535580675697","16.44535580675697","16.44535580675697"
"4735","0","0","0"
"4762","0","0","0"
"4779","0","0","0"
"4799","0","0","0"
"4900","0","0","0"
"4918","16.356345174677514","16.356345174677514","16.356345174677514"
"4927","0","0","0"
"4934","0","0","0"
"4964","0","0","0"
"4974","3.9045471962430245","3.9045471962430245","3.9045471962430245"
"4977","0","0","0"
"4981","-4.000488945195026","-4.000488945195026","-4.000488945195026"
"5045","0","0","0"
"5062","0","0","0"
"5073","-12.155034557567753","-12.155034557567753","-12.155034557567753"
"5089","0","0","0"
"5162","0","0","0"
"5179","0","0","0"
"5199","0","0","0"
"5300","4.17194638293238","4.17194638293238","4.17194638293238"
"5352","0","0","0"
"5374","2.580155881602205","0","5.16031176320441"
"5381","0","0","0"
"5403","9.233136662531432","9.233136662531432","9.233136662531432"
"5424","-0.07746593266592106","-0.07746593266592106","-0.07746593266592106"
"5447","0","0","0"
"5718","0","0","0"
"5727","0","0","0"
"5734","0","0","0"
"5774","0.3049943706206634","0","0.6099887412413268"
"5783","0","0","0"
"5845","0","0","0"
"5889","0","0","0"
"5976","-15.444917028677589","-15.444917028677589","-15.444917028677589"
"5999","-1.423613952151486","-1.423613952151486","-1.423613952151486"
"6065","13.638897513051406","13.638897513051406","13.638897513051406"
"6091","8.278337555618855","8.278337555618855","8.278337555618855"
"6149","-0.5443339510415086","-0.5443339510415086","-0.5443339510415086"
"6174","-24.170922984721702","-24.170922984721702","-24.170922984721702"
"6289","11.562826233888543","11.562826233888543","11.562826233888543"
"6343","0.9725511109690443","0.9725511109690443","0.9725511109690443"
"6367","0","0","0"
"6399","20.845256630737964","20.845256630737964","20.845256630737964"
"6454","-14.981803147099887","-14.981803147099887","-14.981803147099887"
"6500","0","0","0"
"6518","0","0","0"
"6549","0","0","0"
"6552","0","0","0"
"6581","0","0","0"
"6583","0","0","0"
"6601","11.219952004138426","11.219952004138426","11.219952004138426"
"6624","0","0","0"
"6627","0","0","0"
"6632","8.458237796602086","8.458237796602086","8.458237796602086"
"6650","0","0","0"
"6664","-20.62841270239923","-20.62841270239923","-20.62841270239923"
"6686","0","0","0"
"6741","0","0","0"
"6776","0","0","0"
"6799","12.128106913657506","0","24.256213827315012"
"6865","23.053674802290207","23.053674802290207","23.053674802290207"
"6873","7.0088072487413235","7.0088072487413235","7.0088072487413235"
"6900","0","0","0"
"6934","0","0","0"
"6949","6.3032646448773395","6.3032646448773395","6.3032646448773395"
"6964","-0.7115498603922354","-0.7115498603922354","-0.7115498603922354"
"6978","0","0","0"
"6995","-10.518843782065776","-10.518843782065776","-10.518843782065776"
"7024","0.1343023791807174","0.1343023791807174","0.1343023791807174"
"7027","0","0","0"
"7032","0","0","0"
"7047","-19.060923982032325","-19.060923982032325","-19.060923982032325"
"7062","0","0","0"
"7064","23.994105781944324","23.994105781944324","23.994105781944324"
"7071","5.72872751534975","5.72872751534975","5.72872751534975"
"7103","-0.07121892349460635","-0.07121892349460635","-0.07121892349460635"
"7111","18.98721197857459","18.98721197857459","18.98721197857459"
"7265","0","0","0"
"7285","0","0","0"
"7300","0","0","0"
"7321","3.0303848540545077","3.0303848540545077","3.0303848540545077"
"7352","0","0","0"
"7377","0","0","0"
"7383","0","0","0"
"7401","0","0","0"
"7424","0","0","0"
"7427","10.549453372131653","10.549453372131653","10.549453372131653"
"7467","0","0","0"
"7473","0.47693237643602615","0.47693237643602615","0.47693237643602615"
"7486","0","0","0"
"7489","0","0","0"
"7503","0","0","0"
"7576","0","0","0"
"7599","0","0","0"
"7665","0","0","0"
"7673","0","0","0"
"7685","0","0","0"
"7691","0","0","0"
"7730","-0.901096666720469","-0.901096666720469","-0.901096666720469"
"7749","0","0","0"
"7752","-18.095407733075135","-18.095407733075135","-18.095407733075135"
"7774","0","0","0"
"7783","0","0","0"
"7847","0","0","0"
"7873","0","0","0"
"7889","-0.3310223987370242","-0.3310223987370242","-0.3310223987370242"
"7903","-1.2950295899184923","-1.2950295899184923","-1.2950295899184923"
"7935","20.753518178796377","20.753518178796377","20.753518178796377"
"7938","0","0","0"
"7976","0","0","0"
"7999","0","0","0"
"8098","0","0","0"
"8099","-33.18790592037743","-33.18790592037743","-33.18790592037743"
"8141","0","0","0"
"8163","0","0","0"
"8201","-7.336366530408414","-7.336366530408414","-7.336366530408414"
"8232","0","0","0"
"8247","-3.3945166837783534","-3.3945166837783534","-3.3945166837783534"
"8250","3.2091172304053504","3.2091172304053504","3.2091172304053504"
"8260","0","0","0"
"8264","0","0","0"
"8338","0","0","0"
"8399","0","0","0"
"8478","0","0","0"
"8497","0.8121601495502728","0.8121601495502728","0.8121601495502728"
"8510","-10.292493967817666","-10.292493967817666","-10.292493967817666"
"8527","0","0","0"
"8544","0","0","0"
"8574","0","0","0"
"8603","0","0","0"
"8615","-10.568454312779679","-10.568454312779679","-10.568454312779679"
"8647","8.793197535506934","8.793197535506934","8.793197535506934"
"8674","9.785104951574956","9.785104951574956","9.785104951574956"
"8686","0","0","0"
"8779","0","0","0"
"8865","0","0","0"
"8883","0.6861958175632066","0.6861958175632066","0.6861958175632066"
"8923","-9.598604585254035","-9.598604585254035","-9.598604585254035"
"8927","0","0","0"
"8941","0","0","0"
"8944","0","0","0"
"8974","9.54878833854607","0","19.09757667709214"
"9032","0","0","0"
"9086","0","0","0"
"9141","0","0","0"
"9179","0","0","0"
"9197","0","0","0"
"9199","0","0","0"
"9265","0","0","0"
"9278","-4.520129191160962","-4.520129191160962","-4.520129191160962"
"9300","0","0","0"
"9318","2.981932568647586","2.981932568647586","2.981932568647586"
"9323","0","0","0"
"9330","0","0","0"
"9349","0","0","0"
"9427","0","0","0"
"9450","12.64270439416862","12.64270439416862","12.64270439416862"
"9459","0","0","0"
"9462","0","0","0"
"9549","8.961103745580825","8.961103745580825","8.961103745580825"
"9553","0","0","0"
"9567","0","0","0"
"9654","0","0","0"
"9683","0","0","0"
"9718","-3.7705006601745295","-3.7705006601745295","-3.7705006601745295"
"9721","0","0","0"
"9723","0","0","0"
"9734","16.73134063440519","16.73134063440519","16.73134063440519"
"9741","-6.472209323529325","-6.472209323529325","-6.472209323529325"
"9744","0","0","0"
"9794","4.104261211167903","4.104261211167903","4.104261211167903"
"9827","0","0","0"
"9832","0","0","0"
"9847","0","0","0"
"9862","0","0","0"
"9864","-15.128927462836794","-15.128927462836794","-15.128927462836794"
"9871","0","0","0"
"9901","0","0","0"
"9935","0","0","0"
"9941","0","0","0"
"9967","0","0","0"
"9999","0.060890981738598526","0.060890981738598526","0.060890981738598526"
"10054","1.025154001565215","1.025154001565215","1.025154001565215"
"10068","0","0","0"
"10078","0","0","0"
"10141","0","0","0"
"10163","-3.873402706262601","-3.873402706262601","-3.873402706262601"
"10174","0","0","0"
"10177","0","0","0"
"10201","2.6852623298328506","2.6852623298328506","2.6852623298328506"
"10247","-3.893437364554864","-3.893437364554864","-3.893437364554864"
"10260","0","0","0"
"10264","0","0","0"
"10286","0","0","0"
"10331","0","0","0"
"10335","0","0","0"
"10337","0","0","0"
"10376","0","0","0"
"10397","0","0","0"
"10468","0","0","0"
"10485","0","0","0"
"10497","6.2710847256805895","6.2710847256805895","6.2710847256805895"
"10552","0","0","0"
"10563","0","0","0"
"10583","0","0","0"
"10594","0","0","0"
"10603","0","0","0"
"10620","0","0","0"
"10648","-4.16224395753711","-4.16224395753711","-4.16224395753711"
"10650","-1.7689071057857388","-1.7689071057857388","-1.7689071057857388"
"10655","-1.4367645382766803","-1.4367645382766803","-1.4367645382766803"
"10671","-0.352744435018737","-0.352744435018737","-0.352744435018737"
"10686","0","0","0"
"10731","0","0","0"
"10741","15.205758375912735","15.205758375912735","15.205758375912735"
"10799","0","0","0"
"10865","0","0","0"
"10873","0","0","0"
"10885","19.320740997817254","19.320740997817254","19.320740997817254"
"10897","0","0","0"
"10974","0","0","0"
"10978","0","0","0"
"10994","0","0","0"
"11015","0","0","0"
"11027","0","0","0"
"11048","0","0","0"
"11050","0","0","0"
"11064","0","0","0"
"11116","0","0","0"
"11171","0","0","0"
"11199","0","0","0"
"11245","32.63915388549642","32.63915388549642","32.63915388549642"
"11254","0","0","0"
"11265","0","0","0"
"11300","0","0","0"
"11321","3.0132302502891726","3.0132302502891726","3.0132302502891726"
"11331","11.999154937275526","11.999154937275526","11.999154937275526"
"11334","0","0","0"
"11349","0","0","0"
"11363","-2.2211364941970526","-2.2211364941970526","-2.2211364941970526"
"11374","0","0","0"
"11396","0","0","0"
"11401","0","0","0"
"11414","-5.518160343993695","-5.518160343993695","-5.518160343993695"
"11455","0","0","0"
"11474","0","0","0"
"11516","25.571472920621762","25.571472920621762","25.571472920621762"
"11553","7.622496156169575","7.622496156169575","7.622496156169575"
"11597","0","0","0"
"11631","0","0","0"
"11665","0","0","0"
"11678","0","0","0"
"11685","-18.98118838248221","-18.98118838248221","-18.98118838248221"
"11700","0","0","0"
"11730","0","0","0"
"11731","0","0","0"
"11774","-4.81564902947799","-4.81564902947799","-4.81564902947799"
"11788","0","0","0"
"11801","0","0","0"
"11803","13.892009035792338","13.892009035792338","13.892009035792338"
"11815","7.550696447095658","7.550696447095658","7.550696447095658"
"11817","1.5625033132494803","1.5625033132494803","1.5625033132494803"
"11916","-14.336339754769632","-14.336339754769632","-14.336339754769632"
"11938","-5.423879839065488","-5.423879839065488","-5.423879839065488"
"11953","0","0","0"
"11999","7.126769132134241","7.126769132134241","7.126769132134241"
"12085","0","0","0"
"12121","-1.91992731498791","-1.91992731498791","-1.91992731498791"
"12131","0","0","0"
"12174","0","0","0"
"12192","15.35306949533958","15.35306949533958","15.35306949533958"
"12194","0","0","0"
"12201","0","0","0"
"12214","0","0","0"
"12215","-0.1781852074556195","-0.1781852074556195","-0.1781852074556195"
"12327","17.25939180895489","17.25939180895489","17.25939180895489"
"12335","0","0","0"
"12349","0","0","0"
"12368","0","0","0"
"12454","0","0","0"
"12468","0","0","0"
"12481","6.281648419567384","6.281648419567384","6.281648419567384"
"12483","0","0","0"
"12497","0","0","0"
"12531","-3.7264906770648647","-3.7264906770648647","-3.7264906770648647"
"12574","-0.014196329797653229","-0.028392659595306458","0"
"12578","13.364080383395212","13.364080383395212","13.364080383395212"
"12592","0","0","0"
"12624","0","0","0"
"12675","0","0","0"
"12686","0","0","0"
"12705","3.0884324114752584","3.0884324114752584","3.0884324114752584"
"12727","0","0","0"
"12735","0","0","0"
"12749","8.445439072526996","8.445439072526996","8.445439072526996"
"12779","5.268465295874111","5.268465295874111","5.268465295874111"
"12799","0","0","0"
"12845","0","0","0"
"12854","-16.879815856804175","-16.879815856804175","-16.879815856804175"
"12885","0","0","0"
"12897","-6.207854491885584","-6.207854491885584","-6.207854491885584"
"12963","6.284423482016175","6.284423482016175","6.284423482016175"
"12974","-9.844572326705572","-9.844572326705572","-9.844572326705572"
"13001","2.639453286156595","2.639453286156595","2.639453286156595"
"13032","0","0","0"
"13062","0","0","0"
"13071","0","0","0"
"13105","0","0","0"
"13149","0","0","0"
"13199","0.42833628753358166","0.42833628753358166","0.42833628753358166"
"13254","0","0","0"
"13285","-12.336794055003937","-12.336794055003937","-12.336794055003937"
"13297","0","0","0"
"13300","-2.88722317065645","-2.88722317065645","-2.88722317065645"
"13341","0","0","0"
"13344","0","0","0"
"13374","0","0","0"
"13396","-22.294602833263475","-22.294602833263475","-22.294602833263475"
"13401","0","0","0"
"13420","0","0","0"
"13427","-10.597384871552599","-10.597384871552599","-10.597384871552599"
"13450","-0.22026122457657338","-0.22026122457657338","-0.22026122457657338"
"13451","5.683956102891759","5.683956102891759","5.683956102891759"
"13474","0","0","0"
"13475","5.655495742171614","5.655495742171614","5.655495742171614"
"13517","29.777024359766585","29.777024359766585","29.777024359766585"
"13531","27.806906112902176","27.806906112902176","27.806906112902176"
"13539","0","0","0"
"13549","-5.244721724243892","-5.244721724243892","-5.244721724243892"
"13568","0","0","0"
"13645","0","0","0"
"13649","0","0","0"
"13707","-20.392475395196083","-20.392475395196083","-20.392475395196083"
"13727","0","0","0"
"13774","-10.868363906484612","-10.868363906484612","-10.868363906484612"
"13778","0","0","0"
"13794","0","0","0"
"13801","0","0","0"
"13814","0","0","0"
"13871","1.3375605577052307","1.3375605577052307","1.3375605577052307"
"13888","0","0","0"
"13901","0","0","0"
"13931","0","0","0"
"14045","4.476778950044694","4.476778950044694","4.476778950044694"
"14049","1.2496972621847768","1.2496972621847768","1.2496972621847768"
"14065","0","0","0"
"14068","0","0","0"
"14078","0","0","0"
"14121","0","0","0"
"14141","3.4954033085005713","3.4954033085005713","3.4954033085005713"
"14162","0","0","0"
"14174","0","0","0"
"14215","0","0","0"
"14248","9.24262246728316","9.24262246728316","9.24262246728316"
"14271","0","0","0"
"14288","-24.01067795973012","-24.01067795973012","-24.01067795973012"
"14301","0","0","0"
"14327","0","0","0"
"14346","14.602185685292092","14.602185685292092","14.602185685292092"
"14376","0","0","0"
"14399","-10.84175767148321","-10.84175767148321","-10.84175767148321"
"14431","-12.959364795519514","-12.959364795519514","-12.959364795519514"
"14449","0","0","0"
"14497","0","0","0"
"14530","0","0","0"
"14578","4.253980735406432","4.253980735406432","4.253980735406432"
"14628","0","0","0"
"14632","7.224463881069982","7.224463881069982","7.224463881069982"
"14749","0","0","0"
"14768","8.345840058742528","8.345840058742528","8.345840058742528"
"14797","-1.4174396964667884","-1.4174396964667884","-1.4174396964667884"
"14799","0","0","0"
"14868","-7.331194118207238","-14.662388236414476","0"
"14881","11.6719372735176","11.6719372735176","11.6719372735176"
"14927","0","0","0"
"14962","0","0","0"
"14978","3.8521718817195856","3.8521718817195856","3.8521718817195856"
"15015","-0.6780503408980204","-0.6780503408980204","-0.6780503408980204"
