"Step","env: ROBUSTNESS_TEST1 - ep_info/Goal","env: ROBUSTNESS_TEST1 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST1 - ep_info/Goal__MAX"
"10686","0","0","0"
"10731","0","0","0"
"10741","0","0","0"
"10799","0","0","0"
"10865","0","0","0"
"10873","0","0","0"
"10885","1","1","1"
"10897","0","0","0"
"10974","0","0","0"
"10978","0","0","0"
"10994","0","0","0"
"11015","0","0","0"
"11027","0","0","0"
"11048","0","0","0"
"11050","0","0","0"
"11064","0","0","0"
"11116","0","0","0"
"11171","0","0","0"
"11199","0","0","0"
"11245","1","1","1"
"11254","0","0","0"
"11265","0","0","0"
"11300","0","0","0"
"11321","0","0","0"
"11331","0","0","0"
"11334","0","0","0"
"11349","0","0","0"
"11363","0","0","0"
"11374","0","0","0"
"11396","0","0","0"
"11401","0","0","0"
"11414","-1","-1","-1"
"11455","0","0","0"
"11474","0","0","0"
"11516","0","0","0"
"11553","0","0","0"
"11597","0","0","0"
"11631","0","0","0"
"11665","0","0","0"
"11678","0","0","0"
"11685","0","0","0"
"11700","0","0","0"
"11730","0","0","0"
"11731","0","0","0"
"11774","0","0","0"
"11788","0","0","0"
"11801","0","0","0"
"11803","0","0","0"
"11815","0","0","0"
"11817","0","0","0"
"11916","0","0","0"
"11938","0","0","0"
"11953","0","0","0"
"11999","0","0","0"
"12085","0","0","0"
"12121","0","0","0"
"12131","0","0","0"
"12174","0","0","0"
"12192","1","1","1"
"12194","0","0","0"
"12201","0","0","0"
"12214","0","0","0"
"12215","0","0","0"
"12327","1","1","1"
"12335","0","0","0"
"12349","0","0","0"
"12368","0","0","0"
"12454","0","0","0"
"12468","0","0","0"
"12481","1","1","1"
"12483","0","0","0"
"12497","0","0","0"
"12531","0","0","0"
"12574","0","0","0"
"12578","1","1","1"
"12592","0","0","0"
"12624","0","0","0"
"12675","0","0","0"
"12686","0","0","0"
"12705","1","1","1"
"12727","0","0","0"
"12735","0","0","0"
"12749","0","0","0"
"12779","1","1","1"
"12799","0","0","0"
"12845","0","0","0"
"12854","0","0","0"
"12885","0","0","0"
"12897","0","0","0"
"12963","0","0","0"
"12974","0","0","0"
"13001","0","0","0"
"13032","0","0","0"
"13062","0","0","0"
"13071","0","0","0"
"13105","0","0","0"
"13149","0","0","0"
"13199","0","0","0"
"13254","0","0","0"
"13285","0","0","0"
"13297","0","0","0"
"13300","-1","-1","-1"
"13341","0","0","0"
"13344","0","0","0"
"13374","0","0","0"
"13396","0","0","0"
"13401","0","0","0"
"13420","0","0","0"
"13427","0","0","0"
"13450","0","0","0"
"13451","1","1","1"
"13474","0","0","0"
"13475","0","0","0"
"13517","1","1","1"
"13531","0","0","0"
"13539","0","0","0"
"13549","0","0","0"
"13568","0","0","0"
"13645","0","0","0"
"13649","0","0","0"
"13707","-1","-1","-1"
"13727","0","0","0"
"13774","0","0","0"
"13778","0","0","0"
"13794","0","0","0"
"13801","0","0","0"
"13814","0","0","0"
"13871","0","0","0"
"13888","0","0","0"
"13901","0","0","0"
"13931","0","0","0"
"14045","0","0","0"
"14049","0","0","0"
"14065","0","0","0"
"14068","0","0","0"
"14078","0","0","0"
"14121","0","0","0"
"14141","0","0","0"
"14162","0","0","0"
"14174","0","0","0"
"14215","0","0","0"
"14248","0","0","0"
"14271","0","0","0"
"14288","0","0","0"
"14301","0","0","0"
"14327","0","0","0"
"14346","0","0","0"
"14376","0","0","0"
"14399","0","0","0"
"14431","0","0","0"
"14449","0","0","0"
"14497","0","0","0"
"14530","0","0","0"
"14578","0","0","0"
"14628","0","0","0"
"14632","0","0","0"
"14749","0","0","0"
"14768","0","0","0"
"14797","0","0","0"
"14799","0","0","0"
"14868","0","0","0"
"14881","1","1","1"
"14927","0","0","0"
"14962","0","0","0"
"14978","0","0","0"
"15015","0","0","0"
"15027","0","0","0"
"15048","0","0","0"
"15050","0","0","0"
"15051","0","0","0"
"15055","0","0","0"
"15059","0","0","0"
"15075","0","0","0"
"15149","0","0","0"
"15197","0","0","0"
"15199","0","0","0"
"15254","0","0","0"
"15273","0","0","0"
"15349","0","0","0"
"15352","0","0","0"
"15378","0","0","0"
"15415","0","0","0"
"15427","0","0","0"
"15448","0","0","0"
"15471","0","0","0"
"15501","0","0","0"
