"Step","env: ROBUSTNESS_TEST1 - ep_info/Energy","env: ROBUSTNESS_TEST1 - ep_info/Energy__MIN","env: ROBUSTNESS_TEST1 - ep_info/Energy__MAX"
"91","-46.12022418805355","-46.12022418805355","-46.12022418805355"
"103","-56.315613858320596","-56.315613858320596","-56.315613858320596"
"276","-136.05755664537358","-136.05755664537358","-136.05755664537358"
"399","-201.85345504380365","-202.996297417966","-200.71061266964128"
"1285","-41.69925477969141","-41.69925477969141","-41.69925477969141"
"1298","-189.8330509158132","-189.8330509158132","-189.8330509158132"
"1378","-200.3619663265917","-200.3619663265917","-200.3619663265917"
"1655","-203.28639311358012","-203.28639311358012","-203.28639311358012"
"1685","-201.61930184421212","-201.61930184421212","-201.61930184421212"
"1698","-206.00346462228495","-206.00346462228495","-206.00346462228495"
"1778","-196.3670573132909","-196.3670573132909","-196.3670573132909"
"1798","-198.79466828758802","-198.79466828758802","-198.79466828758802"
"1876","-203.96110466688506","-203.96110466688506","-203.96110466688506"
"1889","-198.9878380570081","-198.9878380570081","-198.9878380570081"
"2098","-198.50416944804888","-198.50416944804888","-198.50416944804888"
"2100","-48.194870369768424","-48.194870369768424","-48.194870369768424"
"2117","-56.65470789229878","-56.65470789229878","-56.65470789229878"
"2127","-198.63505020101786","-198.63505020101786","-198.63505020101786"
"2167","-199.328283045542","-199.328283045542","-199.328283045542"
"2262","-203.8783573630688","-203.8783573630688","-203.8783573630688"
"2267","-131.5795177809863","-131.5795177809863","-131.5795177809863"
"2335","-203.18696606848772","-203.18696606848772","-203.18696606848772"
"2485","-189.3961246187806","-189.3961246187806","-189.3961246187806"
"2491","-200.95246530885208","-200.95246530885208","-200.95246530885208"
"2498","-209.53789268135435","-209.53789268135435","-209.53789268135435"
"2567","-191.1830360835213","-191.1830360835213","-191.1830360835213"
"2577","-207.66550777878047","-207.66550777878047","-207.66550777878047"
"2662","-202.78648835301112","-202.78648835301112","-202.78648835301112"
"2781","-207.29630408633835","-207.29630408633835","-207.29630408633835"
"2799","-202.15923869432189","-202.15923869432189","-202.15923869432189"
"2830","-203.1474217365275","-203.1474217365275","-203.1474217365275"
"2977","-197.2080711054192","-197.2080711054192","-197.2080711054192"
"3086","-201.47912213617664","-201.47912213617664","-201.47912213617664"
"3089","-198.89903106952872","-198.89903106952872","-198.89903106952872"
"3135","-203.64755729044475","-203.64755729044475","-203.64755729044475"
"3199","-204.58569662355742","-204.58569662355742","-204.58569662355742"
"3318","-59.04237204558864","-59.04237204558864","-59.04237204558864"
"3327","-195.26805828323188","-195.26805828323188","-195.26805828323188"
"3364","-30.691920024994367","-30.691920024994367","-30.691920024994367"
"3511","-203.24136864300297","-203.24136864300297","-203.24136864300297"
"3599","-201.3206799016031","-206.09584573302385","-196.5455140701824"
"3718","-194.17540342088967","-194.17540342088967","-194.17540342088967"
"3749","-200.60142107888478","-200.60142107888478","-200.60142107888478"
"3764","-201.21220609495202","-201.21220609495202","-201.21220609495202"
"3767","-195.49919965388085","-195.49919965388085","-195.49919965388085"
"3778","-196.6134862338406","-196.6134862338406","-196.6134862338406"
"3832","-197.45576054945926","-197.45576054945926","-197.45576054945926"
"3862","-204.61925883856938","-204.61925883856938","-204.61925883856938"
"3867","-200.8196423822786","-200.8196423822786","-200.8196423822786"
"3886","-198.60277715249924","-198.60277715249924","-198.60277715249924"
"3999","-194.6377097807239","-195.45967645527722","-193.81574310617057"
