"Step","env: ROBUSTNESS_TEST2 - ep_info/Move","env: ROBUSTNESS_TEST2 - ep_info/Move__MIN","env: ROBUSTNESS_TEST2 - ep_info/Move__MAX"
"52","-3.4416002494843796","-3.4416002494843796","-3.4416002494843796"
"399","1.270308985741602","-2.236553245319556","4.619917294188576"
"1199","8.515222042181959","8.515222042181959","8.515222042181959"
"1262","-11.520181443470578","-11.520181443470578","-11.520181443470578"
"1549","-9.173492628591513","-9.173492628591513","-9.173492628591513"
"1570","-1.8915957775889618","-1.8915957775889618","-1.8915957775889618"
"1599","3.3336545829318087","3.3336545829318087","3.3336545829318087"
"1636","-1.3000883404383088","-1.3000883404383088","-1.3000883404383088"
"1652","-4.729352742587775","-4.729352742587775","-4.729352742587775"
"1662","-1.7269323172283833","-1.7269323172283833","-1.7269323172283833"
"1849","2.097419006293351","2.097419006293351","2.097419006293351"
"1922","-1.5686331532280848","-1.5686331532280848","-1.5686331532280848"
"1969","-1.7397253171132467","-1.7397253171132467","-1.7397253171132467"
"1999","-2.4886444524079194","-4.798572741466694","1.8418579516874651"
"2052","5.941116890862252","5.941116890862252","5.941116890862252"
"2071","3.56858401685535","3.56858401685535","3.56858401685535"
"2185","3.096292554891854","0.430014298661293","5.762570811122415"
"2299","-12.726704912600301","-12.726704912600301","-12.726704912600301"
"2369","3.3273350922048723","3.3273350922048723","3.3273350922048723"
"2399","-0.06929881443105579","-5.4552669568924","5.311600092081892"
"2446","-2.8076409027697373","-2.8076409027697373","-2.8076409027697373"
"2521","-1.2768914923306534","-1.2768914923306534","-1.2768914923306534"
"2530","-0.3605270266536106","-0.3605270266536106","-0.3605270266536106"
"2566","6.412131507666499","6.412131507666499","6.412131507666499"
"2581","-4.572459405840345","-4.572459405840345","-4.572459405840345"
"2585","3.5846485438546813","3.5846485438546813","3.5846485438546813"
"2688","-6.151259871763965","-6.151259871763965","-6.151259871763965"
"2749","-4.1699803029881615","-4.1699803029881615","-4.1699803029881615"
"2769","14.834968366548518","14.834968366548518","14.834968366548518"
"2799","3.278481617883597","3.278481617883597","3.278481617883597"
"2845","-1.379482246418347","-1.379482246418347","-1.379482246418347"
"2921","0.7054359912516156","0.7054359912516156","0.7054359912516156"
"2930","-5.985025248413078","-5.985025248413078","-5.985025248413078"
"2933","5.6920460491250084","5.6920460491250084","5.6920460491250084"
"2946","3.313507388357109","3.313507388357109","3.313507388357109"
"2981","3.6288082150660586","3.6288082150660586","3.6288082150660586"
"3099","-1.3594757578063246","-1.3594757578063246","-1.3594757578063246"
"3169","3.0418108233915278","-0.33085045215128034","6.414472098934336"
"3181","-12.214816173754715","-12.214816173754715","-12.214816173754715"
"3199","-8.183182776836613","-9.705396578355904","-6.6609689753173225"
"3236","4.468733887636994","4.468733887636994","4.468733887636994"
"3252","-9.099378654461667","-9.099378654461667","-9.099378654461667"
"3321","-9.530770133481282","-9.530770133481282","-9.530770133481282"
"3385","-2.7950140574331135","-2.7950140574331135","-2.7950140574331135"
"3499","-6.407563687718707","-6.407563687718707","-6.407563687718707"
