"Step","env: ROBUSTNESS_TEST2 - ep_info/Goal","env: ROBUSTNESS_TEST2 - ep_info/Goal__MIN","env: ROBUSTNESS_TEST2 - ep_info/Goal__MAX"
"52","1","1","1"
"399","0","0","0"
"1199","0","0","0"
"1262","0","0","0"
"1549","0","0","0"
"1570","0","0","0"
"1599","0","0","0"
"1636","0","0","0"
"1652","0","0","0"
"1662","0","0","0"
"1849","0","0","0"
"1922","1","1","1"
"1969","0","0","0"
"1999","0","0","0"
"2052","0","0","0"
"2071","-1","-1","-1"
"2185","0.5","0","1"
"2299","0","0","0"
"2369","0","0","0"
"2399","0","0","0"
"2446","0","0","0"
"2521","0","0","0"
"2530","0","0","0"
"2566","0","0","0"
"2581","0","0","0"
"2585","0","0","0"
"2688","0","0","0"
"2749","0","0","0"
"2769","0","0","0"
"2799","0","0","0"
"2845","1","1","1"
"2921","0","0","0"
"2930","0","0","0"
"2933","0","0","0"
"2946","1","1","1"
"2981","0","0","0"
"3099","0","0","0"
"3169","0","0","0"
"3181","-1","-1","-1"
"3199","0","0","0"
"3236","0","0","0"
"3252","0","0","0"
"3321","0","0","0"
"3385","0","0","0"
"3499","0","0","0"
"3581","0","0","0"
"3599","0","0","0"
"3631","0","0","0"
"3645","0","0","0"
"3662","0","0","0"
"3671","0","0","0"
"3676","0","0","0"
"3730","0","0","0"
"3760","0","0","0"
"3877","0","0","0"
"3930","0","0","0"
"3969","0","0","0"
"3970","0","0","0"
"3981","0","0","0"
"4036","0","0","0"
"4069","0","0","0"
"4070","1","1","1"
"4085","-1","-1","-1"
"4121","0","0","0"
"4151","0","0","0"
"4159","1","1","1"
"4160","0","0","0"
"4181","0","0","0"
"4185","0","0","0"
"4288","0","0","0"
"4299","0","0","0"
"4324","0","0","0"
"4349","0","0","0"
"4369","0","0","0"
"4370","0","0","0"
"4381","0","0","0"
"4399","0","0","0"
"4445","0","0","0"
"4462","0","0","0"
"4476","0","0","0"
"4576","0","0","0"
"4585","0","0","0"
"4699","0","0","0"
"4749","0","0","0"
"4765","0","0","0"
"4769","0","0","0"
"4781","0","0","0"
"4799","0","0","0"
"4846","0","0","0"
"4862","0","0","0"
"4869","0","0","0"
"4871","0","0","0"
"4874","0","0","0"
"4880","0","0","0"
"4906","0","0","0"
"4946","0","0","0"
"4951","0","0","0"
"4959","0","0","0"
"5079","0","0","0"
"5088","0","0","0"
"5169","0","0","0"
"5181","0","0","0"
"5199","0","0","0"
"5231","0","0","0"
"5252","0","0","0"
"5269","0","0","0"
"5271","0","0","0"
"5276","0","0","0"
"5280","0","0","0"
"5306","0","0","0"
"5322","-1","-1","-1"
"5346","0","0","0"
"5352","1","1","1"
"5376","0","0","0"
"5381","0","0","0"
"5488","0","0","0"
"5530","0","0","0"
"5544","0","0","0"
"5565","0","0","0"
