"Step","env: HALFCHEETAHEF - ep_info/Final_position","env: HALFCHEETAHEF - ep_info/Final_position__MIN","env: HALFCHEETAHEF - ep_info/Final_position__MAX"
"999","-2.9850932130459658","-7.967741240377091","3.5849076969996614"
"1999","-4.418340984083598","-8.186788357246867","-2.3370063886583616"
"2999","-5.435782723548511","-11.924864133905965","-1.3190456935309092"
"3999","-3.0754230540961","-10.71513421498861","3.319045263902755"
"4999","-8.18829777188866","-12.163878668415029","-3.7062992555976746"
"5999","-2.2041471406813304","-4.963540580407231","1.7505358451303703"
"6999","-2.8691138964061347","-10.092838722091479","2.1347088818679603"
"7999","-3.496037350488291","-7.836608247487002","2.2073497209120325"
"8999","-3.1554077727669183","-11.091482147384822","0.37502434598832457"
"9999","0.2058868466946422","-2.629466077027037","3.3780920164442656"
"10999","-1.8515312524404013","-5.001153961556863","2.284237733327638"
"11999","-1.1193016180678872","-3.990916089004797","1.457527954620569"
"12999","1.6393703953357832","-0.3492395629408578","2.6949617086675364"
"13999","1.5401235010824699","-0.3266566876738498","3.04938348795719"
"14999","-2.417853508696317","-7.921798428427927","4.717674426914308"
"15999","-1.9667968239200728","-8.13512130271667","4.366646270431641"
"16999","-1.4786134015733254","-7.314782195077815","4.127337373685066"
"17999","32.395879123191534","2.704579062652194","79.31193590149735"
"18999","37.50578937807853","14.107046087922258","54.700409603956125"
"19999","45.66931416709536","8.714702519401088","115.58910194154998"
"20999","107.39593527000268","39.96045856357639","149.74733596205925"
"21999","98.91263168509879","21.4917549619777","158.14210990146975"
"22999","144.18197365247346","107.19993751589476","162.98028945332942"
"23999","163.5913125214567","114.95842517628788","186.53656682824862"
"24999","143.9924472850263","45.835100893886796","183.15457833506792"
"25999","185.28608171199713","145.8762006645289","207.6610395994722"
"26999","194.78725175491905","155.77254006890848","214.4552771970877"
"27999","205.87505826681644","168.37586774038587","221.3161276698205"
"28999","218.46039717977473","180.23129282770867","243.44261589988218"
"29999","224.5144163142085","190.96424917661295","250.74860671307397"
"30999","220.10806897717742","155.54031640352062","258.23879545009123"
"31999","246.59442383262567","218.11429323798484","275.0097633105296"
"32999","243.28803519676276","215.15720980205148","266.37702243492913"
"33999","254.4055186865059","221.7917917670571","283.438174615603"
"34999","259.5327940747866","223.27571445521173","289.8202046571693"
"35999","264.7588547272031","243.41933302735663","293.84294391971275"
"36999","271.54570189269305","248.6504501991842","294.49951642264216"
"37999","275.7047322892836","259.20888676260444","298.01878631988086"
"38999","248.43740627389474","153.5467992797523","297.636921868961"
"39999","276.8035930343675","261.1964307728711","291.9074108868006"
"40999","283.13463434839923","257.5797033139646","309.756374739918"
"41999","218.73933620447764","121.52147537853126","294.6883566380614"
"42999","285.58099375622453","264.5992136176466","309.2367340900534"
"43999","288.2685681450036","260.2542511184337","315.9695503066071"
"44999","286.0996128729682","261.49275239318825","310.40518814634544"
"45999","286.633529368317","265.30312813975803","315.61133227107405"
"46999","283.0078334496655","268.4220077066451","303.9540590224646"
"47999","289.9180452127225","272.8433791752579","322.4089886839696"
"48999","293.5220710901241","272.63700508745114","316.92080844960384"
"49999","293.0082304442509","272.2619994938124","316.1557476819758"
"50999","292.0104081009493","270.61410477086037","315.883003849696"
"51999","296.95748861596365","267.25412730201884","320.9456233816062"
"52999","294.4466400798523","269.63951906961074","325.2671509494178"
"53999","296.2812982225329","273.63761768160543","329.8156947212525"
"54999","294.9953863451152","262.38734155429006","323.8258741247166"
"55999","297.17994384899555","268.106397833982","326.56573710706135"
"56999","296.7701505466215","266.1541708176935","334.53636530106485"
"57999","291.9789649969896","256.3567543987967","324.8054270865545"
"58999","295.04042822310515","273.96770913844534","323.3923537773596"
"59999","297.8932010898942","269.96287032133364","334.01366157053394"
"60999","294.2232925696004","259.45882121352923","327.27001544716245"
"61999","298.9520292784984","262.9508158608056","329.15500178318086"
"62999","300.853602456668","274.00808617188983","335.15641066385166"
"63999","299.4691517056703","270.47864490218086","319.87334736179946"
"64999","295.8618134715618","273.39385268568395","323.1530700898282"
"65999","302.33839755595477","272.68072208365066","325.03771257929515"
"66999","301.47896722584494","271.09320857780443","339.5725534789449"
"67999","305.62249099868416","272.12270963491204","344.9782307776936"
"68999","304.8422752814583","274.21267143912695","346.8184484614371"
"69999","305.2034351180567","278.82047394059975","330.40165682889574"
"70999","301.5673850707134","272.86190599709465","321.05979794217825"
"71999","303.24525273416305","273.0151133380051","327.6909583725594"
"72999","310.2313929745311","280.9406969945649","331.517673914078"
"73999","300.49562383855016","270.8211657575098","322.6010216824769"
"74999","307.27651873969234","272.3404219254025","333.367025107942"
"75999","308.32770347640115","275.96580821068636","327.6535400760426"
"76999","300.86312745512834","280.82437249592726","318.59051698567697"
"77999","305.3052707025342","276.5684157966787","328.690279121096"
"78999","304.21757748679954","276.3586285975279","317.6303182888642"
"79999","303.55106306917224","275.5028095259106","330.72112676550904"
"80999","307.2297037932422","283.1634529157543","333.31623711558655"
"81999","311.3608665417663","290.42952765877504","346.2344046753443"
"82999","310.47055381065576","298.98548794212275","324.2925878977756"
"83999","312.19806092099714","296.16523553907115","346.2450368879797"
"84999","311.0520601500547","294.20873066318677","337.75033241317374"
"85999","312.95918121540467","298.612434318068","329.3629487812818"
"86999","308.4361527332795","287.479341338036","330.87917538537386"
"87999","309.7552556228534","289.16399901567786","335.12081327654954"
"88999","313.60419953379665","295.7711216594267","358.0575517878865"
"89999","316.7917371115755","293.91698778238856","354.9678934167936"
"90999","322.40538760354247","294.8106597497417","362.10812779941654"
"91999","319.4247407849828","301.56306616492105","360.4336220759594"
"92999","308.13366039703965","243.05430569641047","356.29757197216895"
"93999","320.56199487280867","298.6668987146539","355.40766858450655"
"94999","329.1943600255912","303.1888261307681","377.263838581757"
"95999","331.84233772249104","306.9781145909088","366.83271542950666"
"96999","330.4269208597599","307.82772749455177","379.66062133902363"
"97999","327.48559539677564","305.52207185568375","355.0010365223391"
"98999","331.9009332618878","307.9764225609141","376.41157609711536"
"99999","330.86129152149397","307.1559545913723","375.92983146729284"
"100999","337.7616799598454","312.01706549435903","376.7777699368203"
"101999","336.4995156798346","299.75930330084446","382.9468018903829"
"102999","342.3197936721582","309.9657941028719","388.55664329849134"
"103999","344.1215064949114","309.8106950498112","387.1180928336138"
"104999","348.34727294309033","313.1361469765045","409.3623747837359"
"105999","352.14547752543416","314.17698205692784","399.68779245313016"
"106999","351.69529696575137","315.5405597927788","406.3714212369091"
"107999","352.4815183194047","311.9333805796873","407.0157495592117"
"108999","350.3714989217707","312.23206045651744","393.7993953548435"
"109999","365.4293880810046","314.25098251084745","423.6843683022161"
"110999","363.0987662658885","324.03285529712963","420.63187188383523"
"111999","367.4699824644572","331.715530827961","419.30137942591074"
"112999","363.63924536217496","318.706201599104","411.10371227618333"
"113999","368.8879195669001","318.91975904466926","421.3543925276018"
"114999","367.9703654686008","323.02666062231947","421.504148429808"
"115999","368.5854700436495","322.5600258783601","417.98228276182147"
"116999","374.2000660451334","331.9286142028231","427.9365207450194"
"117999","376.843161126305","326.0380480235622","420.29961433239885"
"118999","380.1934162509882","335.48438071462624","425.7100168886108"
"119999","376.6080325428301","330.16980477557655","412.7316139095961"
"120999","387.26684196908843","330.2346657519457","427.54413267836577"
"121999","385.48690742839426","335.3659741325972","431.06536997226436"
"122999","383.99310531964863","322.48060539145666","430.471060300408"
"123999","386.9074676296266","325.453442224485","430.8207361130614"
"124999","394.61249947933254","333.4469764991693","445.5224101294269"
"125999","396.5305130724441","338.6088204611188","436.79162938395945"
"126999","397.3550311346171","331.17286425829604","441.5403793190628"
"127999","397.00280034360924","332.7578582806282","446.12854959207306"
"128999","395.5408299556376","342.5280191896634","432.95484104710386"
"129999","396.623769205788","335.7989645643851","437.1097096779432"
"130999","394.9279723758336","337.50307955992463","439.4782221668429"
"131999","399.12584286171","350.41715324850327","433.0346253007229"
"132999","405.49467868756415","347.1259332539394","439.8366050661534"
"133999","406.69884677830333","332.3525290519045","454.9830974029508"
"134999","407.69069693829397","341.91271022811765","437.8615478525827"
"135999","408.4992210772091","352.4336356030266","454.01315671746363"
"136999","402.1642493453958","298.7173714342796","441.46539234761764"
"137999","404.83503246390495","345.1741748738308","452.0198106001341"
"138999","417.4366265569559","357.16404545961785","457.5322841234081"
"139999","407.9757350158234","346.3396118502168","450.55046794091857"
"140999","418.6791098158177","352.4756515592823","463.4736902439023"
"141999","419.6046128288529","365.3888778079491","458.4897341641178"
"142999","419.41239356826907","349.9149107346163","466.24797051269513"
"143999","422.07851094340504","350.54353417762826","460.55213739384675"
"144999","426.7207992118808","360.8129482990102","467.0719585576137"
"145999","423.34544760195865","354.28376843342454","457.9310234161637"
"146999","419.5937840822112","355.7862675012862","454.27098099556684"
"147999","424.7582733879673","353.11957248293044","458.4420626833431"
"148999","426.3307017048795","370.8207275599683","460.8256339379569"
"149999","434.8529787146698","367.4560165224624","466.3827124130302"
"150999","427.1265850677516","368.1566319633396","455.00473836321214"
"151999","344.73012086016286","25.43178468027216","466.491635096025"
"152999","433.87440143455035","365.1446527944199","466.0413748753436"
"153999","438.66030906525367","376.1112010634524","471.4956351189118"
"154999","441.9054030151068","369.1719605783669","474.9650070075626"
"155999","431.2149351942168","368.4080736623441","461.57488748064594"
"156999","438.9151550276264","371.7468219182762","469.17706932328446"
"157999","437.9049974167532","370.9462143413043","472.1800223016287"
"158999","442.6026934813552","373.7225533169603","473.68356276984224"
"159999","439.00028396873023","371.61155303259636","469.5020873787103"
"160999","443.7659408571394","373.2985591548428","469.0264781034504"
"161999","443.6926218083298","384.23392232558444","470.87554333299164"
"162999","446.39718775668825","379.5004960989373","477.61690774249615"
"163999","444.6947581811578","370.71018362598903","467.5926594138523"
"164999","443.0759502964299","376.50424864354596","485.4752945400504"
"165999","441.494410234515","380.87195453187604","481.78607403740926"
"166999","438.6052940653526","368.846840200146","481.95612626299874"
"167999","441.62729019949273","379.0685481167833","480.18171518941074"
"168999","449.0686280224196","378.86366118151335","476.3738433518748"
"169999","436.9323318612228","377.4101321090039","469.6197645905341"
"170999","447.5716629706696","374.6235275418754","479.7510929263329"
"171999","447.1329645603123","387.58636028256575","488.02380974761854"
"172999","443.3323086910997","376.90479918209473","488.87777320266423"
"173999","446.9441808018937","381.90455652695465","488.9035999523133"
"174999","436.0776977394702","384.52923788369026","464.88655938098935"
"175999","446.8181139973443","393.79724194836774","476.31321476847944"
"176999","450.249059864973","381.2784492482846","489.6364974751213"
"177999","449.57443565087453","380.48486721193865","480.62107703062776"
"178999","452.6020055485451","387.53454833874156","493.0419584403516"
"179999","452.1758722997814","378.6891779610417","493.27223493160193"
"180999","444.1192772874832","384.4829500001812","474.73090654815394"
"181999","444.93979774748215","383.29433011446696","476.9260949449639"
"182999","455.5327795000347","382.1594956337485","489.1728526186127"
"183999","452.3533442476356","397.91620375467534","474.8552461720917"
"184999","449.43815148129204","379.72183344705275","485.1824419745705"
"185999","454.0019864420553","388.45897316869633","483.9568334103037"
"186999","450.8750185364841","382.79255986176946","481.0120649713811"
"187999","451.6187033646812","387.9531043822874","480.1964381210289"
"188999","456.14522702122133","390.6694539236125","481.66207463728546"
"189999","452.5669509136336","394.5821425127983","481.21665541612924"
"190999","449.5052399013101","385.9296759361262","495.75942503195165"
"191999","457.88845452258266","393.6968192683583","488.09725187031916"
"192999","456.7508977240324","394.8360525010094","483.0929196958772"
"193999","455.18273014599436","396.57464894539976","485.4460466014577"
"194999","448.8759420292966","387.8160591109287","486.41933902958846"
"195999","458.7180378740571","393.2833019780458","487.5204470147072"
"196999","452.51963016905756","386.39342607845845","482.40188168298005"
"197999","450.45479463381537","395.01569223650733","493.08101503048835"
"198999","455.6974332167645","390.00515910641445","490.4237576837088"
"199999","453.6719080084032","393.2807020061324","487.4070315902945"
"200999","467.7594600960141","395.77353815993524","495.60460728393923"
"201999","455.02875673629904","405.5751251651907","476.0019670313101"
"202999","459.65924014947984","411.78178786557476","498.87509012676213"
"203999","463.5837903146163","403.7508206602766","491.27276671984924"
"204999","462.0199428575614","402.02615700508454","486.0341730713287"
"205999","460.17595351281943","396.43086054907275","486.44928190664035"
"206999","460.30902931318394","404.3405223360722","486.78353185635063"
"207999","465.06197389806056","396.47112153433454","491.9746876477114"
"208999","470.84085397683396","413.1789498511143","504.1515782864982"
"209999","420.16147261322186","237.00387677027396","490.81173527323125"
"210999","470.15640016801007","400.07172981143344","503.87379711272075"
"211999","464.46237127351634","412.57093571789665","486.39231585451387"
"212999","467.7718495771155","406.02635437840934","491.4931884943949"
"213999","470.2809852268809","415.71916243099","494.05085314401913"
"214999","472.612173502529","416.92920700274243","499.68011155951586"
"215999","458.01111724858174","377.578351417171","498.1699102083357"
"216999","389.1359992932853","109.59346143881132","480.94798262684986"
"217999","461.70178431102585","406.5405512684999","481.5699371834692"
"218999","470.62459461802047","392.3098912397906","502.8909784967867"
"219999","467.97426396345884","389.27314757990206","492.85665364220694"
"220999","379.65026358801776","7.776677440870423","500.4829371088782"
"221999","460.15523249615217","406.00178495951815","494.6118086077526"
"222999","445.3751335344012","386.9416354975995","496.6682825428903"
"223999","477.649987933101","415.2058626252313","506.83666111524826"
"224999","466.89763831484305","419.50431760421947","496.96740693846687"
"225999","465.7488444792046","408.9014202183185","494.8057402207803"
"226999","460.78285665693886","403.76300945939215","484.49753658858947"
"227999","469.19050520978874","418.5189909869311","505.5431420512597"
"228999","470.1287905557809","427.1152536878485","509.51257913038734"
"229999","467.02638217567727","417.24760405477076","509.7319303897934"
"230999","462.53226889224754","415.3988831123407","504.02969786333847"
"231999","460.39575682004863","406.55330750510745","492.4455459356409"
"232999","463.64688223434416","411.76259446347154","501.8010142744968"
"233999","472.16985788809177","413.2871685343953","500.9113742035217"
"234999","472.894703085719","421.44565736069563","501.18415636828337"
"235999","473.29140421536323","421.6554966315822","497.69384263910564"
"236999","470.10293321248446","429.0203717123288","495.647024971008"
"237999","472.89419308063253","427.1313887935477","502.9803851489161"
"238999","468.86534181376567","420.2160315988513","500.71816911638535"
"239999","476.9744390875837","431.0697049163233","496.0369383939306"
"240999","467.8682530288117","424.4483558814739","494.4973738992647"
"241999","476.7392880655172","427.0771412538582","503.6939025755023"
"242999","474.5720227998562","429.6610695133222","501.35618522473885"
"243999","480.3874320937265","430.86015129555693","506.1010849879384"
"244999","390.7366180200528","84.10802941525853","494.6518851531017"
"245999","478.9481526900416","433.791705029969","501.1507517322389"
