"Step","env: HALFCHEETAHEF - ep_info/Final_position","env: HALFCHEETAHEF - ep_info/Final_position__MIN","env: HALFCHEETAHEF - ep_info/Final_position__MAX"
"999","-7.33410057452128","-12.666545457602167","-2.3442825656664166"
"1999","-8.008625760196196","-13.808065832885749","-3.7125582649452062"
"2999","-4.876699150623532","-8.278370704270714","-1.4194499652548305"
"3999","-3.201373886269586","-6.731386510243127","0.8008101371727884"
"4999","-1.8339257328424274","-3.6908033815176364","0.08390637151106886"
"5999","-2.524073223480107","-8.20547555314539","3.09451175254674"
"6999","-1.4708136096946356","-5.912851876308648","2.7871956692529904"
"7999","-1.7668432951607902","-5.076899487740755","0.8386623766399157"
"8999","-0.805546671683963","-4.491574176415396","2.218837427990476"
"9999","-0.1739855502363929","-2.1984175316743144","1.8537973372868044"
"10999","-1.6876388939478797","-2.666115764702323","-0.7238345155161375"
"11999","1.0840598260048295","-3.528567209523915","6.55396757171519"
"12999","-0.015936024548080952","-3.7637206046647567","4.102531810668512"
"13999","-0.6968616178250344","-11.467766974126231","4.086249175582588"
"14999","5.351326239607653","-7.475143555085457","21.118301682847317"
"15999","17.856837273330832","7.593602805480622","41.2996127057135"
"16999","51.57217673730537","25.946415365028074","99.73600784416296"
"17999","43.02564708163113","16.598289987888077","58.18276455759019"
"18999","100.91891085582498","66.93679273544353","136.8259534731061"
"19999","108.69257741444554","53.1256079601013","159.58569782158833"
"20999","142.88599625374883","70.88206109913938","179.74419018751567"
"21999","143.7382579589336","7.7753595180246355","215.11929923040512"
"22999","192.8094478947404","170.2236478836741","236.67100214724454"
"23999","204.3732835257371","183.8640764596344","246.52375775635943"
"24999","223.01793824157522","197.53735458422068","271.5869315669735"
"25999","227.13999753908192","209.86706497557026","267.828335375044"
"26999","244.51441011813912","224.92504496937775","270.2260328502469"
"27999","252.542771844696","217.50376989781492","278.45036175913793"
"28999","240.88045736754125","189.9038383777939","275.099585774447"
"29999","266.55365106304725","232.8919886486301","284.19557884638544"
