"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"676","-1","-1","-1"
"677","-1","-1","-1"
"681","-1","-1","-1"
"688","-1","-1","-1"
"689","-1","-1","-1"
"693","-1","-1","-1"
"696","-1","-1","-1"
"698","-1","-1","-1"
"701","-1","-1","-1"
"704","-1","-1","-1"
"706","-1","-1","-1"
"708","-1","-1","-1"
"710","-1","-1","-1"
"711","-1","-1","-1"
"713","-1","-1","-1"
"720","-1","-1","-1"
"723","-1","-1","-1"
"728","-1","-1","-1"
"729","-1","-1","-1"
"730","-1","-1","-1"
"738","-1","-1","-1"
"740","-1","-1","-1"
"741","-1","-1","-1"
"744","-1","-1","-1"
"747","-1","-1","-1"
"748","-1","-1","-1"
"749","-1","-1","-1"
"750","-1","-1","-1"
"753","-1","-1","-1"
"755","-1","-1","-1"
"756","-1","-1","-1"
"763","-1","-1","-1"
"764","-1","-1","-1"
"765","-1","-1","-1"
"766","-1","-1","-1"
"767","-1","-1","-1"
"771","-1","-1","-1"
"776","-1","-1","-1"
"778","-1","-1","-1"
"784","-1","-1","-1"
"786","-1","-1","-1"
"789","-1","-1","-1"
"793","-1","-1","-1"
"794","-1","-1","-1"
"796","-1","-1","-1"
"807","-1","-1","-1"
"810","-1","-1","-1"
"813","-1","-1","-1"
"814","-1","-1","-1"
"817","-1","-1","-1"
"818","-1","-1","-1"
"820","-1","-1","-1"
"823","-1","-1","-1"
"828","-1","-1","-1"
"832","-1","-1","-1"
"833","-1","-1","-1"
"837","-1","-1","-1"
"842","-1","-1","-1"
"845","-1","-1","-1"
"847","-1","-1","-1"
"848","-1","-1","-1"
"849","-1","-1","-1"
"851","-1","-1","-1"
"860","-1","-1","-1"
"865","-1","-1","-1"
"868","-1","-1","-1"
"869","-1","-1","-1"
"874","-1","-1","-1"
"875","-1","-1","-1"
"876","-1","-1","-1"
"879","-1","-1","-1"
"883","-1","-1","-1"
"884","-1","-1","-1"
"885","-1","-1","-1"
"892","-1","-1","-1"
"896","-1","-1","-1"
"898","-1","-1","-1"
"899","-1","-1","-1"
"902","-1","-1","-1"
"903","-1","-1","-1"
"905","-1","-1","-1"
"909","-1","-1","-1"
"910","-1","-1","-1"
"915","-1","-1","-1"
"916","-1","-1","-1"
"918","-1","-1","-1"
"922","-1","-1","-1"
"925","-1","-1","-1"
"927","-1","-1","-1"
"929","-1","-1","-1"
"930","-1","-1","-1"
"932","-1","-1","-1"
"933","-1","-1","-1"
"936","-1","-1","-1"
"943","-1","-1","-1"
"947","-1","-1","-1"
"948","-1","-1","-1"
"952","-1","-1","-1"
"954","-1","-1","-1"
"956","-1","-1","-1"
"959","-1","-1","-1"
"960","-1","-1","-1"
"966","-1","-1","-1"
"967","-1","-1","-1"
"969","-1","-1","-1"
"972","-1","-1","-1"
"974","-1","-1","-1"
"980","-1","-1","-1"
"982","-1","-1","-1"
"985","-1","-1","-1"
"987","-1","-1","-1"
"988","-1","-1","-1"
"989","-1","-1","-1"
"990","-1","-1","-1"
"993","-1","-1","-1"
"1002","-1","-1","-1"
"1003","-1","-1","-1"
"1007","-1","-1","-1"
"1008","-1","-1","-1"
"1009","-1","-1","-1"
"1011","-1","-1","-1"
"1012","-1","-1","-1"
"1013","-1","-1","-1"
"1015","-1","-1","-1"
"1025","-1","-1","-1"
"1026","-1","-1","-1"
"1027","-1","-1","-1"
"1029","-1","-1","-1"
"1031","-1","-1","-1"
