"obj_0","obj_1","obj_2","obj_3"
"-351.4142370199435","0","-50.97193860231847","-0.4902806139768148"
"-271.209250096291","-1.8295009859767088","-28.53437167313146","-0.5006345379499633"
"-248.38542053623732","0","-51.10315843771443","-0.4889684156228544"
"-219.02834559458697","-25.47041952970039","0","-0.2909806387830468"
"-218.0681974973752","-23.89034330279005","0","-0.29910372022055187"
"-136.88245122223108","0","0","-0.5009081303243827"
"-122.85034979084745","0","0","-0.502054488560714"
"-116.73537058967109","0","-5.9772058642204255","-0.5015231473492205"
"-112.7665570717278","0","0","-0.5060836528548154"
