"objective_1","objective_2","objective_3","objective_4"
"-141.35435485839844","0","0","-0.40068498253822327"
"123.85961151123047","-2.661264419555664","-0.47534042596817017","-0.42988935112953186"
"-400.4772033691406","-7.407870769500732","-3.151474952697754","-0.3310334086418152"
"154.529541015625","0","0","-0.48499175906181335"
"-53.27156066894531","0","0","-0.4088205099105835"
"-45.30502700805664","0","0","-0.43861785531044006"
"-48.81619644165039","-0.5362685918807983","0","-0.4129500091075897"
"52.789772033691406","-0.8772802948951721","0","-0.425590455532074"
"-250.51150512695312","-8.972623825073242","-16.222843170166016","-0.3734646141529083"
"-107.41314697265625","-11.713678359985352","-14.271906852722168","-0.3966781497001648"
"60.617637634277344","-0.9459272623062134","0","-0.4612223207950592"
"-52.83148956298828","-12.204757690429688","-17.969074249267578","-0.31480950117111206"
"-255.4270782470703","-9.84719181060791","-4.404394149780273","-0.3966781497001648"
