"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"666","-77","-77","-77"
"669","-75","-75","-75"
"674","-53","-53","-53"
"676","-70.5","-84","-57"
"677","-52","-52","-52"
"681","-64","-64","-64"
"688","-65.5","-71","-60"
"689","-71","-83","-59"
"693","-62","-62","-62"
"696","-70","-70","-70"
"698","-63.5","-65","-62"
"701","-71.5","-77","-66"
"704","-53","-53","-53"
"706","-78","-78","-78"
"708","-59","-59","-59"
"710","-57.5","-61","-54"
"711","-53","-53","-53"
"713","-66","-66","-66"
"720","-85","-85","-85"
"723","-82","-82","-82"
"728","-60","-60","-60"
"729","-58","-58","-58"
"730","-65","-65","-65"
"738","-80","-80","-80"
"740","-63","-63","-63"
"741","-57.5","-65","-50"
"744","-52","-52","-52"
"747","-69","-69","-69"
"748","-80","-80","-80"
"749","-81","-81","-81"
"750","-71","-71","-71"
"753","-71","-71","-71"
"755","-60","-60","-60"
"756","-78","-99","-57"
"763","-53","-56","-50"
"764","-60","-60","-60"
"765","-75","-75","-75"
"766","-86","-86","-86"
"767","-67","-67","-67"
"771","-67","-67","-67"
"776","-84","-84","-84"
"778","-69","-69","-69"
"784","-53","-53","-53"
"786","-65.5","-68","-63"
"789","-80.5","-87","-74"
"793","-63","-63","-63"
"794","-50","-50","-50"
"796","-80","-80","-80"
"807","-48","-48","-48"
"810","-58","-58","-58"
"813","-67","-67","-67"
"814","-69","-81","-57"
"817","-50","-50","-50"
"818","-61.5","-73","-50"
"820","-67","-67","-67"
"823","-66.5","-67","-66"
"828","-62","-62","-62"
"832","-67","-67","-67"
"833","-59","-59","-59"
"837","-48","-48","-48"
"842","-54","-54","-54"
"845","-79","-79","-79"
"847","-52","-52","-52"
"848","-57","-57","-57"
"849","-80","-80","-80"
"851","-76","-83","-69"
"860","-68","-68","-68"
"865","-83","-83","-83"
"868","-58","-58","-58"
"869","-52","-52","-52"
"874","-86","-86","-86"
"875","-76","-76","-76"
"876","-55.5","-60","-51"
"879","-89","-89","-89"
"883","-65","-65","-65"
"884","-87","-87","-87"
"885","-68","-68","-68"
"892","-73","-73","-73"
"896","-60","-60","-60"
"898","-73","-73","-73"
"899","-87","-87","-87"
"902","-71","-71","-71"
"903","-58","-58","-58"
"905","-84","-84","-84"
"909","-59","-59","-59"
"910","-66.5","-75","-58"
"915","-54","-54","-54"
"916","-77","-77","-77"
"918","-67","-67","-67"
"922","-54","-54","-54"
"925","-78","-78","-78"
"927","-48","-48","-48"
"929","-51","-51","-51"
"930","-54","-54","-54"
"932","-55","-55","-55"
"933","-81","-81","-81"
"936","-56","-56","-56"
"943","-63","-63","-63"
"947","-77","-77","-77"
"948","-71","-71","-71"
"952","-78.5","-81","-76"
"954","-52","-52","-52"
"956","-56","-56","-56"
"959","-71","-71","-71"
"960","-89","-89","-89"
"966","-79","-79","-79"
"967","-68","-68","-68"
"969","-65","-65","-65"
"972","-59","-59","-59"
"974","-61","-61","-61"
"980","-56","-56","-56"
"982","-67","-67","-67"
"985","-58","-65","-51"
"987","-66","-66","-66"
"988","-87","-87","-87"
"989","-83","-83","-83"
"990","-82","-82","-82"
"993","-64","-64","-64"
"1002","-82","-82","-82"
"1003","-48","-48","-48"
"1007","-57","-57","-57"
"1008","-78","-78","-78"
"1009","-79","-80","-78"
"1011","-54","-54","-54"
"1012","-51","-51","-51"
"1013","-78","-79","-77"
"1015","-62","-62","-62"
"1025","-76.5","-81","-72"
"1026","-57","-57","-57"
"1027","-51","-51","-51"
"1029","-89","-89","-89"
"1031","-59","-59","-59"
"1034","-53","-53","-53"
"1035","-74","-74","-74"
"1038","-52","-52","-52"
"1039","-50","-50","-50"
"1040","-67","-67","-67"
"1046","-60","-60","-60"
"1048","-79","-79","-79"
"1057","-89","-89","-89"
"1060","-70","-70","-70"
"1064","-68","-81","-55"
"1067","-62","-62","-62"
