"Step","env: QLUNARLANDER - lambdas/component_3","env: QLUNARLANDER - lambdas/component_3__MIN","env: QLUNARLANDER - lambdas/component_3__MAX"
"5100","0.5235060274600982","0.4954065680503845","0.6304506659507751"
"5200","0.5212727785110474","0.49637362360954285","0.6168277263641357"
"5300","0.5177351176738739","0.49740415811538696","0.5966018438339233"
"5400","0.5155784785747528","0.4978064298629761","0.5845353007316589"
"5500","0.5142354428768158","0.497827410697937","0.5778322219848633"
"5600","0.5135405778884887","0.49774810671806335","0.5751129388809204"
"5700","0.5130769789218903","0.4976484775543213","0.5741288661956787"
"5800","0.5127859532833099","0.49711132049560547","0.5748199224472046"
"5900","0.5126109063625336","0.4959525763988495","0.5768749713897705"
"6000","0.5133590221405029","0.4948625862598419","0.5779916048049927"
"6100","0.5142059743404388","0.4926127791404724","0.5787220001220703"
"6200","0.5150025963783265","0.4904014766216278","0.5803448557853699"
"6300","0.5155805468559265","0.48888280987739563","0.5811742544174194"
"6400","0.5173722386360169","0.48750147223472595","0.5808165073394775"
"6500","0.5238383114337921","0.4858284592628479","0.5804508328437805"
"6600","0.5337330222129821","0.4887467622756958","0.5788406729698181"
"6700","0.5433159172534943","0.4996112287044525","0.5768566131591797"
"6800","0.5514523267745972","0.5088595747947693","0.5749250650405884"
"6900","0.5600443243980407","0.5176533460617065","0.5808152556419373"
"7000","0.5658448338508606","0.5232750177383423","0.5923452973365784"
"7100","0.5699276685714721","0.5277053713798523","0.5997604131698608"
"7200","0.5728260755538941","0.5332987904548645","0.6048222780227661"
"7300","0.5777738451957702","0.5422165989875793","0.6082597374916077"
"7400","0.581084942817688","0.5501508712768555","0.615268349647522"
"7500","0.5823129773139953","0.5515825152397156","0.6207338571548462"
"7600","0.5823466062545777","0.5461993217468262","0.6240565776824951"
"7700","0.5814611196517945","0.5407354831695557","0.6259723901748657"
"7800","0.5806486010551453","0.5361696481704712","0.6269082427024841"
"7900","0.5801188468933105","0.5329133868217468","0.6273871660232544"
"8000","0.5794792532920837","0.53073650598526","0.6269725561141968"
"8100","0.5787446975708008","0.5293617248535156","0.6259626150131226"
"8200","0.5777478098869324","0.5271440148353577","0.6226887106895447"
"8300","0.5759584546089173","0.5252552628517151","0.6181713342666626"
"8400","0.5738788723945618","0.5236505270004272","0.6129977107048035"
"8500","0.5707712411880493","0.5215819478034973","0.607672929763794"
"8600","0.5679201126098633","0.5192910432815552","0.6044474840164185"
"8700","0.5656399250030517","0.5180177688598633","0.6019060611724854"
"8800","0.5636467695236206","0.5160571932792664","0.6000939011573792"
"8900","0.5614587068557739","0.5139987468719482","0.5966644287109375"
"9000","0.5594275116920471","0.5122640132904053","0.5927419066429138"
"9100","0.5570214867591858","0.5110193490982056","0.5901778936386108"
"9200","0.553910768032074","0.5095691680908203","0.5868145823478699"
"9300","0.5501285552978515","0.509344756603241","0.583595335483551"
"9400","0.5466691970825195","0.5096203088760376","0.5789840817451477"
"9500","0.5432254076004028","0.509312629699707","0.5759551525115967"
"9600","0.5391441822052002","0.5049579739570618","0.5736583471298218"
"9700","0.5352895855903625","0.501253604888916","0.5708905458450317"
"9800","0.5313749074935913","0.49596214294433594","0.5682163238525391"
"9900","0.5273040533065796","0.49261289834976196","0.5634739995002747"
"10000","0.5235717058181762","0.49054616689682007","0.5571449995040894"
"10100","0.5203751802444458","0.4892486035823822","0.5524924993515015"
"10200","0.5170499205589294","0.48579153418540955","0.547711193561554"
"10300","0.5130335330963135","0.48196837306022644","0.5432285666465759"
"10400","0.5091275274753571","0.477685809135437","0.5378390550613403"
"10500","0.5052037358283996","0.4738224148750305","0.5323619842529297"
"10600","0.5011159360408783","0.4667821228504181","0.5282260179519653"
"10700","0.4970682144165039","0.46079567074775696","0.5237098932266235"
"10800","0.49339709877967836","0.4543708860874176","0.5197901725769043"
"10900","0.48962987065315244","0.4505472779273987","0.5151405334472656"
"11000","0.48581311106681824","0.448870450258255","0.5111134648323059"
"11100","0.4830917418003082","0.4506866931915283","0.5076696276664734"
"11200","0.48211498856544494","0.45589637756347656","0.5044803619384766"
"11300","0.4816272437572479","0.4542038142681122","0.4987436532974243"
"11400","0.4806253552436829","0.4515993595123291","0.4918169379234314"
"11500","0.48092525601387026","0.4482728838920593","0.5083618760108948"
"11600","0.4819658935070038","0.44496795535087585","0.5277842283248901"
"11700","0.4829210042953491","0.44492363929748535","0.5447925329208374"
"11800","0.4843340992927551","0.4467155933380127","0.5617596507072449"
