,HV (log10),Cardinality,Time (m)
Envelope,9.291986887817643,37,46
GPI-LS,9.425443919365014,43,557
PCN,9.284306353144325,13,29
IPRO,9.174675581785467,9,69
DQN,9.707648320232343,83,7
DRQ,9.71323531423794,98,18
DyLam-DQN,9.705822631707944,86,6
