"Step","env: QLUNARLANDER - ep_info/Goal","env: QLUNARLANDER - ep_info/Goal__MIN","env: QLUNARLANDER - ep_info/Goal__MAX"
"553","-1","-1","-1"
"554","-1","-1","-1"
"555","-1","-1","-1"
"556","-1","-1","-1"
"557","-1","-1","-1"
"558","-1","-1","-1"
"559","-1","-1","-1"
"560","-1","-1","-1"
"564","-1","-1","-1"
"566","-1","-1","-1"
"567","-1","-1","-1"
"568","-1","-1","-1"
"569","-1","-1","-1"
"572","-1","-1","-1"
"577","-1","-1","-1"
"581","-1","-1","-1"
"585","-1","-1","-1"
"586","-1","-1","-1"
"587","-1","-1","-1"
"588","-1","-1","-1"
"593","-1","-1","-1"
"595","-1","-1","-1"
"598","-1","-1","-1"
"599","-1","-1","-1"
"600","-1","-1","-1"
"603","-1","-1","-1"
"605","-1","-1","-1"
"606","-1","-1","-1"
"607","-1","-1","-1"
"608","-1","-1","-1"
"611","-1","-1","-1"
"613","-1","-1","-1"
"615","-1","-1","-1"
"616","-1","-1","-1"
"618","-1","-1","-1"
"623","-1","-1","-1"
"624","-1","-1","-1"
"626","-1","-1","-1"
"627","-1","-1","-1"
"628","-1","-1","-1"
"629","-1","-1","-1"
"630","-1","-1","-1"
"636","-1","-1","-1"
"637","-1","-1","-1"
"639","-1","-1","-1"
"641","-1","-1","-1"
"642","-1","-1","-1"
"644","-1","-1","-1"
"647","-1","-1","-1"
"648","-1","-1","-1"
"652","-1","-1","-1"
"656","-1","-1","-1"
"657","-1","-1","-1"
"658","-1","-1","-1"
"661","-1","-1","-1"
"662","-1","-1","-1"
"663","-1","-1","-1"
"666","-1","-1","-1"
"667","-1","-1","-1"
"668","-1","-1","-1"
"669","-1","-1","-1"
"670","-1","-1","-1"
"672","-1","-1","-1"
"673","-1","-1","-1"
"676","-1","-1","-1"
"677","-1","-1","-1"
"678","-1","-1","-1"
"686","-1","-1","-1"
"687","-1","-1","-1"
"688","-1","-1","-1"
"692","-1","-1","-1"
"693","-1","-1","-1"
"694","-1","-1","-1"
"695","-1","-1","-1"
"697","-1","-1","-1"
"703","-1","-1","-1"
"704","-1","-1","-1"
"705","-1","-1","-1"
"707","-1","-1","-1"
"708","-1","-1","-1"
"709","-1","-1","-1"
"710","-1","-1","-1"
"711","-1","-1","-1"
"712","-1","-1","-1"
"713","-1","-1","-1"
"718","-1","-1","-1"
"722","-1","-1","-1"
"723","-1","-1","-1"
"724","-1","-1","-1"
"725","-1","-1","-1"
"726","-1","-1","-1"
"727","-1","-1","-1"
"728","-1","-1","-1"
"729","-1","-1","-1"
"731","-1","-1","-1"
"733","-1","-1","-1"
"734","-1","-1","-1"
"735","-1","-1","-1"
"736","-1","-1","-1"
"739","-1","-1","-1"
"741","-1","-1","-1"
"742","-1","-1","-1"
"743","-1","-1","-1"
"745","-1","-1","-1"
"746","-1","-1","-1"
"749","-1","-1","-1"
"754","-1","-1","-1"
"759","-1","-1","-1"
"760","-1","-1","-1"
"763","-1","-1","-1"
"764","-1","-1","-1"
"766","-1","-1","-1"
"767","-1","-1","-1"
"768","-1","-1","-1"
"769","-1","-1","-1"
"770","-1","-1","-1"
"771","-1","-1","-1"
"772","-1","-1","-1"
"774","-1","-1","-1"
"776","-1","-1","-1"
"777","-1","-1","-1"
"778","-1","-1","-1"
"779","-1","-1","-1"
"783","-1","-1","-1"
"785","-1","-1","-1"
"787","-1","-1","-1"
"790","-1","-1","-1"
"795","-1","-1","-1"
"797","-1","-1","-1"
"798","-1","-1","-1"
"800","-1","-1","-1"
"801","-1","-1","-1"
"802","-1","-1","-1"
"806","-1","-1","-1"
"807","-1","-1","-1"
"810","-1","-1","-1"
"811","-1","-1","-1"
"812","-1","-1","-1"
"814","-1","-1","-1"
"816","-1","-1","-1"
"818","-1","-1","-1"
"819","-1","-1","-1"
"820","-1","-1","-1"
"827","-1","-1","-1"
"828","-1","-1","-1"
"829","-1","-1","-1"
"830","-1","-1","-1"
"831","-1","-1","-1"
"832","-1","-1","-1"
"833","-1","-1","-1"
"834","-1","-1","-1"
"835","-1","-1","-1"
"839","-1","-1","-1"
"843","-1","-1","-1"
"845","-1","-1","-1"
"847","-1","-1","-1"
"848","-1","-1","-1"
"849","-1","-1","-1"
"851","-1","-1","-1"
"852","-1","-1","-1"
"854","-1","-1","-1"
"856","-1","-1","-1"
"857","-1","-1","-1"
"858","-1","-1","-1"
"860","-1","-1","-1"
"861","-1","-1","-1"
"862","-1","-1","-1"
"864","-1","-1","-1"
"866","-1","-1","-1"
"871","-1","-1","-1"
"872","-1","-1","-1"
"873","-1","-1","-1"
"874","-1","-1","-1"
"876","-1","-1","-1"
"877","-1","-1","-1"
"879","-1","-1","-1"
"880","-1","-1","-1"
"883","-1","-1","-1"
"884","-1","-1","-1"
"886","-1","-1","-1"
"890","-1","-1","-1"
"891","-1","-1","-1"
"893","-1","-1","-1"
"894","-1","-1","-1"
"895","-1","-1","-1"
"897","-1","-1","-1"
"898","-1","-1","-1"
"901","-1","-1","-1"
"907","-1","-1","-1"
"908","-1","-1","-1"
"909","-1","-1","-1"
