"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"386","-2.3333333333333335","-3","-1"
"387","-16","-30","-2"
"388","-2","-2","-2"
"389","-61","-61","-61"
"390","-37","-37","-37"
"391","-31.5","-58","-5"
"394","-35","-35","-35"
"395","-3","-3","-3"
"396","-3","-5","-1"
"399","-60","-60","-60"
"400","-20","-27","-13"
"401","-27","-78","-1"
"403","-37","-37","-37"
"405","-29","-37","-21"
"406","-3","-3","-3"
"407","-4","-4","-4"
"408","-32","-63","-1"
"409","-44","-44","-44"
"410","-28.5","-57","0"
"411","-58","-58","-58"
"412","-56","-56","-56"
"413","-4","-4","-4"
"414","-9.5","-16","-3"
"415","-50","-80","-3"
"418","-3","-3","-3"
"419","-56","-81","-31"
"420","-21","-21","-21"
"424","-24.666666666666668","-41","-3"
"425","-34","-51","-2"
"426","-5","-5","-5"
"427","-29","-54","-4"
"428","-1","-1","-1"
"429","-16","-16","-16"
"430","-4","-4","-4"
"432","-25","-49","-1"
"433","-35","-35","-35"
"434","-59","-59","-59"
"437","-3","-3","-3"
"439","-60","-83","-37"
"440","-61","-61","-61"
"441","0","0","0"
"446","-2","-2","-2"
"447","-29","-29","-29"
"448","-51","-51","-51"
"449","0","0","0"
"452","-50","-50","-50"
"456","-69","-69","-69"
"457","-26","-26","-26"
"458","-1","-1","-1"
"460","-72","-72","-72"
"461","-44","-44","-44"
"462","-54","-54","-54"
"463","-29","-48","-3"
"465","-3.5","-6","-1"
"466","-65","-65","-65"
"467","-76","-76","-76"
"468","-41","-81","-1"
"469","-27.25","-51","-3"
"470","-17","-17","-17"
"471","-29","-29","-29"
"472","-15.666666666666666","-42","-2"
"473","-1","-1","-1"
"474","-56","-56","-56"
"475","-31.5","-61","-2"
"477","-5.5","-6","-5"
"478","-1","-1","-1"
"480","-38","-45","-31"
"482","-62","-62","-62"
"483","-64","-72","-56"
"484","0","0","0"
"485","-2","-2","-2"
"486","-3","-3","-3"
"487","-5","-5","-5"
"488","-25","-25","-25"
"490","-44","-44","-44"
"491","-26.666666666666668","-68","-3"
"492","0","0","0"
"493","-80","-80","-80"
"496","-25","-25","-25"
"501","-33","-33","-33"
"502","-4","-4","-4"
"503","-41.5","-82","-1"
"506","-70","-70","-70"
"507","-47","-47","-47"
"508","-25.5","-47","-4"
"510","-28","-34","-22"
"511","-76","-76","-76"
"513","-2","-2","-2"
"516","-54","-54","-54"
"517","-0.5","-1","0"
"518","-1","-1","-1"
"519","-28","-28","-28"
"520","-40","-80","0"
"522","-16","-16","-16"
"523","-10.5","-21","0"
"525","-28","-28","-28"
"526","-33","-33","-33"
"527","0","0","0"
"529","-46","-55","-30"
"530","-54","-54","-54"
"531","-28","-28","-28"
"532","-32","-64","0"
"533","-48","-48","-48"
"534","-2","-2","-2"
"535","-34.5","-66","-3"
"536","-1","-1","-1"
"537","-16.5","-30","-3"
