"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"313","0","0","0"
"314","7","0","70"
"315","7","0","70"
"316","0","0","0"
"317","7","0","70"
"318","7","0","70"
"319","7","0","70"
"320","0","0","0"
"321","7","0","70"
"322","0","0","0"
"323","7","0","70"
"324","0","0","0"
"325","0","0","0"
"326","0","0","0"
"327","0","0","0"
"328","0","0","0"
"329","7","0","70"
"330","0","0","0"
"331","7","0","70"
"332","0","0","0"
"333","7","0","70"
"334","0","0","0"
"335","7","0","70"
"336","7","0","70"
"337","0","0","0"
"338","7","0","70"
"339","7","0","70"
"340","7","0","70"
"341","0","0","0"
"342","7","0","70"
"343","7","0","70"
"344","0","0","0"
"345","0","0","0"
"346","0","0","0"
"347","0","0","0"
"348","14","0","70"
"349","0","0","0"
"350","14","0","70"
"351","0","0","0"
"352","7","0","70"
"353","7","0","70"
"354","7","0","70"
"355","14","0","70"
"356","7","0","70"
"357","0","0","0"
"358","7","0","70"
"359","7","0","70"
"360","14","0","70"
"361","7","0","70"
"362","7","0","70"
"363","7","0","70"
"364","7","0","70"
"365","7","0","70"
"366","0","0","0"
"367","7","0","70"
"368","7","0","70"
"369","14","0","70"
"370","21","0","70"
"371","21","0","70"
"372","21","0","70"
"373","14","0","70"
"374","7","0","70"
"375","21","0","70"
"376","7","0","70"
"377","14","0","70"
"378","14","0","70"
"379","21","0","70"
"380","14","0","70"
"381","14","0","70"
"382","7","0","70"
"383","7","0","70"
"384","14","0","70"
"385","7","0","70"
"386","7","0","70"
"387","7","0","70"
"388","0","0","0"
"389","0","0","0"
"390","7","0","70"
"391","7","0","70"
"392","7","0","70"
"393","0","0","0"
"394","0","0","0"
"395","14","0","70"
"396","7","0","70"
"397","7","0","70"
"398","7","0","70"
"399","0","0","0"
"400","0","0","0"
"401","7","0","70"
"402","14","0","70"
"403","7","0","70"
"404","0","0","0"
"405","7","0","70"
"406","14","0","70"
"407","0","0","0"
"408","0","0","0"
"409","7","0","70"
"410","0","0","0"
"411","0","0","0"
"412","0","0","0"
"413","7","0","70"
"414","0","0","0"
"415","0","0","0"
"416","7","0","70"
"417","0","0","0"
"418","0","0","0"
"419","0","0","0"
"420","0","0","0"
"421","7","0","70"
"422","0","0","0"
"423","7","0","70"
"424","0","0","0"
"425","0","0","0"
"426","7","0","70"
"427","7","0","70"
"428","7","0","70"
"429","7","0","70"
"430","7","0","70"
"431","7","0","70"
"432","7","0","70"
"433","21","0","70"
"434","21","0","70"
"435","14","0","70"
"436","14","0","70"
"437","14","0","70"
"438","14","0","70"
"439","21","0","70"
"440","21","0","70"
"441","14","0","70"
"442","14","0","70"
"443","14","0","70"
"444","14","0","70"
"445","14","0","70"
"446","21","0","70"
"447","14","0","70"
"448","21","0","70"
"449","14","0","70"
"450","21","0","70"
"451","21","0","70"
"452","21","0","70"
"453","35","0","70"
"454","14","0","70"
"455","21","0","70"
"456","7","0","70"
"457","14","0","70"
"458","14","0","70"
"459","14","0","70"
"460","21","0","70"
"461","14","0","70"
"462","14","0","70"
"463","21","0","70"
"464","28","0","70"
"465","21","0","70"
"466","28","0","70"
"467","35","0","70"
"468","35","0","70"
"469","21","0","70"
"470","14","0","70"
"471","21","0","70"
"472","21","0","70"
"473","7","0","70"
"474","14","0","70"
"475","21","0","70"
"476","21","0","70"
"477","21","0","70"
"478","21","0","70"
"479","35","0","70"
"480","21","0","70"
"481","28","0","70"
"482","21","0","70"
"483","7","0","70"
"484","21","0","70"
"485","28","0","70"
"486","21","0","70"
"487","28","0","70"
"488","7","0","70"
"489","7","0","70"
"490","21","0","70"
"491","21","0","70"
"492","21","0","70"
"493","21","0","70"
"494","28","0","70"
"495","28","0","70"
"496","35","0","70"
"497","28","0","70"
"498","14","0","70"
"499","28","0","70"
"500","14","0","70"
"501","14","0","70"
"502","14","0","70"
"503","21","0","70"
"504","21","0","70"
"505","28","0","70"
"506","28","0","70"
"507","21","0","70"
"508","21","0","70"
"509","14","0","70"
"510","14","0","70"
"511","14","0","70"
"512","35","0","70"
"513","21","0","70"
"514","14","0","70"
"515","14","0","70"
"516","14","0","70"
"517","21","0","70"
"518","21","0","70"
"519","21","0","70"
"520","21","0","70"
"521","28","0","70"
"522","21","0","70"
"523","21","0","70"
"524","21","0","70"
"525","14","0","70"
"526","21","0","70"
"527","21","0","70"
"528","21","0","70"
"529","21","0","70"
"530","21","0","70"
"531","21","0","70"
"532","21","0","70"
"533","21","0","70"
"534","21","0","70"
"535","28","0","70"
"536","28","0","70"
"537","21","0","70"
"538","21","0","70"
"539","28","0","70"
"540","21","0","70"
"541","21","0","70"
"542","21","0","70"
"543","21","0","70"
"544","28","0","70"
"545","21","0","70"
"546","28","0","70"
"547","28","0","70"
"548","28","0","70"
"549","28","0","70"
"550","28","0","70"
"551","28","0","70"
"552","28","0","70"
"553","21","0","70"
"554","21","0","70"
"555","21","0","70"
"556","21","0","70"
"557","21","0","70"
"558","21","0","70"
"559","21","0","70"
"560","28","0","70"
"561","28","0","70"
"562","21","0","70"
"563","21","0","70"
"564","14","0","70"
"565","21","0","70"
"566","14","0","70"
"567","21","0","70"
"568","21","0","70"
"569","21","0","70"
"570","28","0","70"
"571","14","0","70"
"572","28","0","70"
"573","28","0","70"
"574","28","0","70"
"575","28","0","70"
"576","28","0","70"
"577","28","0","70"
"578","28","0","70"
"579","28","0","70"
"580","21","0","70"
"581","28","0","70"
"582","28","0","70"
"583","28","0","70"
"584","35","0","70"
"585","28","0","70"
"586","21","0","70"
"587","21","0","70"
"588","35","0","70"
"589","14","0","70"
"590","21","0","70"
"591","28","0","70"
"592","35","0","70"
"593","28","0","70"
"594","21","0","70"
"595","35","0","70"
"596","28","0","70"
"597","28","0","70"
"598","28","0","70"
"599","28","0","70"
"600","21","0","70"
"601","28","0","70"
"602","28","0","70"
"603","28","0","70"
"604","21","0","70"
"605","21","0","70"
"606","28","0","70"
"607","21","0","70"
"608","21","0","70"
"609","28","0","70"
"610","21","0","70"
"611","28","0","70"
"612","21","0","70"
"613","21","0","70"
"614","35","0","70"
"615","42","0","70"
"616","28","0","70"
"617","28","0","70"
"618","35","0","70"
"619","28","0","70"
"620","28","0","70"
"621","28","0","70"
"622","28","0","70"
"623","35","0","70"
"624","35","0","70"
"625","35","0","70"
"626","35","0","70"
"627","35","0","70"
"628","28","0","70"
"629","35","0","70"
"630","28","0","70"
"631","28","0","70"
"632","35","0","70"
"633","35","0","70"
"634","28","0","70"
"635","42","0","70"
"636","35","0","70"
"637","35","0","70"
"638","42","0","70"
"639","35","0","70"
"640","35","0","70"
