"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"313","27","0","30"
"314","27","0","30"
"315","30","30","30"
"316","27","0","30"
"317","24","0","30"
"318","30","30","30"
"319","27","0","30"
"320","24","0","30"
"321","30","30","30"
"322","30","30","30"
"323","30","30","30"
"324","30","30","30"
"325","30","30","30"
"326","30","30","30"
"327","24","0","30"
"328","30","30","30"
"329","27","0","30"
"330","27","0","30"
"331","30","30","30"
"332","30","30","30"
"333","21","0","30"
"334","30","30","30"
"335","30","30","30"
"336","27","0","30"
"337","27","0","30"
"338","30","30","30"
"339","30","30","30"
"340","30","30","30"
"341","24","0","30"
"342","30","30","30"
"343","30","30","30"
"344","30","30","30"
"345","27","0","30"
"346","24","0","30"
"347","27","0","30"
"348","30","30","30"
"349","27","0","30"
"350","24","0","30"
"351","27","0","30"
"352","24","0","30"
"353","30","30","30"
"354","27","0","30"
"355","30","30","30"
"356","30","30","30"
"357","27","0","30"
"358","30","30","30"
"359","30","30","30"
"360","27","0","30"
"361","30","30","30"
"362","30","30","30"
"363","30","30","30"
"364","30","30","30"
"365","24","0","30"
"366","30","30","30"
"367","27","0","30"
"368","30","30","30"
"369","27","0","30"
"370","30","30","30"
"371","24","0","30"
"372","27","0","30"
"373","30","30","30"
"374","30","30","30"
"375","30","30","30"
"376","30","30","30"
"377","30","30","30"
"378","24","0","30"
"379","30","30","30"
"380","30","30","30"
"381","30","30","30"
"382","27","0","30"
"383","24","0","30"
"384","30","30","30"
"385","27","0","30"
"386","27","0","30"
"387","21","0","30"
"388","24","0","30"
"389","21","0","30"
"390","27","0","30"
"391","21","0","30"
"392","21","0","30"
"393","24","0","30"
"394","27","0","30"
"395","21","0","30"
"396","24","0","30"
"397","21","0","30"
"398","27","0","30"
"399","30","30","30"
"400","21","0","30"
"401","24","0","30"
"402","24","0","30"
"403","27","0","30"
"404","24","0","30"
"405","24","0","30"
"406","27","0","30"
"407","27","0","30"
"408","27","0","30"
"409","24","0","30"
"410","24","0","30"
"411","24","0","30"
"412","27","0","30"
"413","24","0","30"
"414","30","30","30"
"415","30","30","30"
"416","30","30","30"
"417","21","0","30"
"418","30","30","30"
"419","27","0","30"
