"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"509","-1","-1","-1"
"512","-1","-1","-1"
"513","-1","-1","-1"
"515","-1","-1","-1"
"516","-1","-1","-1"
"517","-1","-1","-1"
"522","-1","-1","-1"
"524","-1","-1","-1"
"525","-1","-1","-1"
"526","-1","-1","-1"
"527","-1","-1","-1"
"528","-1","-1","-1"
"531","-1","-1","-1"
"532","-1","-1","-1"
"533","-1","-1","-1"
"534","-1","-1","-1"
"537","-1","-1","-1"
"538","-1","-1","-1"
"539","-1","-1","-1"
"540","-1","-1","-1"
"543","-1","-1","-1"
"546","-1","-1","-1"
"548","-1","-1","-1"
"550","-1","-1","-1"
"553","-1","-1","-1"
"558","-1","-1","-1"
"561","-1","-1","-1"
"565","-1","-1","-1"
"566","-1","-1","-1"
"567","-1","-1","-1"
"568","-1","-1","-1"
"572","-1","-1","-1"
"574","-1","-1","-1"
"576","-1","-1","-1"
"578","-1","-1","-1"
"580","-1","-1","-1"
"582","-1","-1","-1"
"584","-1","-1","-1"
"585","-1","-1","-1"
"586","-1","-1","-1"
"588","-1","-1","-1"
"590","-1","-1","-1"
"599","-1","-1","-1"
"600","-1","-1","-1"
"601","-1","-1","-1"
"602","-1","-1","-1"
"603","-1","-1","-1"
"609","-1","-1","-1"
"610","-1","-1","-1"
"612","-1","-1","-1"
"615","-1","-1","-1"
"616","-1","-1","-1"
"617","-1","-1","-1"
"618","-1","-1","-1"
"619","-1","-1","-1"
"621","-1","-1","-1"
"624","-1","-1","-1"
"625","-1","-1","-1"
"626","-1","-1","-1"
"627","-1","-1","-1"
"628","-1","-1","-1"
"629","-1","-1","-1"
"631","-1","-1","-1"
"634","-1","-1","-1"
"635","-1","-1","-1"
"639","-1","-1","-1"
"642","-1","-1","-1"
"648","-1","-1","-1"
"650","-1","-1","-1"
"651","-1","-1","-1"
"652","-1","-1","-1"
"653","-1","-1","-1"
"657","-1","-1","-1"
"658","-1","-1","-1"
"661","-1","-1","-1"
"665","-1","-1","-1"
"666","-1","-1","-1"
"667","-1","-1","-1"
"668","-1","-1","-1"
"671","-1","-1","-1"
"672","-1","-1","-1"
"673","-1","-1","-1"
"679","-1","-1","-1"
"680","-1","-1","-1"
"681","-1","-1","-1"
"684","-1","-1","-1"
"687","-1","-1","-1"
"688","-1","-1","-1"
"690","-1","-1","-1"
"691","-1","-1","-1"
"694","-1","-1","-1"
"696","-1","-1","-1"
"697","-1","-1","-1"
"699","-1","-1","-1"
"701","-1","-1","-1"
"702","-1","-1","-1"
"705","-1","-1","-1"
"706","-1","-1","-1"
"707","-1","-1","-1"
"708","-1","-1","-1"
"709","-1","-1","-1"
"710","-1","-1","-1"
"715","-1","-1","-1"
"718","-1","-1","-1"
"719","-1","-1","-1"
"720","-1","-1","-1"
"722","-1","-1","-1"
"723","-1","-1","-1"
"724","-1","-1","-1"
"725","-1","-1","-1"
"728","-1","-1","-1"
"730","-1","-1","-1"
"732","-1","-1","-1"
"734","-1","-1","-1"
"735","-1","-1","-1"
"736","-1","-1","-1"
"746","-1","-1","-1"
"747","-1","-1","-1"
"750","-1","-1","-1"
"751","-1","-1","-1"
"752","-1","-1","-1"
"754","-1","-1","-1"
"755","-1","-1","-1"
"760","-1","-1","-1"
"765","-1","-1","-1"
"766","-1","-1","-1"
"767","-1","-1","-1"
"768","-1","-1","-1"
"770","-1","-1","-1"
"771","-1","-1","-1"
"773","-1","-1","-1"
"774","-1","-1","-1"
"775","-1","-1","-1"
"776","-1","-1","-1"
"777","-1","-1","-1"
"779","-1","-1","-1"
"783","-1","-1","-1"
"786","-1","-1","-1"
"787","-1","-1","-1"
"792","-1","-1","-1"
"794","-1","-1","-1"
"796","-1","-1","-1"
"797","-1","-1","-1"
"802","-1","-1","-1"
"804","-1","-1","-1"
"805","-1","-1","-1"
"806","-1","-1","-1"
"808","-1","-1","-1"
"810","-1","-1","-1"
"811","-1","-1","-1"
"813","-1","-1","-1"
"817","-1","-1","-1"
"818","-1","-1","-1"
"819","-1","-1","-1"
"821","-1","-1","-1"
"823","-1","-1","-1"
"824","-1","-1","-1"
"827","-1","-1","-1"
"829","-1","-1","-1"
"830","-1","-1","-1"
