"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"536","-1","-1","-1"
"537","-1","-1","-1"
"538","-1","-1","-1"
"539","-1","-1","-1"
"541","-1","-1","-1"
"543","-1","-1","-1"
"546","-1","-1","-1"
"549","-1","-1","-1"
"550","-1","-1","-1"
"551","-1","-1","-1"
"553","-1","-1","-1"
"555","-1","-1","-1"
"559","-1","-1","-1"
"560","-1","-1","-1"
"561","-1","-1","-1"
"562","-1","-1","-1"
"565","-1","-1","-1"
"566","-1","-1","-1"
"568","-1","-1","-1"
"569","-1","-1","-1"
"571","-1","-1","-1"
"572","-1","-1","-1"
"576","-1","-1","-1"
"578","-1","-1","-1"
"579","-1","-1","-1"
"586","-1","-1","-1"
"587","-1","-1","-1"
"588","-1","-1","-1"
"590","-1","-1","-1"
"591","-1","-1","-1"
"592","-1","-1","-1"
"595","-1","-1","-1"
"596","-1","-1","-1"
"598","-1","-1","-1"
"599","-1","-1","-1"
"600","-1","-1","-1"
"601","-1","-1","-1"
"602","-1","-1","-1"
"607","-1","-1","-1"
"609","-1","-1","-1"
"610","-1","-1","-1"
"611","-1","-1","-1"
"612","-1","-1","-1"
"613","-1","-1","-1"
"614","-1","-1","-1"
"615","-1","-1","-1"
"616","-1","-1","-1"
"617","-1","-1","-1"
"618","-1","-1","-1"
"619","-1","-1","-1"
"620","-1","-1","-1"
"621","-1","-1","-1"
"626","-1","-1","-1"
"627","-1","-1","-1"
"631","-1","-1","-1"
"632","-1","-1","-1"
"635","-1","-1","-1"
"636","-1","-1","-1"
"637","-1","-1","-1"
"638","-1","-1","-1"
"639","-1","-1","-1"
"640","-1","-1","-1"
"642","-1","-1","-1"
"643","-1","-1","-1"
"644","-1","-1","-1"
"646","-1","-1","-1"
"647","-1","-1","-1"
"649","-1","-1","-1"
"650","-1","-1","-1"
"653","-1","-1","-1"
"658","-1","-1","-1"
"660","-1","-1","-1"
"662","-1","-1","-1"
"663","-1","-1","-1"
"665","-1","-1","-1"
"668","-1","-1","-1"
"669","-1","-1","-1"
"671","-1","-1","-1"
"672","-1","-1","-1"
"676","-1","-1","-1"
"678","-1","-1","-1"
"681","-1","-1","-1"
"682","-1","-1","-1"
"683","-1","-1","-1"
"685","-1","-1","-1"
"686","-1","-1","-1"
"687","-1","-1","-1"
"692","-1","-1","-1"
"694","-1","-1","-1"
"695","-1","-1","-1"
"698","-1","-1","-1"
"700","-1","-1","-1"
"705","-1","-1","-1"
"706","-1","-1","-1"
"707","-1","-1","-1"
"711","-1","-1","-1"
"713","-1","-1","-1"
"716","-1","-1","-1"
"718","-1","-1","-1"
"720","-1","-1","-1"
"721","-1","-1","-1"
"722","-1","-1","-1"
"724","-1","-1","-1"
"726","-1","-1","-1"
"730","-1","-1","-1"
"733","-1","-1","-1"
"734","-1","-1","-1"
"735","-1","-1","-1"
"738","-1","-1","-1"
"740","-1","-1","-1"
"742","-1","-1","-1"
"745","-1","-1","-1"
"747","-1","-1","-1"
"749","-1","-1","-1"
"752","-1","-1","-1"
"753","-1","-1","-1"
"754","-1","-1","-1"
"755","-1","-1","-1"
"757","-1","-1","-1"
"759","-1","-1","-1"
"760","-1","-1","-1"
"761","-1","-1","-1"
"762","-1","-1","-1"
"764","-1","-1","-1"
"767","-1","-1","-1"
"768","-1","-1","-1"
"770","-1","-1","-1"
"772","-1","-1","-1"
"774","-1","-1","-1"
"775","-1","-1","-1"
"776","-1","-1","-1"
"778","-1","-1","-1"
"779","-1","-1","-1"
"780","-1","-1","-1"
"782","-1","-1","-1"
"783","-1","-1","-1"
"784","-1","-1","-1"
"786","-1","-1","-1"
"787","-1","-1","-1"
"788","-1","-1","-1"
"789","-1","-1","-1"
"790","-1","-1","-1"
"792","-1","-1","-1"
"793","-1","-1","-1"
"794","-1","-1","-1"
"796","-1","-1","-1"
"797","-1","-1","-1"
"802","-1","-1","-1"
"806","-1","-1","-1"
"807","-1","-1","-1"
"812","-1","-1","-1"
"813","-1","-1","-1"
"815","-1","-1","-1"
"817","-1","-1","-1"
"818","-1","-1","-1"
"819","-1","-1","-1"
"821","-1","-1","-1"
"822","-1","-1","-1"
"823","-1","-1","-1"
"825","-1","-1","-1"
"826","-1","-1","-1"
"828","-1","-1","-1"
"830","-1","-1","-1"
"831","-1","-1","-1"
"834","-1","-1","-1"
"836","-1","-1","-1"
"837","-1","-1","-1"
"839","-1","-1","-1"
"842","-1","-1","-1"
"843","-1","-1","-1"
"844","-1","-1","-1"
"847","-1","-1","-1"
"849","-1","-1","-1"
"853","-1","-1","-1"
"856","-1","-1","-1"
"859","-1","-1","-1"
"860","-1","-1","-1"
"862","-1","-1","-1"
"863","-1","-1","-1"
"867","-1","-1","-1"
"868","-1","-1","-1"
"870","-1","-1","-1"
"877","-1","-1","-1"
"880","-1","-1","-1"
"881","-1","-1","-1"
"883","-1","-1","-1"
"885","-1","-1","-1"
"886","-1","-1","-1"
"888","-1","-1","-1"
"890","-1","-1","-1"
"892","-1","-1","-1"
"893","-1","-1","-1"
"894","-1","-1","-1"
"895","-1","-1","-1"
"897","-1","-1","-1"
"899","-1","-1","-1"
"900","-1","-1","-1"
"903","-1","-1","-1"
"904","-1","-1","-1"
"906","-1","-1","-1"
"907","-1","-1","-1"
"908","-1","-1","-1"
"911","-1","-1","-1"
"912","-1","-1","-1"
"915","-1","-1","-1"
"916","-1","-1","-1"
"919","-1","-1","-1"
"921","-1","-1","-1"
"922","-1","-1","-1"
"924","-1","-1","-1"
"927","-1","-1","-1"
"929","-1","-1","-1"
"931","-1","-1","-1"
"932","-1","-1","-1"
"934","-1","-1","-1"
"935","-1","-1","-1"
"936","-1","-1","-1"
"937","-1","-1","-1"
"938","-1","-1","-1"
"941","-1","-1","-1"
"942","-1","-1","-1"
"944","-1","-1","-1"
"945","-1","-1","-1"
"947","-1","-1","-1"
"949","-1","-1","-1"
"952","-1","-1","-1"
"953","-1","-1","-1"
"954","-1","-1","-1"
"957","-1","-1","-1"
"958","-1","-1","-1"
"959","-1","-1","-1"
"963","-1","-1","-1"
"966","-1","-1","-1"
"967","-1","-1","-1"
"972","-1","-1","-1"
"975","-1","-1","-1"
"979","-1","-1","-1"
"980","-1","-1","-1"
"982","-1","-1","-1"
"984","-1","-1","-1"
"988","-1","-1","-1"
"989","-1","-1","-1"
"990","-1","-1","-1"
"991","-1","-1","-1"
"992","-1","-1","-1"
"995","-1","-1","-1"
"996","-1","-1","-1"
"997","-1","-1","-1"
"998","-1","-1","-1"
"1000","-1","-1","-1"
"1002","-1","-1","-1"
"1004","-1","-1","-1"
"1007","-1","-1","-1"
"1008","-1","-1","-1"
"1009","-1","-1","-1"
"1011","-1","-1","-1"
"1016","-1","-1","-1"
"1017","-1","-1","-1"
"1018","-1","-1","-1"
"1019","-1","-1","-1"
"1020","-1","-1","-1"
"1021","-1","-1","-1"
"1022","-1","-1","-1"
"1023","-1","-1","-1"
"1026","-1","-1","-1"
"1028","-1","-1","-1"
"1029","-1","-1","-1"
"1031","-1","-1","-1"
"1032","-1","-1","-1"
"1033","-1","-1","-1"
