"Step","env: HOPPER - ep_info/Forward","env: HOPPER - ep_info/Forward__MIN","env: HOPPER - ep_info/Forward__MAX"
"8","-0.6491095988803828","-0.6491095988803828","-0.6491095988803828"
"9","-0.9894759927519085","-1.1564136459226257","-0.8225383395811912"
"10","-0.6250544730308016","-0.7384088794587949","-0.5117000666028083"
"11","-0.9932517311127615","-0.9932517311127615","-0.9932517311127615"
"12","-1.415662318192131","-2.5932404125852258","-0.8075653509774089"
"13","-2.292701872207042","-3.058255183235909","-1.527148561178175"
"14","-1.0199410521392862","-1.8218953973916647","-0.21798670688690777"
"15","0.051130725151655024","0.0037913601845770903","0.09847009011873295"
"16","-2.18282642697835","-3.125667996301513","-1.239984857655187"
"17","-0.9284876724189288","-1.4954667299352198","-0.3615086149026379"
"18","-2.2128436598577697","-2.9452850814978997","-1.4804022382176394"
"19","-4.074417828763566","-4.074417828763566","-4.074417828763566"
"21","-2.5423256632361064","-4.370308227994448","-0.7143430984777651"
"22","-2.1711160354391854","-3.530382387544444","-0.9882728556281952"
"23","-1.2190846981118468","-1.6558812719757974","-0.7822881242478962"
"24","-1.8716509804899393","-1.9135650874019499","-1.8297368735779287"
"26","-1.518086183438831","-2.410441928705032","-0.6257304381726302"
"28","-2.822738791874412","-4.587092336885203","-1.0583852468636212"
"29","-4.920990277290371","-5.911958994671167","-3.9300215599095747"
"30","-1.8618904529833447","-1.8618904529833447","-1.8618904529833447"
"31","-2.1466098125964925","-2.793595436103931","-1.499624189089054"
"32","-1.358339539967807","-1.358339539967807","-1.358339539967807"
"33","-1.4280699878462864","-2.5472843816109623","-0.6984236350292947"
"35","-2.8174280046748743","-3.314061145380329","-2.3207948639694194"
"36","-1.600116882814276","-3.0883415685800473","-0.1118921970485048"
"37","-3.5966487592096885","-3.5966487592096885","-3.5966487592096885"
"38","-1.9769321296103097","-2.55708084487755","-1.3967834143430693"
"39","-3.4536363460838184","-5.567442110820109","-1.3398305813475273"
"40","0.24101917300745224","-1.738669272900518","2.2207076189154225"
"41","0.9276068992490847","-2.4381933669368743","7.3152477478016795"
"42","-1.0366614309742723","-5.697433199195895","3.62411033724735"
"43","-2.2733536259041864","-6.280595067312818","1.7338878155044455"
"45","-1.9332000396699538","-1.9332000396699538","-1.9332000396699538"
"46","-4.979500578665574","-8.827959308449186","-1.1310418488819622"
"47","-1.6436171505029973","-2.434832663403467","-0.559266738097686"
"48","-2.391503185585647","-4.147420056056629","-0.635586315114665"
"49","-3.5258623310399706","-3.5258623310399706","-3.5258623310399706"
"50","-4.880535915853624","-4.880535915853624","-4.880535915853624"
"51","-2.480710107717571","-3.20468558299334","-1.7567346324418018"
"52","-3.9768665453223617","-6.057436710527754","-1.896296380116969"
"53","-7.006218545197669","-7.006218545197669","-7.006218545197669"
"54","-2.2924921287576554","-2.614503476784221","-1.9704807807310902"
"56","-2.3666045284223203","-2.6194665389382776","-2.113742517906363"
"57","2.17976763549771","-5.905059554684342","10.264594825679762"
"58","-3.2696599781445586","-3.2696599781445586","-3.2696599781445586"
"59","-3.3388271579511994","-3.499652111622809","-3.0648873441113667"
"60","-1.3852322527562608","-2.789955831987629","-0.5458567274564563"
"61","-3.5341343886128174","-3.5341343886128174","-3.5341343886128174"
"63","-2.7413695651366377","-4.942529486646304","-0.5402096436269711"
"64","-4.795310546570235","-4.795310546570235","-4.795310546570235"
"65","-0.4511632502894273","-0.4511632502894273","-0.4511632502894273"
"66","0.0941611425134315","0.0941611425134315","0.0941611425134315"
"68","-1.7360496906172345","-1.8961581845104027","-1.575941196724066"
"69","-4.881212943975371","-8.707679237138375","-1.054746650812367"
"70","-0.2754740656826908","-0.7015967015282669","0.15064857016288533"
"71","3.9576027262942532","0.21525326352581448","7.699952189062692"
"72","-1.388096426046106","-2.2636692600725214","-0.8640501675776102"
"73","-2.037546174413112","-3.0730032892056207","-1.002089059620603"
"74","0.8171618281296062","-1.509998859791524","4.211998074486368"
"75","-0.9546326786272051","-0.9546326786272051","-0.9546326786272051"
"76","-5.210898085629928","-9.570950371042198","-0.8508458002176595"
"77","-3.1964790712538123","-6.864261621841716","-0.6554941397881667"
"78","-3.5224021243922903","-5.234687421452636","-0.9207486935582394"
"79","-1.892143434763443","-2.145033787917614","-1.6392530816092719"
"80","-0.3421121676696906","-0.7787551757287755","0.09453084038939429"
"81","-1.9137206935983857","-5.718978548373837","0.5894550788312475"
"82","-3.195619989463619","-5.412850416705225","-0.9783895622220129"
"83","1.3893318934930177","-2.571628110221144","5.350291897207179"
"84","0.19299576165207133","-0.7041628595283649","1.0901543828325075"
"85","-2.5304894124406947","-5.05323529944903","-1.2452903251495973"
"86","-0.9141720260200061","-1.6000728531874375","-0.22827119885257466"
"87","-1.2530625731664744","-1.413576425955468","-1.1147523463561706"
"89","-0.9150239181440161","-0.9150239181440161","-0.9150239181440161"
"90","-1.1024205589931881","-1.1024205589931881","-1.1024205589931881"
"91","-1.3974208660237741","-1.3974208660237741","-1.3974208660237741"
"92","0.6136776553575887","-1.4109159078481883","5.690243653980052"
"93","-4.688979335281472","-4.688979335281472","-4.688979335281472"
"96","-3.5364516829384405","-6.188704618878344","-0.8841987469985375"
"97","-2.9565044700874363","-2.9565044700874363","-2.9565044700874363"
"98","1.263584085788972","1.263584085788972","1.263584085788972"
"99","-1.9664502681444525","-2.624051284328988","-1.3088492519599169"
"100","-3.6205155134889266","-5.6631048139718105","-1.7241028660665159"
"101","-2.6535139280911597","-2.8083971241137653","-2.4986307320685546"
