"Step","setup: Dylam - lambdas/Banana","setup: Dylam - lambdas/Banana__MIN","setup: Dylam - lambdas/Banana__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.12507987779408744","0.00005947757741464144","0.28054959075600383"
"11","0.12496602407380401","0.000059499183924078496","0.2803259266886792"
"12","0.1248085770933943","0.00005952068725577876","0.27987963563368373"
"13","0.12468513867828834","0.000059542087876186295","0.27973800345942673"
"14","0.12459344618134986","0.00035734833314837267","0.27937310707342367"
"15","0.12438632359833379","0.000653848517600006","0.27900978329905557"
"16","0.1240908737645289","0.0009486961114954667","0.27838504965269756"
"17","0.12389440508167737","0.0015397979471432426","0.27784117468622715"
"18","0.12371513769804339","0.0021278095013017016","0.27729914319993715"
"19","0.12362159825343015","0.0030103594726189646","0.27679829364548647"
"20","0.1235667773856709","0.004185701068912475","0.2762992968132872"
"21","0.12357069181804221","0.005652009103643666","0.2761048103983828"
"22","0.1235754986360074","0.007110214414826082","0.27613580075632177"
"23","0.12359443194706088","0.008560357367035648","0.27616646217846585"
"24","0.12352752669538998","0.009705584132816997","0.2761967977926635"
"25","0.12353825214413991","0.010844584483034844","0.2765300053714726"
"26","0.12363593947498366","0.011977389691757755","0.2768616674508018"
"27","0.12364343037170414","0.012807470164536693","0.2771139173555713"
"28","0.12370122976987834","0.013929582108429187","0.27759072474258917"
"29","0.12371789711750787","0.014749235596580033","0.2780243343142909"
"30","0.12370560423114689","0.015268216639715162","0.27822969188102237"
"31","0.12369149135569295","0.015488211657425253","0.2784336589096474"
"32","0.12371337210502575","0.016003288719842624","0.2784101876755799"
"33","0.12364736953613495","0.016515654963568858","0.27816008305993156"
"34","0.12368481965866714","0.0170253238673269","0.27813676841062324"
"35","0.12375363998421877","0.017828319845152804","0.27811302883010713"
"36","0.12377120032552173","0.018627012642233844","0.278088871479481"
"37","0.12389690219387599","0.01971722129638442","0.27806430344290156"
"38","0.12397218839223631","0.020505803291305254","0.27781255610297634"
"39","0.12400180644322496","0.02129015601117239","0.2773343601546625"
"40","0.12399853742496052","0.02207030113800401","0.2767806178321707"
"41","0.12398447102814665","0.022846260284020814","0.2760016887625528"
"42","0.12395786484854185","0.023322715243971334","0.27545302753326917"
"43","0.123952560731973","0.02379665535811787","0.2749063932765102"
"44","0.12389957722207737","0.024268093375420522","0.2741341591650794"
