"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"103","0","0","0","7","0","70","0","0","0","0","0","0"
"104","8.75","0","70","0","0","0","7","0","70","0","0","0"
"105","0","0","0","0","0","0","14","0","70","0","0","0"
"106","17.5","0","70","0","0","0","0","0","0","0","0","0"
"107","0","0","0","0","0","0","0","0","0","7","0","70"
"108","0","0","0","0","0","0","7","0","70","0","0","0"
"109","0","0","0","0","0","0","0","0","0","0","0","0"
"110","0","0","0","7","0","70","0","0","0","7","0","70"
"111","8.75","0","70","0","0","0","0","0","0","0","0","0"
"112","0","0","0","0","0","0","0","0","0","7","0","70"
"113","0","0","0","7","0","70","0","0","0","7","0","70"
"114","8.75","0","70","0","0","0","0","0","0","7","0","70"
"115","0","0","0","0","0","0","7","0","70","0","0","0"
"116","8.75","0","70","0","0","0","7","0","70","7","0","70"
"117","0","0","0","0","0","0","0","0","0","0","0","0"
"118","0","0","0","0","0","0","0","0","0","0","0","0"
"119","0","0","0","0","0","0","0","0","0","0","0","0"
"120","0","0","0","0","0","0","7","0","70","7","0","70"
"121","8.75","0","70","0","0","0","7","0","70","7","0","70"
"122","0","0","0","0","0","0","0","0","0","7","0","70"
"123","0","0","0","0","0","0","7","0","70","0","0","0"
"124","0","0","0","0","0","0","0","0","0","7","0","70"
"125","0","0","0","0","0","0","0","0","0","14","0","70"
"126","0","0","0","7","0","70","0","0","0","0","0","0"
"127","0","0","0","14","0","70","0","0","0","0","0","0"
"128","0","0","0","0","0","0","7","0","70","7","0","70"
"129","0","0","0","0","0","0","0","0","0","0","0","0"
"130","0","0","0","7","0","70","0","0","0","0","0","0"
"131","0","0","0","0","0","0","14","0","70","0","0","0"
"132","0","0","0","7","0","70","0","0","0","0","0","0"
"133","0","0","0","0","0","0","7","0","70","0","0","0"
"134","0","0","0","0","0","0","0","0","0","0","0","0"
"135","0","0","0","0","0","0","7","0","70","7","0","70"
"136","0","0","0","0","0","0","0","0","0","0","0","0"
"137","0","0","0","7","0","70","7","0","70","0","0","0"
"138","0","0","0","0","0","0","14","0","70","7","0","70"
"139","0","0","0","0","0","0","0","0","0","0","0","0"
"140","8.75","0","70","0","0","0","7","0","70","0","0","0"
"141","0","0","0","0","0","0","0","0","0","14","0","70"
"142","8.75","0","70","7","0","70","14","0","70","7","0","70"
"143","17.5","0","70","7","0","70","0","0","0","0","0","0"
"144","0","0","0","0","0","0","0","0","0","7","0","70"
"145","0","0","0","0","0","0","7","0","70","0","0","0"
"146","8.75","0","70","0","0","0","0","0","0","0","0","0"
"147","0","0","0","7","0","70","0","0","0","7","0","70"
"148","0","0","0","0","0","0","0","0","0","0","0","0"
"149","0","0","0","0","0","0","0","0","0","0","0","0"
"150","0","0","0","0","0","0","0","0","0","0","0","0"
"151","0","0","0","0","0","0","0","0","0","0","0","0"
"152","0","0","0","7","0","70","0","0","0","7","0","70"
"153","8.75","0","70","7","0","70","0","0","0","0","0","0"
"154","8.75","0","70","7","0","70","0","0","0","0","0","0"
"155","0","0","0","0","0","0","7","0","70","0","0","0"
"156","0","0","0","0","0","0","0","0","0","7","0","70"
"157","8.75","0","70","0","0","0","0","0","0","0","0","0"
"158","0","0","0","7","0","70","7","0","70","0","0","0"
"159","8.75","0","70","0","0","0","0","0","0","0","0","0"
"160","0","0","0","7","0","70","0","0","0","0","0","0"
"161","0","0","0","0","0","0","0","0","0","0","0","0"
"162","0","0","0","0","0","0","0","0","0","0","0","0"
"163","0","0","0","7","0","70","0","0","0","0","0","0"
"164","0","0","0","0","0","0","0","0","0","0","0","0"
"165","0","0","0","0","0","0","0","0","0","0","0","0"
"166","0","0","0","0","0","0","0","0","0","0","0","0"
"167","8.75","0","70","0","0","0","0","0","0","0","0","0"
"168","0","0","0","0","0","0","0","0","0","0","0","0"
