"Step","setup: Dylam - ep_info/total","setup: Dylam - ep_info/total__MIN","setup: Dylam - ep_info/total__MAX","setup: Drq - ep_info/total","setup: Drq - ep_info/total__MIN","setup: Drq - ep_info/total__MAX","setup: Decq - ep_info/total","setup: Decq - ep_info/total__MIN","setup: Decq - ep_info/total__MAX","setup: Baseline - ep_info/total","setup: Baseline - ep_info/total__MIN","setup: Baseline - ep_info/total__MAX"
"102","122.5","100","130","127","100","130","124","100","130","121","100","130"
"103","126.25","100","130","117","30","130","124","100","130","111","30","130"
"104","118.75","70","130","127","100","130","121","100","130","111","0","130"
"105","126.25","100","130","124","100","130","106","0","170","127","100","130"
"106","111.25","70","130","127","100","130","111","30","130","121","100","130"
"107","126.25","100","130","124","100","130","121","100","130","124","100","130"
"108","115","100","130","130","130","130","121","70","130","124","100","130"
"109","126.25","100","130","130","130","130","121","100","130","124","100","130"
"110","130","130","130","111","30","130","111","0","130","118","70","130"
"111","118.75","100","130","117","30","130","121","100","130","124","100","130"
"112","122.5","100","130","120","30","130","121","100","130","111","30","130"
"113","126.25","100","130","124","100","130","117","30","130","131","100","200"
"114","118.75","100","130","127","100","130","114","30","130","124","100","130"
"115","126.25","100","130","127","100","130","125","100","170","124","100","130"
"116","115","70","130","127","100","130","118","70","130","118","100","130"
"117","122.5","100","130","127","100","130","111","30","130","124","100","130"
"118","122.5","100","130","120","30","130","127","100","130","124","100","130"
"119","122.5","100","130","130","130","130","121","100","130","121","100","130"
"120","126.25","100","130","130","130","130","121","100","130","118","100","130"
"121","126.25","100","130","127","100","130","115","100","130","112","70","130"
"122","130","130","130","130","130","130","121","100","130","105","30","130"
"123","126.25","100","130","127","100","130","118","70","130","111","0","130"
"124","126.25","100","130","124","100","130","114","0","130","134","100","200"
"125","110","30","130","130","130","130","121","100","130","118","70","130"
"126","126.25","100","130","118","70","130","124","100","130","124","100","130"
"127","126.25","100","130","121","70","130","124","100","130","114","30","130"
"128","122.5","100","130","120","30","130","111","0","130","118","100","130"
"129","126.25","100","130","130","130","130","121","100","130","127","100","130"
"130","113.75","30","130","124","70","130","117","0","130","121","100","130"
"131","126.25","100","130","130","130","130","105","0","130","121","100","130"
"132","122.5","100","130","124","70","130","117","30","130","121","100","130"
"133","122.5","100","130","127","100","130","118","70","130","124","100","130"
"134","130","130","130","124","100","130","124","100","130","117","30","130"
"135","126.25","100","130","124","100","130","105","0","130","118","100","130"
"136","126.25","100","130","124","100","130","111","0","130","124","100","130"
"137","106.25","30","130","121","70","130","124","100","130","121","100","130"
"138","126.25","100","130","124","100","130","115","70","130","121","100","130"
"139","122.5","100","130","130","130","130","120","30","130","124","100","130"
"140","115","70","130","130","130","130","121","70","130","124","100","130"
"141","111.25","100","130","127","100","130","118","100","130","115","70","130"
"142","118.75","70","130","127","100","130","99","0","130","121","100","130"
"143","115","70","130","127","100","130","118","100","130","121","100","130"
"144","126.25","100","130","130","130","130","111","30","130","121","100","130"
"145","126.25","100","130","130","130","130","108","0","130","124","100","130"
"146","111.25","70","130","127","100","130","121","100","130","118","100","130"
"147","110","30","130","124","70","130","114","0","130","121","100","130"
"148","118.75","100","130","130","130","130","124","100","130","124","100","130"
"149","122.5","100","130","130","130","130","127","100","130","124","100","130"
"150","126.25","100","130","127","100","130","101","0","130","127","100","130"
"151","126.25","100","130","127","100","130","117","0","130","124","100","130"
"152","126.25","100","130","111","30","130","111","0","130","118","100","130"
"153","122.5","100","130","127","100","130","98","0","130","121","100","130"
"154","118.75","100","130","124","70","130","117","0","130","127","100","130"
"155","126.25","100","130","127","100","130","108","0","130","127","100","130"
"156","122.5","100","130","124","100","130","104","0","130","121","100","130"
"157","126.25","100","130","130","130","130","101","0","130","121","100","130"
"158","122.5","100","130","127","100","130","124","100","130","124","100","130"
"159","115","100","130","127","100","130","108","0","130","127","100","130"
"160","126.25","100","130","121","100","130","117","0","130","124","100","130"
"161","122.5","100","130","130","130","130","114","0","130","124","100","130"
"162","122.5","100","130","130","130","130","127","100","130","124","100","130"
"163","126.25","100","130","124","70","130","104","0","130","121","100","130"
"164","122.5","100","130","130","130","130","130","130","130","124","100","130"
"165","122.5","100","130","130","130","130","101","0","130","127","100","130"
"166","126.25","100","130","127","100","130","117","0","130","124","100","130"
"167","115","70","130","127","100","130","124","100","130","124","100","130"
"168","115","100","130","130","130","130","117","0","130","127","100","130"
"169","126.25","100","130","130","130","130","101","0","130","124","100","130"
"170","122.5","100","130","130","130","130","117","0","130","124","100","130"
"171","118.75","100","130","130","130","130","118","100","130","124","100","130"
"172","130","130","130","127","100","130","117","30","130","118","100","130"
"173","118.75","100","130","130","130","130","101","0","130","124","100","130"
"174","126.25","100","130","127","100","130","95","0","130","124","100","130"
"175","122.5","100","130","130","130","130","124","100","130","124","100","130"
"176","126.25","100","130","130","130","130","117","0","130","121","100","130"
"177","118.75","100","130","130","130","130","101","0","130","121","100","130"
"178","118.75","100","130","127","100","130","111","0","130","127","100","130"
"179","122.5","100","130","130","130","130","101","0","130","124","100","130"
"180","118.75","100","130","124","100","130","127","100","130","121","100","130"
"181","118.75","100","130","127","100","130","117","30","130","118","100","130"
"182","130","130","130","130","130","130","118","70","130","124","100","130"
"183","130","130","130","130","130","130","114","0","130","127","100","130"
"184","130","130","130","130","130","130","114","0","130","124","100","130"
"185","126.25","100","130","130","130","130","118","70","130","124","100","130"
"186","130","130","130","130","130","130","114","0","130","124","100","130"
"187","115","70","130","121","70","130","111","0","130","124","100","130"
"188","126.25","100","130","131","100","170","118","100","130","124","100","130"
"189","126.25","100","130","130","130","130","104","0","130","124","100","130"
"190","130","130","130","130","130","130","121","100","130","118","100","130"
"191","122.5","100","130","130","130","130","108","0","130","121","100","130"
"192","126.25","100","130","130","130","130","108","0","130","127","100","130"
"193","130","130","130","127","100","130","108","0","130","121","100","130"
"194","130","130","130","121","70","130","121","100","130","121","100","130"
"195","130","130","130","130","130","130","114","30","130","124","100","130"
"196","126.25","100","130","124","70","130","117","30","130","124","100","130"
"197","130","130","130","130","130","130","111","30","130","124","100","130"
"198","126.25","100","130","130","130","130","114","30","130","124","100","130"
"199","126.25","100","130","127","100","130","114","30","130","121","100","130"
"200","126.25","100","130","127","100","130","117","30","130","127","100","130"
"201","126.25","100","130","130","130","130","114","30","130","118","100","130"
"202","122.5","100","130","130","130","130","124","100","130","127","100","130"
"203","117.5","30","130","130","130","130","127","100","130","124","100","130"
"204","118.75","70","130","127","100","130","124","100","130","124","100","130"
"205","130","130","130","127","100","130","114","30","130","127","100","130"
"206","118.75","70","130","127","100","130","127","100","130","124","100","130"
"207","126.25","100","130","124","70","130","118","70","130","124","100","130"
"208","126.25","100","130","127","100","130","117","30","130","124","100","130"
"209","126.25","100","130","130","130","130","114","0","130","118","100","130"
"210","122.5","100","130","130","130","130","107","30","130","124","100","130"
"211","130","130","130","130","130","130","107","30","130","118","70","130"
"212","130","130","130","130","130","130","111","30","130","124","100","130"
"213","126.25","100","130","127","100","130","121","70","130","124","100","130"
"214","122.5","100","130","130","130","130","104","0","130","124","100","130"
"215","122.5","100","130","127","100","130","101","0","130","131","100","200"
"216","126.25","100","130","127","100","130","104","30","130","124","100","130"
"217","122.5","100","130","130","130","130","114","30","130","124","100","130"
"218","115","70","130","127","100","130","95","0","130","124","100","130"
"219","126.25","100","130","130","130","130","120","30","130","124","100","130"
"220","130","130","130","124","70","130","111","0","130","124","100","130"
"221","126.25","100","130","130","130","130","114","0","130","121","100","130"
"222","126.25","100","130","130","130","130","101","30","130","124","100","130"
"223","130","130","130","120","30","130","101","0","130","124","100","130"
"224","126.25","100","130","130","130","130","101","0","130","124","100","130"
"225","130","130","130","127","100","130","111","30","170","127","100","130"
"226","130","130","130","127","100","130","98","0","130","124","100","130"
"227","118.75","100","130","130","130","130","102","30","130","121","100","130"
"228","130","130","130","127","100","130","117","30","130","124","100","130"
"229","130","130","130","130","130","130","111","0","130","124","100","130"
"230","130","130","130","130","130","130","94","0","130","121","100","130"
"231","130","130","130","127","100","130","97","30","130","124","100","130"
"232","126.25","100","130","130","130","130","97","30","130","121","100","130"
"233","122.5","100","130","130","130","130","111","30","130","124","100","130"
"234","130","130","130","130","130","130","98","30","130","127","100","130"
"235","130","130","130","130","130","130","101","0","130","124","100","130"
"236","138.75","130","200","127","100","130","94","0","130","124","100","130"
"237","126.25","100","130","124","70","130","94","0","130","124","100","130"
"238","130","130","130","130","130","130","94","0","130","124","100","130"
"239","126.25","100","130","130","130","130","101","0","130","124","100","130"
"240","130","130","130","130","130","130","122","100","170","121","100","130"
"241","126.25","100","130","130","130","130","107","30","130","124","100","130"
"242","126.25","100","130","130","130","130","97","30","130","121","100","130"
"243","130","130","130","130","130","130","91","0","130","121","100","130"
"244","130","130","130","124","100","130","84","0","130","127","100","130"
"245","126.25","100","130","134","130","170","94","30","130","124","100","130"
"246","130","130","130","130","130","130","107","30","130","124","100","130"
"247","126.25","100","130","130","130","130","104","30","130","124","100","130"
"248","130","130","130","127","100","130","101","30","130","124","100","130"
"249","130","130","130","130","130","130","98","0","130","124","100","130"
"250","130","130","130","124","70","130","91","30","130","124","100","130"
"251","130","130","130","130","130","130","98","0","130","124","100","130"
"252","126.25","100","130","130","130","130","98","0","130","121","100","130"
"253","130","130","130","130","130","130","115","30","170","124","100","130"
"254","130","130","130","130","130","130","101","0","130","124","100","130"
"255","130","130","130","130","130","130","84","0","130","124","100","130"
"256","130","130","130","130","130","130","102","0","130","124","100","130"
"257","122.5","100","130","130","130","130","81","0","130","121","100","130"
"258","130","130","130","130","130","130","108","30","130","121","100","130"
"259","122.5","100","130","127","100","130","111","30","170","124","100","130"
"260","130","130","130","130","130","130","101","0","130","127","100","130"
"261","126.25","100","130","130","130","130","101","0","130","118","100","130"
"262","130","130","130","130","130","130","101","0","130","124","100","130"
"263","130","130","130","130","130","130","91","0","130","124","100","130"
"264","126.25","100","130","130","130","130","108","30","130","124","100","130"
"265","130","130","130","130","130","130","118","100","130","124","100","130"
"266","130","130","130","130","130","130","81","0","130","124","100","130"
"267","130","130","130","130","130","130","108","30","170","121","100","130"
"268","130","130","130","130","130","130","107","30","130","124","100","130"
"269","126.25","100","130","130","130","130","91","0","130","124","100","130"
"270","126.25","100","130","130","130","130","95","30","130","121","100","130"
"271","126.25","100","130","130","130","130","109","70","130","124","100","130"
"272","130","130","130","130","130","130","92","0","130","124","100","130"
"273","130","130","130","127","100","130","81","0","130","124","100","130"
"274","130","130","130","127","100","130","106","70","130","124","100","130"
"275","130","130","130","127","100","130","105","30","170","124","100","130"
