"Step","env: TAXI - lambdas/Energy","env: TAXI - lambdas/Energy__MIN","env: TAXI - lambdas/Energy__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.2250841959051359","0.21907648745141467","0.2331618869294254"
"11","0.22508535868607432","0.21908326405527923","0.23316592925061472"
"12","0.22508795323570144","0.2190822620851017","0.23316691961965638"
"13","0.22511079498531336","0.21909385027634612","0.2331901378507548"
"14","0.22513290718630544","0.2191121572319239","0.23319909185769938"
"15","0.22516417008500267","0.21913714947161228","0.23321204345316265"
"16","0.2252020298565057","0.2191591126100613","0.23323200444024897"
"17","0.22525466873770822","0.21918193419680887","0.23326399280153967"
"18","0.22531000517412414","0.21920851433094193","0.23331401216865796"
"19","0.2253750445141886","0.21925819704325467","0.23336074996140657"
"20","0.22544206511359688","0.21932989971667732","0.23336529996926242"
"21","0.22551084143687478","0.21940899090944224","0.23336475311554633"
"22","0.2255842439740204","0.21949640243211233","0.23337327829351037"
"23","0.22564561077045203","0.2195775698108563","0.2333726483156217"
"24","0.22571550142025196","0.2196622063901589","0.23338209736220045"
"25","0.2257826492497367","0.21975223167209543","0.23338743738754397"
"26","0.2258514877544214","0.219845682537164","0.2333661240061278"
"27","0.2259170120758541","0.21994060547510277","0.23334087922895277"
"28","0.22597969863981443","0.22003311978472873","0.23332181711435968"
"29","0.22604510361605742","0.22012139224712218","0.23330789735897042"
"30","0.2261137142005149","0.22020439626306995","0.23332191485427148"
"31","0.2261814331243503","0.22027058634255978","0.23335200314818919"
"32","0.2262546345516531","0.2203451443213791","0.23336778991548332"
"33","0.22633463378645163","0.22042512941921","0.2333885333228876"
"34","0.22642375237015272","0.2205046993288908","0.23341118035987557"
"35","0.22651872873489073","0.22058482706582794","0.2334458296204158"
"36","0.22661347605156057","0.22068105096040477","0.2335202109990121"
"37","0.22670723646439264","0.22077484990062887","0.23359422119229833"
"38","0.22680765198695788","0.22086817765835773","0.23366179780153531"
"39","0.22690926383571722","0.2209475499594191","0.23376902636169591"
"40","0.22701423527785286","0.22102167666525008","0.23385596219664032"
"41","0.2271229969457373","0.2211091731139601","0.23393538757255844"
"42","0.2272319296258189","0.22124379825962687","0.23403261361678238"
"43","0.22734501981854544","0.22138070563450224","0.23413238746745202"
"44","0.2274551335992614","0.2215275857862735","0.23423469648335993"
"45","0.22756878870405065","0.22168253745754285","0.2343425610642832"
