"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX","env: TAXI - ep_info/Energy","env: TAXI - ep_info/Energy__MIN","env: TAXI - ep_info/Energy__MAX"
"95","0.2","0","1","-58.6","-67","-42","-130.6","-147","-104"
"96","0","0","0","-65.6","-70","-58","-134.4","-142","-130"
"97","0","0","0","-67","-70","-62","-133","-138","-130"
"98","0","0","0","-67.2","-71","-61","-132.8","-139","-129"
"99","0","0","0","-65.2","-70","-59","-134.8","-141","-130"
"100","0","0","0","-65.8","-74","-60","-134.2","-140","-126"
"101","0.2","0","1","-53.6","-72","-14","-115.6","-140","-32"
"102","0","0","0","-62.6","-66","-57","-137.4","-143","-134"
"103","0","0","0","-64.6","-72","-61","-135.4","-139","-128"
"104","0","0","0","-64.8","-68","-61","-135.2","-139","-132"
"105","0.4","0","1","-48.6","-66","-13","-104.4","-138","-33"
"106","0.4","0","1","-48.4","-66","-1","-107.4","-136","-13"
"107","0.2","0","1","-58","-72","-22","-117.2","-137","-54"
"108","0","0","0","-67.2","-73","-59","-132.8","-141","-127"
"109","0","0","0","-64.6","-69","-60","-135.4","-140","-131"
"110","0.2","0","1","-57.8","-68","-30","-122.2","-141","-70"
"111","0","0","0","-66.4","-70","-59","-133.6","-141","-130"
"112","0","0","0","-64.6","-71","-56","-135.4","-144","-129"
"113","0","0","0","-66.4","-70","-61","-133.6","-139","-130"
"114","0","0","0","-63.8","-69","-58","-136.2","-142","-131"
"115","0","0","0","-67.8","-71","-60","-132.2","-140","-129"
"116","0","0","0","-64.4","-68","-61","-135.6","-139","-132"
"117","0","0","0","-67","-71","-65","-133","-135","-129"
"118","0","0","0","-65.2","-69","-61","-134.8","-139","-131"
"119","0","0","0","-66.2","-71","-58","-133.8","-142","-129"
"120","0","0","0","-65.6","-72","-63","-134.4","-137","-128"
"121","0","0","0","-65","-68","-60","-135","-140","-132"
"122","0","0","0","-66.4","-70","-64","-133.6","-136","-130"
"123","0.2","0","1","-56.8","-68","-28","-122.6","-142","-69"
"124","0","0","0","-65.4","-69","-63","-134.6","-137","-131"
"125","0","0","0","-66.2","-71","-60","-133.8","-140","-129"
"126","0.2","0","1","-61.2","-69","-45","-130.2","-140","-112"
"127","0","0","0","-64","-69","-56","-136","-144","-131"
"128","0.2","0","1","-61","-70","-48","-130.8","-143","-111"
"129","0","0","0","-64.6","-68","-60","-135.4","-140","-132"
"130","0","0","0","-61.2","-63","-59","-138.8","-141","-137"
"131","0","0","0","-66.2","-69","-62","-133.8","-138","-131"
"132","0.2","0","1","-62","-68","-47","-125.6","-136","-91"
"133","0","0","0","-65.4","-70","-61","-134.6","-139","-130"
"134","0.2","0","1","-58","-71","-31","-119","-141","-54"
"135","0","0","0","-65.8","-69","-61","-134.2","-139","-131"
"136","0","0","0","-67","-69","-63","-133","-137","-131"
"137","0.2","0","1","-60.2","-75","-37","-126.8","-141","-98"
"138","0.2","0","1","-56.6","-71","-25","-118","-142","-48"
"139","0","0","0","-65","-69","-60","-135","-140","-131"
"140","0","0","0","-68","-70","-65","-132","-135","-130"
"141","0","0","0","-64.4","-68","-62","-135.6","-138","-132"
"142","0","0","0","-65.8","-70","-63","-134.2","-137","-130"
"143","0.4","0","1","-54","-70","-28","-117","-140","-63"
"144","0.2","0","1","-58.8","-68","-36","-124.6","-138","-81"
"145","0","0","0","-63.4","-70","-57","-136.6","-143","-130"
"146","0","0","0","-65.6","-72","-58","-134.4","-142","-128"
"147","0","0","0","-65.8","-68","-64","-134.2","-136","-132"
"148","0","0","0","-61.2","-68","-54","-138.8","-146","-132"
"149","0.2","0","1","-58","-69","-20","-116.6","-134","-53"
"150","0.2","0","1","-66.6","-69","-63","-130.8","-134","-124"
"151","0","0","0","-62.6","-70","-54","-137.4","-146","-130"
"152","0","0","0","-68.2","-71","-66","-131.8","-134","-129"
"153","0","0","0","-67.2","-69","-64","-132.8","-136","-131"
"154","0","0","0","-66","-72","-63","-134","-137","-128"
"155","0.2","0","1","-59.2","-71","-21","-118.8","-134","-69"
"156","0.2","0","1","-58.4","-70","-24","-118.8","-134","-62"
"157","0","0","0","-67.2","-71","-63","-132.8","-137","-129"
"158","0.2","0","1","-62","-68","-46","-126.2","-138","-95"
"159","0.2","0","1","-56.4","-68","-23","-117.6","-139","-47"
"160","0","0","0","-64.4","-70","-56","-135.6","-144","-130"
"161","0","0","0","-65.4","-69","-62","-134.6","-138","-131"
"162","0.2","0","1","-57.8","-66","-34","-122.4","-139","-67"
"163","0","0","0","-68.6","-72","-65","-131.4","-135","-128"
"164","0","0","0","-65","-68","-60","-135","-140","-132"
"165","0.2","0","1","-60","-68","-40","-124.4","-140","-82"
"166","0.4","0","1","-51.8","-67","-24","-113.2","-137","-66"
"167","0.2","0","1","-60","-68","-45","-128.8","-141","-99"
"168","0.2","0","1","-53.2","-63","-17","-119.4","-139","-46"
"169","0.2","0","1","-58","-66","-37","-126.6","-141","-86"
"170","0","0","0","-66.6","-72","-63","-133.4","-137","-128"
"171","0.2","0","1","-57.2","-69","-26","-120.2","-138","-61"
"172","0.2","0","1","-51.6","-68","-2","-111.2","-140","-12"
"173","0","0","0","-64.8","-70","-58","-135.2","-142","-130"
"174","0","0","0","-64.2","-68","-61","-135.8","-139","-132"
"175","0","0","0","-63.6","-69","-57","-136.4","-143","-131"
"176","0","0","0","-62.6","-65","-60","-137.4","-140","-135"
"177","0","0","0","-67.8","-71","-65","-132.2","-135","-129"
"178","0.2","0","1","-61.2","-70","-48","-129","-140","-103"
"179","0","0","0","-65.2","-69","-59","-134.8","-141","-131"
"180","0.4","0","1","-56.2","-66","-32","-114.4","-136","-66"
"181","0","0","0","-68","-71","-63","-132","-137","-129"
"182","0","0","0","-62.6","-67","-58","-137.4","-142","-133"
"183","0","0","0","-68.8","-74","-62","-131.2","-138","-126"
"184","0","0","0","-68.6","-73","-65","-131.4","-135","-127"
"185","0","0","0","-65.8","-76","-60","-134.2","-140","-124"
"186","0.2","0","1","-63.2","-74","-36","-117.8","-135","-69"
"187","0","0","0","-66.8","-70","-64","-133.2","-136","-130"
"188","0","0","0","-63.4","-68","-58","-136.6","-142","-132"
"189","0.4","0","1","-50.8","-70","-27","-103.6","-135","-59"
"190","0","0","0","-64.4","-71","-60","-135.6","-140","-129"
"191","0.4","0","1","-62.6","-68","-55","-127","-136","-108"
"192","0","0","0","-64.4","-68","-61","-135.6","-139","-132"
"193","0","0","0","-64.2","-67","-60","-135.8","-140","-133"
"194","0","0","0","-62.8","-65","-59","-137.2","-141","-135"
"195","0","0","0","-65.8","-68","-63","-134.2","-137","-132"
"196","0","0","0","-63.6","-68","-57","-136.4","-143","-132"
"197","0","0","0","-67.8","-74","-64","-132.2","-136","-126"
"198","0","0","0","-66.4","-69","-63","-133.6","-137","-131"
"199","0","0","0","-63","-67","-60","-137","-140","-133"
"200","0.2","0","1","-61","-67","-55","-128.6","-141","-93"
"201","0","0","0","-65.6","-72","-60","-134.4","-140","-128"
