"Step","env: TAXI - lambdas/Illegal_action","env: TAXI - lambdas/Illegal_action__MIN","env: TAXI - lambdas/Illegal_action__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.4067066019810833","0.38542023960809657","0.452824537522128"
"11","0.4066889611343233","0.3854187832661938","0.4528233106476315"
"12","0.4066541982024573","0.3854251013546294","0.4528220899073411"
"13","0.40664106358434965","0.38543187327566913","0.45295734566687623"
"14","0.4066434715331667","0.38560566712504096","0.4530900969344377"
"15","0.4066563382385315","0.38590940258258594","0.45321605129099773"
"16","0.40669610417778645","0.386358267064157","0.453327853534023"
"17","0.40677532502382396","0.38638784002533944","0.45356513573186824"
"18","0.406818860835456","0.38638106251050164","0.4536437543946538"
"19","0.40683963982554416","0.3863762596439159","0.4535244805200562"
"20","0.406843130771001","0.38636565840053233","0.4533947196659524"
"21","0.40686294880631946","0.386349772874606","0.45345120695423724"
"22","0.4068801092790297","0.38633930391279253","0.45350364163424034"
"23","0.40687115122953355","0.38633179848646476","0.45341886310645346"
"24","0.40684235771488214","0.3863175376042338","0.45332957907475785"
"25","0.40681586603093","0.38629655488538484","0.45323889528126754"
"26","0.40678919989498485","0.3862698541567425","0.45314743537631014"
"27","0.4067321189922321","0.3862437717761224","0.45292162482071285"
"28","0.40669296698292606","0.386219760390343","0.45269706080489486"
"29","0.4066995493940122","0.3863405466982945","0.45247373585702505"
"30","0.40673564616672825","0.3864607454443791","0.4522541030178031"
"31","0.4068181332218862","0.3865789010292789","0.4520344497538734"
"32","0.4069290029816492","0.38669064314215806","0.45181293398145"
"33","0.4070357139694093","0.38679745331785437","0.45158527096559736"
"34","0.4071693142276221","0.3869042182675734","0.45135641246714875"
"35","0.40729789909697917","0.3870065534285919","0.45112146081880716"
"36","0.40739429416691986","0.38711325043379696","0.45088965243599827"
"37","0.4074749985559209","0.38721697806696836","0.4506566787162442"
"38","0.4075519721582004","0.38731384156856324","0.4504243851461733"
"39","0.4075965400357592","0.38725602228473976","0.45019888733321406"
"40","0.40760740646343524","0.3871945885455196","0.4499685205092103"
"41","0.40756963768433935","0.38713688075824126","0.44974248669683614"
"42","0.4075479763393376","0.3870809276404036","0.44969917399674536"
"43","0.40752383645899287","0.3870262322381466","0.44965485330626204"
"44","0.407515716121556","0.387126820872922","0.44960891831009986"
"45","0.4075063013588743","0.3872396113700712","0.44956443349762454"
