"Step","env: TAXI - lambdas/Objective","env: TAXI - lambdas/Objective__MIN","env: TAXI - lambdas/Objective__MAX"
"1","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"2","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"3","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"4","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"5","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"6","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"7","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"8","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"9","0.33333333333333337","0.3333333333333333","0.3333333333333333"
"10","0.3682092021137808","0.3213156054342305","0.39046175627429264"
"11","0.36822568017960233","0.3214868820188598","0.3904583679723604"
"12","0.3682578485618413","0.32165245138790477","0.39045886895744913"
"13","0.368248141430337","0.3218070809502813","0.39045307486182695"
"14","0.3682236212805277","0.32195344526769537","0.390443921384038"
"15","0.36817949167646585","0.3220964007617847","0.3904314252641939"
"16","0.3681018659657078","0.3221731237544633","0.39042044369496937"
"17","0.3679700062384678","0.32176159828099904","0.3904090329015955"
"18","0.3678711339904199","0.3215332607867886","0.390395742834529"
"19","0.3677853156602673","0.3214588492754148","0.39037090147837267"
"20","0.3677148041154021","0.32137694856751087","0.39033505014166137"
"21","0.36762620975680577","0.32113444462988694","0.3902955045452789"
"22","0.36753564674694983","0.3208905510379836","0.39025179878394384"
"23","0.3674832380000144","0.32084339422457797","0.39021121509457185"
"24","0.3674421408648658","0.32079298048692645","0.3901688968049205"
"25","0.3674014847193333","0.3207415076250367","0.39012388416395233"
"26","0.3673593123505937","0.32068941722741734","0.390077158731418"
"27","0.3673508689319137","0.32083429424603777","0.39002969726244857"
"28","0.3673273343772595","0.32097838631745895","0.38998344010763564"
"29","0.36725534698993023","0.3211216980051997","0.3897850716940093"
"30","0.3671506396327568","0.32126598167166576","0.38959009688714874"
"31","0.36700043365376345","0.32140861222813577","0.3892499385030032"
"32","0.3668163624666977","0.32154828589909973","0.38890701719731524"
"33","0.3666296522441389","0.32168195406484795","0.3885628031560507"
"34","0.3664069334022252","0.32181314248335563","0.38822020699416226"
"35","0.36618337216813013","0.32193836090348044","0.3878787385690909"
"36","0.3659922297815196","0.3220642021944632","0.38753066638142275"
"37","0.36581776497968643","0.3221875993387675","0.3871852063932408"
"38","0.3656403758548417","0.32230987788439186","0.3868413802851465"
"39","0.3654941961285236","0.3224354263687698","0.38666077219194833"
"40","0.3653783582587119","0.32255590310990223","0.3864834643715907"
"41","0.36530736536992336","0.32267790816787867","0.3864551227577911"
"42","0.36522009403484346","0.32263732930692346","0.38624844435298333"
"43","0.3651311437224617","0.3225960767783152","0.38604134579890126"
"44","0.3650291502791826","0.32255371541535616","0.38567507141338275"
"45","0.3649249099370751","0.3225124434962743","0.3853062194651476"
