"Step","env: TAXI - lambdas/component_1","env: TAXI - lambdas/component_1__MIN","env: TAXI - lambdas/component_1__MAX"
"1","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"2","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"3","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"5","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"6","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"7","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"8","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"9","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"10","0.3750990637625101","0.3490458905947866","0.38329731530624717"
"11","0.3750595465911334","0.3492097190740199","0.38310202220418593"
"12","0.37501768749503256","0.3493710241691967","0.3829090005739908"
"13","0.3749753568484268","0.3495277252634943","0.38271517845010744"
"14","0.3748945797171575","0.3495240614611737","0.3824938989810973"
"15","0.37481131307057286","0.34952041598002265","0.3822724086210039"
"16","0.3747184226079587","0.3495038168896621","0.38204065950355093"
"17","0.3746175732578178","0.34947976879316783","0.38180220342293175"
"18","0.3745103133506369","0.34944537975301104","0.38156799787829865"
"19","0.37439705083150654","0.3494086519296844","0.3813266649947463"
"20","0.37424230077208787","0.3493645755329493","0.381075187486355"
"21","0.3741563051987272","0.3493198824787013","0.38101817575927643"
"22","0.3740679710622733","0.3492716466141961","0.38096057233609754"
"23","0.3739769672912209","0.34921946710659213","0.3809001964401945"
"24","0.3738532777068434","0.3491390923533275","0.38085933583538"
"25","0.37369173582831233","0.34905702616991335","0.3808073215823422"
"26","0.3735005323231239","0.3489732769330649","0.3807538173946946"
"27","0.3733098110814565","0.34889036392084105","0.3806962097640987"
"28","0.37308475925522566","0.3488099569795716","0.3806318978142533"
"29","0.37286199025830236","0.3487332992007411","0.38057314562263284"
"30","0.37267789374641974","0.34866455707829797","0.380515557544456"
"31","0.3724962064931665","0.34859448404156074","0.38045388545767056"
"32","0.3722886496241351","0.34852769039546433","0.3802400826642485"
"33","0.37208400567858557","0.3484641598557048","0.38003040072237226"
"34","0.3719163475288748","0.3484289877445524","0.3798230710058006"
"35","0.37178488494344947","0.3483893876786823","0.37962637625124307"
"36","0.3716477123895306","0.34835165965994175","0.3794289093868178"
"37","0.3715116361169953","0.3483157943533678","0.3792402767979467"
"38","0.3714125752658962","0.348277178614347","0.3790586849907982"
"39","0.37131471304994446","0.3482375002915944","0.3788710073288323"
"40","0.3712146653963993","0.34819383492131517","0.3786816400272711"
"41","0.37111304004498075","0.34814787652452756","0.3784940820659345"
"42","0.3710397359256822","0.34810256631868636","0.37846139448194255"
"43","0.3709640094314502","0.34805706398330777","0.37842450557472934"
"44","0.3709175716094052","0.3481659481740527","0.3783782015556639"
"45","0.3708389535538645","0.3481205365365565","0.37832252821769063"
"46","0.370796288902707","0.34807451460919125","0.37826232961082"
"47","0.37072160594508774","0.34801783746242604","0.37819064752833303"
"48","0.37064658978535064","0.34796186220835335","0.3781145180331653"
"49","0.37054163472288587","0.347904910663034","0.37803396260185107"
"50","0.37037516241289403","0.3478423822535958","0.37782269711557387"
"51","0.370209758883642","0.34777221131801184","0.3776107413885487"
"52","0.3700154404617759","0.34769904136527297","0.3773976636631949"
"53","0.36978955825599125","0.3476249807385294","0.37719393551690505"
"54","0.3695657105785268","0.34755380210527814","0.37698686330407455"
"55","0.3693775869403909","0.34764656925569315","0.37679302999009917"
"56","0.3691920880362626","0.3477404833330948","0.376604518697148"
"57","0.36903927827799526","0.34784182614545656","0.3764234795406313"
"58","0.36888648788485884","0.3479451186860284","0.37624420818341825"
"59","0.36873180449335097","0.34803903392008306","0.375936239306506"
"60","0.3686049806118112","0.34813367717087307","0.37559749836901135"
"61","0.36847793200492773","0.3482340801395215","0.375259944983959"
"62","0.36834923832028127","0.3481769402625417","0.3749240095312073"
"63","0.36825136641066314","0.3481125362530001","0.37458055254467026"
"64","0.36812148534154304","0.34804174340201005","0.37424353306881897"
"65","0.3679552369647191","0.3479671104954604","0.373733853433346"
"66","0.3677569637851378","0.3477287628355151","0.3732313337297366"
"67","0.3675285638546109","0.34749077098634007","0.37304153462104955"
"68","0.3672992888320988","0.347251876422709","0.37298915327967724"
"69","0.36706783437152474","0.3468500228121959","0.3729492141352136"
"70","0.36686885245334755","0.34645222144607485","0.3729038077555291"
"71","0.3666695995212087","0.3460609605262901","0.3728568789451712"
"72","0.3665016631293955","0.3458258461770488","0.37281583705975857"
"73","0.366335135581635","0.345596515032693","0.37276889697900695"
"74","0.3661706052408103","0.3452274370980916","0.3727265382958924"
"75","0.366001513422652","0.3448484313863127","0.37269004544779344"
"76","0.3658352383804699","0.34463148735249916","0.37265721259524487"
"77","0.3656964805178763","0.34441521134068165","0.3726180046856245"
"78","0.3655579494974281","0.3442033582015569","0.37257898600777756"
"79","0.365452872368598","0.34416073743280406","0.3725357997699243"
"80","0.36531990343361287","0.3441149877996353","0.3723553988263588"
"81","0.36518816978579227","0.3440636193906334","0.37218112071622733"
"82","0.36505656026750516","0.3440133410943245","0.3720024832537997"
"83","0.3649253633903805","0.3439616420556028","0.37182647579821027"
"84","0.3647869440217605","0.3440548729205666","0.3716430739198255"
"85","0.36466488030266786","0.3441584254807308","0.3714640682211889"
"86","0.36456812735025074","0.34425972001493715","0.37127768735065714"
"87","0.36444368299800634","0.344358349051485","0.3710931078577609"
"88","0.36432030172386676","0.3444522339681832","0.37091162528119037"
"89","0.36419465662655054","0.34454390547088254","0.3707314835670136"
"90","0.3640982366057975","0.3446375581370497","0.37069243835400656"
"91","0.3639619946381213","0.34454537598983387","0.3706470548785503"
"92","0.36382839981305837","0.34445616369566634","0.37060710834019706"
"93","0.36363497850021137","0.3443644668714354","0.37044984008488757"
"94","0.36347561184544575","0.34426987938052633","0.3702903056020484"
"95","0.36333704218062274","0.3441648834057641","0.3701285177954734"
"96","0.3631641224059841","0.34406501344921026","0.3699701407150676"
"97","0.3629870564774559","0.34396940722361197","0.3698112443778748"
"98","0.36280811563775395","0.3438734404261899","0.36964444436572047"
"99","0.36259797221234946","0.34360748331067265","0.36947412939285823"
"100","0.36238813600668107","0.34333995226105896","0.3693050979268459"
"101","0.3622174229358179","0.34325847198849785","0.3691343027962117"
"102","0.36204418012470135","0.34316610395824926","0.36895784529357506"
"103","0.36193091203854627","0.3430813066090365","0.368909102320884"
"104","0.3618200464181688","0.3429952583427179","0.3688618931519252"
"105","0.36170867773442045","0.34291173004955605","0.368809694382166"
"106","0.36159787394258336","0.3428273628158564","0.368757743209545"
"107","0.36152023925468957","0.342733376246564","0.36870777646849145"
"108","0.3613783289252051","0.34246245021752647","0.36865717768850437"
"109","0.3612732340500457","0.3423686371375363","0.3686094263701115"
"110","0.36114091114458485","0.3422778002495844","0.3685653781876805"
"111","0.3610107295071887","0.3421861607707393","0.3685289270981734"
"112","0.36088159663410746","0.3420995780036045","0.3684939517930757"
"113","0.3607529842703169","0.3420079890732948","0.368459575925934"
"114","0.36059843609320275","0.34191392827532247","0.3684305785125967"
"115","0.3604478759183626","0.34182995560221857","0.36840910755254574"
"116","0.36027119010706515","0.3417480740793087","0.3683920836180789"
"117","0.36010015086635677","0.34167412914156886","0.36837557224287537"
"118","0.35999744336431155","0.3417814822426772","0.36835957102387024"
