"Step","env: TAXI - ep_info/Illegal_action","env: TAXI - ep_info/Illegal_action__MIN","env: TAXI - ep_info/Illegal_action__MAX"
"215","-17.8","-33","-10"
"216","-17.6","-24","-13"
"217","-18","-34","-4"
"218","-19.8","-26","-5"
"219","-19","-33","-5"
"220","-21.6","-43","-8"
"221","-13.2","-24","-7"
"222","-12.2","-27","-6"
"223","-18.6","-48","-5"
"224","-15.6","-24","-7"
"225","-9.8","-23","-4"
"226","-22.8","-41","-8"
"227","-16.4","-26","-12"
"228","-16.4","-27","-9"
"229","-18.6","-28","-10"
"230","-21","-39","-12"
"231","-13.2","-42","-1"
"232","-16.2","-27","-8"
"233","-30.8","-33","-27"
"234","-21.6","-31","-13"
"235","-21.6","-40","-5"
"236","-15.8","-32","-3"
"237","-18.6","-26","-8"
"238","-16.4","-33","-2"
"239","-16.2","-26","-2"
"240","-10.6","-15","-6"
"241","-10.8","-15","-3"
"242","-13","-22","-6"
"243","-14.8","-24","-5"
"244","-20.6","-28","-16"
"245","-16.8","-35","-4"
"246","-22.6","-56","-10"
"247","-16.4","-31","-2"
"248","-14.2","-26","-4"
"249","-10.6","-19","-2"
"250","-18.4","-30","-8"
"251","-12.2","-21","-3"
"252","-13.8","-24","-8"
"253","-7.6","-20","-1"
"254","-14.8","-25","-7"
"255","-13.6","-29","-5"
"256","-14.8","-25","-6"
"257","-13.2","-29","-3"
"258","-8.2","-18","-2"
"259","-22.4","-39","-6"
"260","-23","-42","-3"
"261","-16.4","-23","-5"
"262","-18.2","-30","-10"
"263","-20.4","-25","-8"
"264","-15.8","-37","0"
"265","-16.2","-30","-4"
"266","-12.2","-20","-4"
"267","-7","-13","-2"
"268","-13.6","-29","-4"
"269","-9.8","-21","-3"
"270","-24.8","-34","-9"
"271","-19.6","-26","-13"
"272","-20.2","-37","-6"
"273","-22.6","-40","-10"
"274","-11.6","-24","-5"
"275","-15.2","-36","-1"
"276","-13.4","-21","-8"
"277","-18.6","-42","-1"
"278","-21","-37","-8"
"279","-12.2","-25","-3"
"280","-9.6","-27","-2"
"281","-16.8","-25","-5"
"282","-11.8","-19","-5"
"283","-19.6","-53","-5"
"284","-15.8","-34","-3"
"285","-14.2","-32","-6"
"286","-12.2","-21","-4"
"287","-12.4","-24","-4"
"288","-24.2","-42","-4"
"289","-28.2","-38","-14"
"290","-12.4","-24","-5"
"291","-7","-17","-1"
"292","-14.8","-27","-7"
"293","-6.2","-10","-1"
"294","-14.4","-31","-4"
"295","-13.4","-23","-4"
"296","-8.8","-25","-1"
"297","-8.8","-18","-2"
"298","-13.4","-22","-2"
"299","-12.2","-27","-4"
"300","-12.4","-34","-2"
"301","-18","-40","-2"
"302","-12.6","-22","-8"
"303","-17.2","-35","-8"
"304","-11.2","-31","-2"
"305","-22.6","-36","-1"
"306","-22.8","-43","-8"
"307","-12","-22","-3"
"308","-27.4","-43","-18"
"309","-12.8","-22","0"
"310","-10.4","-18","-4"
"311","-19.4","-24","-9"
"312","-17.2","-36","-6"
"313","-9","-28","-1"
"314","-30","-42","-20"
"315","-11.6","-21","-3"
"316","-19.4","-38","-6"
"317","-11","-19","-6"
"318","-14","-33","-4"
"319","-19.8","-28","-13"
"320","-15.8","-27","-2"
"321","-22.6","-46","-8"
"322","-23.4","-30","-16"
"323","-12.6","-23","-3"
"324","-6.4","-13","-2"
"325","-19.8","-32","-6"
"326","-12.4","-35","-1"
"327","-13.4","-27","-3"
"328","-18","-42","-7"
"329","-16.2","-34","-5"
"330","-16.8","-32","-3"
"331","-13.4","-32","-5"
"332","-8.8","-12","-4"
"333","-16.2","-27","-6"
"334","-12.8","-29","-4"
"335","-13.6","-24","-5"
"336","-9.4","-24","-3"
"337","-11.8","-23","-3"
"338","-16.2","-33","-4"
"339","-8.4","-19","0"
"340","-15","-34","-4"
"341","-5.8","-7","-4"
"342","-14.4","-35","-2"
"343","-3.8","-9","-1"
"344","-14.8","-36","-6"
"345","-18.4","-29","-1"
"346","-14.8","-41","-2"
"347","-10.2","-23","-4"
"348","-15","-30","-5"
"349","-12.8","-29","-3"
"350","-12","-31","-3"
"351","-3.8","-7","-1"
"352","-16.6","-33","-6"
"353","-8.2","-20","-1"
"354","-11","-28","-3"
"355","-18","-35","-11"
"356","-17.2","-43","0"
"357","-9.8","-18","-3"
"358","-6.6","-10","-3"
"359","-5.4","-7","-4"
"360","-8.2","-23","-1"
"361","-12.4","-18","-7"
"362","-9.4","-17","-2"
"363","-12.2","-32","-3"
"364","-4.8","-11","-1"
"365","-11.6","-20","-6"
"366","-7.4","-16","-2"
"367","-14.4","-43","-2"
"368","-14.4","-31","-2"
"369","-12","-15","-10"
"370","-12.4","-27","-2"
"371","-6.4","-14","-2"
"372","-11.4","-29","-3"
"373","-16.4","-51","-4"
"374","-14.8","-30","-3"
"375","-17.2","-30","-6"
"376","-9.8","-16","-3"
"377","-14.6","-31","-2"
"378","-15.6","-22","-3"
"379","-4.4","-8","-1"
"380","-13","-27","-1"
"381","-3.8","-8","-1"
"382","-11.8","-27","-2"
"383","-9.4","-25","-1"
"384","-14.4","-34","-2"
"385","-5.4","-11","-3"
"386","-12.2","-19","-8"
"387","-6.2","-13","0"
"388","-6","-11","-2"
"389","-10","-20","0"
"390","-11.4","-35","-2"
"391","-9.6","-23","-1"
"392","-13.4","-45","-1"
"393","-7.4","-22","-2"
"394","-10.2","-31","-1"
"395","-4","-6","-2"
"396","-5.2","-7","-3"
"397","-5.2","-12","0"
"398","-10","-22","-3"
"399","-12.6","-40","-3"
"400","-12","-35","-1"
"401","-4.2","-7","-1"
"402","-14.4","-41","-1"
"403","-6.2","-10","-1"
"404","-8","-20","-1"
"405","-17.8","-43","-4"
"406","-13.8","-23","-4"
"407","-12.4","-37","0"
"408","-6.6","-17","-2"
"409","-5.2","-11","-3"
"410","-10.2","-20","-5"
"411","-5.2","-11","-1"
"412","-9.6","-28","-4"
"413","-4.8","-16","-1"
"414","-2.8","-7","-1"
"415","-5.4","-13","-1"
"416","-9.8","-23","-2"
"417","-12.4","-26","-2"
"418","-10.4","-25","-4"
"419","-13.6","-30","-3"
"420","-19.4","-44","-5"
"421","-4","-11","-1"
"422","-13.2","-35","0"
"423","-7.6","-22","-1"
"424","-10","-31","-2"
"425","-10.4","-23","-3"
"426","-11.4","-29","0"
"427","-8.6","-30","-1"
"428","-9.6","-24","-3"
"429","-6","-12","-2"
"430","-10.8","-32","-3"
"431","-9.6","-34","0"
"432","-5.8","-10","-3"
"433","-4","-8","-2"
"434","-14","-39","-4"
"435","-5.4","-18","-2"
"436","-8.2","-19","-1"
"437","-2","-3","0"
"438","-3.6","-5","-2"
"439","-4.6","-8","-1"
"440","-3","-4","-2"
"441","-4.8","-18","0"
"442","-3","-6","0"
"443","-3","-5","0"
"444","-2.6","-6","0"
"445","-2","-4","-1"
"446","-6.8","-15","-1"
"447","-3.8","-7","-2"
"448","-6.6","-23","-1"
"449","-7.2","-21","-1"
"450","-3.6","-7","-1"
"451","-13.2","-42","-3"
"452","-5.8","-13","-2"
"453","-6.6","-17","-2"
"454","-11","-33","-2"
"455","-3.2","-7","0"
"456","-8.4","-18","-2"
"457","-7.2","-12","-2"
"458","-3.6","-7","-1"
"459","-4.2","-6","-3"
"460","-5.4","-15","0"
"461","-9.8","-38","0"
"462","-7.6","-23","-2"
"463","-3.4","-9","-1"
"464","-7.2","-24","0"
"465","-3.4","-9","0"
"466","-4.4","-11","-1"
"467","-5","-9","-1"
"468","-2.2","-5","-1"
"469","-4.8","-8","-2"
"470","-7.4","-23","-1"
"471","-4","-8","-2"
"472","-7.2","-15","-3"
"473","-2.4","-5","-1"
"474","-5.4","-9","-1"
"475","-3.8","-6","-2"
"476","-2.4","-4","0"
"477","-5.2","-10","0"
"478","-5.4","-9","-1"
"479","-9.6","-36","0"
"480","-3.2","-5","0"
"481","-4.8","-11","0"
"482","-4.4","-6","-1"
"483","-3.4","-9","0"
"484","-3.8","-10","-1"
"485","-5.4","-11","-1"
"486","-5.8","-14","-2"
"487","-4.4","-10","0"
"488","-4.4","-15","-1"
"489","-5.6","-11","0"
"490","-4.2","-7","0"
"491","-2.8","-5","0"
"492","-2.4","-4","-1"
"493","-2.2","-5","0"
"494","-1.8","-5","0"
"495","-2.4","-5","-1"
"496","-3.4","-5","-1"
"497","-3","-7","0"
"498","-3.8","-6","0"
"499","-1.8","-4","0"
"500","-1.8","-5","0"
"501","-2.8","-5","0"
"502","-5.4","-7","-3"
"503","-2.8","-5","-1"
"504","-2.4","-5","0"
"505","-4.2","-9","-1"
"506","-1.4","-4","0"
"507","-4","-6","-2"
"508","-1.2","-3","0"
"509","-3","-6","-1"
"510","-3","-7","0"
"511","-2.8","-6","0"
"512","-3.4","-7","-1"
"513","-2.6","-5","-1"
"514","-2.2","-4","-1"
"515","-2.8","-5","0"
"516","-3","-5","-1"
"517","-2","-5","0"
"518","-4","-10","0"
"519","-1.6","-4","0"
"520","-2.2","-3","-1"
"521","-2","-5","0"
"522","-3","-10","0"
"523","-3.4","-6","-1"
"524","-4.8","-7","-3"
"525","-2.2","-4","-1"
"526","-2.6","-5","-1"
"527","-3.6","-6","-2"
"528","-2.4","-4","0"
"529","-3.6","-5","-2"
"530","-2.2","-5","0"
"531","-3","-9","0"
"532","-2.2","-5","0"
"533","-3.4","-6","-1"
"534","-2.2","-4","-1"
"535","-3","-6","0"
"536","-2.4","-4","0"
"537","-5.6","-8","0"
"538","-2","-6","0"
"539","-2","-3","-1"
"540","-3.4","-5","-1"
"541","-1.4","-3","0"
"542","-0.8","-2","0"
"543","-1.8","-3","0"
"544","-2.4","-5","0"
"545","-1.8","-4","0"
"546","-3.4","-5","-2"
"547","-2.4","-4","0"
"548","-2.6","-5","0"
"549","-2.4","-8","0"
"550","-3","-5","-1"
"551","-3","-7","0"
"552","-2.2","-3","-1"
"553","-1.8","-3","0"
"554","-2.2","-5","0"
"555","-1.8","-3","0"
"556","-2.8","-5","-1"
"557","-1","-3","0"
"558","-1.4","-5","0"
"559","-0.8","-2","0"
"560","-1.4","-2","-1"
"561","-2","-4","0"
"562","-3.6","-8","0"
"563","-2.2","-4","0"
"564","-2.6","-5","0"
"565","-3.6","-6","-1"
"566","-2","-3","0"
"567","-2","-4","0"
"568","-3.2","-5","0"
"569","-3","-4","-2"
"570","-3.8","-8","0"
"571","-3.2","-7","0"
"572","-2.6","-5","0"
"573","-2","-5","0"
"574","-1.4","-4","0"
"575","-3.2","-8","-1"
"576","-0.8","-4","0"
"577","-0.8","-2","0"
"578","-2","-4","-1"
"579","-1","-3","0"
"580","-1.4","-4","0"
"581","-1.2","-3","0"
"582","-3.2","-5","0"
"583","-2","-3","0"
"584","-2","-4","0"
"585","-2.2","-4","-1"
"586","-2","-3","-1"
"587","-2.4","-5","0"
"588","-2.6","-4","0"
"589","-1.2","-4","0"
"590","-3.6","-7","-1"
"591","-1.4","-3","0"
"592","-3","-6","0"
"593","-1.2","-5","0"
"594","-2","-4","0"
"595","-1.4","-3","0"
"596","-1.4","-3","0"
"597","-1.6","-4","0"
"598","-1.4","-3","0"
"599","-1.8","-3","0"
"600","-3","-5","0"
"601","-3.8","-7","0"
"602","-1.4","-5","0"
"603","-1","-2","0"
"604","-2.8","-5","-1"
"605","-1.6","-4","0"
"606","-0.8","-2","0"
"607","-1","-4","0"
"608","-2.8","-6","0"
"609","-2.6","-7","0"
"610","-2.4","-5","0"
"611","-1.8","-3","0"
"612","-1.2","-3","0"
"613","-4.8","-13","0"
"614","-2","-4","0"
"615","-1.8","-5","0"
"616","-3","-9","0"
"617","-1.2","-3","0"
"618","-1.4","-6","0"
"619","-2.6","-7","0"
"620","-1.2","-3","0"
"621","-5.2","-11","0"
"622","-1.8","-3","-1"
"623","-2","-3","0"
"624","-5.8","-17","-1"
"625","-4.4","-14","-1"
"626","-2.6","-10","0"
"627","-4.8","-21","0"
"628","-2.4","-6","0"
"629","-3","-10","0"
"630","-3.2","-16","0"
"631","-2","-6","0"
"632","-2.2","-5","0"
"633","-2.8","-5","0"
"634","-2","-4","-1"
"635","-2.4","-5","0"
"636","-2.2","-7","0"
"637","-0.8","-4","0"
"638","-0.8","-2","0"
"639","-1","-2","0"
"640","-1.6","-4","0"
"641","-1.4","-5","0"
"642","-2","-3","0"
"643","-2","-6","0"
"644","-2.2","-5","0"
"645","-4.6","-16","-1"
"646","-2.8","-6","0"
"647","-5","-17","0"
"648","-3.8","-9","0"
"649","-4.4","-12","0"
"650","-2","-5","0"
"651","-1.2","-5","0"
"652","0","0","0"
"653","-2.6","-10","0"
"654","-1.8","-5","-1"
"655","-0.4","-1","0"
"656","-1.6","-5","0"
"657","-1.4","-3","0"
"658","-3.2","-6","0"
"659","-2","-10","0"
"660","-2","-4","0"
"661","-2.4","-4","-1"
"662","-0.4","-1","0"
"663","-1.2","-3","0"
"664","-1.8","-4","0"
"665","-1.6","-4","0"
"666","-0.6","-2","0"
"667","-1.8","-3","-1"
"668","-2.8","-8","0"
"669","-4.4","-14","0"
"670","-4.2","-11","0"
"671","-2.8","-7","0"
"672","-0.2","-1","0"
"673","-4.2","-10","0"
"674","-2.4","-6","0"
"675","-2.4","-6","0"
"676","-1.2","-4","0"
"677","-5.4","-12","0"
"678","-2.4","-6","0"
"679","-2.4","-9","0"
"680","-1.8","-5","0"
"681","-0.8","-3","0"
"682","-0.2","-1","0"
"683","-4.4","-17","0"
"684","-2.4","-6","0"
"685","-6","-18","0"
"686","-2.4","-5","0"
"687","-1.4","-4","0"
"688","-1.8","-6","0"
"689","-1.6","-3","0"
"690","-0.6","-3","0"
"691","-2.6","-7","-1"
"692","-2.2","-5","0"
"693","-1.6","-3","0"
"694","-1.6","-6","0"
"695","-4.2","-9","0"
"696","-3.6","-7","0"
"697","-0.2","-1","0"
"698","-3.6","-9","0"
"699","-0.4","-2","0"
"700","-0.6","-3","0"
"701","-2","-9","0"
"702","-1.8","-4","0"
"703","-0.8","-2","0"
"704","-0.4","-2","0"
"705","-3.8","-10","0"
"706","-3.4","-10","-1"
"707","-0.6","-2","0"
"708","-3.8","-11","0"
"709","-0.8","-4","0"
"710","-5.2","-20","0"
"711","-1.8","-7","0"
"712","-3.6","-10","0"
"713","-0.2","-1","0"
"714","-2.2","-4","0"
"715","-1.6","-4","0"
"716","-2.2","-5","0"
"717","-2.8","-5","0"
"718","-0.4","-1","0"
"719","-1.2","-4","0"
"720","-1","-4","0"
"721","-3.8","-9","-1"
"722","-1.4","-3","0"
"723","-0.4","-1","0"
"724","-0.6","-2","0"
"725","-3.6","-12","0"
"726","-0.8","-3","0"
"727","-0.8","-3","0"
"728","-2","-6","0"
"729","-0.4","-2","0"
"730","-0.4","-2","0"
"731","-0.4","-1","0"
"732","-0.2","-1","0"
"733","-1.6","-8","0"
"734","-0.6","-3","0"
"735","-0.2","-1","0"
"736","-1","-4","0"
"737","-0.4","-2","0"
"738","-2.8","-9","0"
"739","-0.8","-3","0"
"740","-0.8","-2","0"
"741","-0.4","-1","0"
"742","-1.4","-4","0"
"743","-1.4","-5","0"
"744","-1","-5","0"
"745","-1.4","-3","0"
"746","-0.2","-1","0"
"747","-1.6","-4","0"
"748","-0.4","-2","0"
"749","-2.4","-10","0"
"750","-3","-8","0"
"751","-0.8","-4","0"
"752","-2.2","-5","0"
"753","-4","-10","0"
"754","-1.4","-4","0"
"755","-1","-4","0"
"756","-0.2","-1","0"
"757","-1.2","-4","0"
"758","-0.8","-3","0"
"759","-0.2","-1","0"
"760","-0.4","-2","0"
"761","0","0","0"
