"Step","Reacher-Baseline_1757856680 - ep_info/Target2","Reacher-Baseline_1757856680 - ep_info/Target2__MIN","Reacher-Baseline_1757856680 - ep_info/Target2__MAX"
"1024","173.09387564781355","173.09387564781355","173.09387564781355"
"2048","399.51975801435765","399.51975801435765","399.51975801435765"
"3072","210.47262374218553","210.47262374218553","210.47262374218553"
"4096","373.29225555137964","373.29225555137964","373.29225555137964"
"5120","277.0241362119559","277.0241362119559","277.0241362119559"
"6144","127.62660603411496","127.62660603411496","127.62660603411496"
"7168","380.31556384725263","380.31556384725263","380.31556384725263"
"8192","204.32486470224103","204.32486470224103","204.32486470224103"
"9216","207.16116268676706","207.16116268676706","207.16116268676706"
"10240","272.1770433660131","272.1770433660131","272.1770433660131"
"11264","322.39147929676983","322.39147929676983","322.39147929676983"
"12288","288.00965359185284","288.00965359185284","288.00965359185284"
"13312","262.3766594354238","262.3766594354238","262.3766594354238"
"14336","187.7252282423724","187.7252282423724","187.7252282423724"
"15360","107.63557778077666","107.63557778077666","107.63557778077666"
"16384","402.458012457897","402.458012457897","402.458012457897"
"17408","259.5535288317478","259.5535288317478","259.5535288317478"
"18432","181.9597508990555","181.9597508990555","181.9597508990555"
"19456","411.3717075213499","411.3717075213499","411.3717075213499"
"20480","331.7612082242849","331.7612082242849","331.7612082242849"
"21504","375.00520584592596","375.00520584592596","375.00520584592596"
"22528","385.3622652635677","385.3622652635677","385.3622652635677"
"23552","250.0229689926382","250.0229689926382","250.0229689926382"
"24576","166.18954172503436","166.18954172503436","166.18954172503436"
"25600","223.6776986863406","223.6776986863406","223.6776986863406"
"26624","223.44474524038378","223.44474524038378","223.44474524038378"
"27648","301.94163728557396","301.94163728557396","301.94163728557396"
"28672","168.58629408458364","168.58629408458364","168.58629408458364"
"29696","165.1906733934302","165.1906733934302","165.1906733934302"
"30720","357.65839768666774","357.65839768666774","357.65839768666774"
"31744","359.8134245537076","359.8134245537076","359.8134245537076"
"32768","271.75313178036595","271.75313178036595","271.75313178036595"
"33792","290.78667563424096","290.78667563424096","290.78667563424096"
"34816","443.98240400257055","443.98240400257055","443.98240400257055"
"35840","200.81874680181681","200.81874680181681","200.81874680181681"
"36864","196.55812209961005","196.55812209961005","196.55812209961005"
"37888","329.20288860984147","329.20288860984147","329.20288860984147"
"38912","344.8339591989061","344.8339591989061","344.8339591989061"
"39936","268.2032686821767","268.2032686821767","268.2032686821767"
"40960","332.13067851374944","332.13067851374944","332.13067851374944"
"41984","359.39388256776147","359.39388256776147","359.39388256776147"
"43008","380.6707717530662","380.6707717530662","380.6707717530662"
"44032","383.18248216129723","383.18248216129723","383.18248216129723"
"45056","191.10066266765352","191.10066266765352","191.10066266765352"
"46080","288.5581470194156","288.5581470194156","288.5581470194156"
"47104","225.11305753304623","225.11305753304623","225.11305753304623"
"48128","381.5329949212319","381.5329949212319","381.5329949212319"
"49152","311.91644620674197","311.91644620674197","311.91644620674197"
"50176","151.26729577186052","151.26729577186052","151.26729577186052"
"51200","205.04376644958393","205.04376644958393","205.04376644958393"
"52224","343.2907692695735","343.2907692695735","343.2907692695735"
"53248","344.8372549409396","344.8372549409396","344.8372549409396"
"54272","267.8538457966788","267.8538457966788","267.8538457966788"
"55296","148.11781513679307","148.11781513679307","148.11781513679307"
"56320","224.24977424612734","224.24977424612734","224.24977424612734"
"57344","258.61926380428486","258.61926380428486","258.61926380428486"
"58368","357.0885193202412","357.0885193202412","357.0885193202412"
"59392","316.3896405511041","316.3896405511041","316.3896405511041"
"60416","192.28711640340043","192.28711640340043","192.28711640340043"
"61440","307.29193610482616","307.29193610482616","307.29193610482616"
"62464","332.44779078720603","332.44779078720603","332.44779078720603"
"63488","315.8437493601232","315.8437493601232","315.8437493601232"
"64512","134.4747737236321","134.4747737236321","134.4747737236321"
"65536","209.39041620580247","209.39041620580247","209.39041620580247"
"66560","350.2647035308182","350.2647035308182","350.2647035308182"
"67584","313.1416677479865","313.1416677479865","313.1416677479865"
"68608","72.75932495598681","72.75932495598681","72.75932495598681"
"69632","242.87242697260808","242.87242697260808","242.87242697260808"
"70656","170.3182273072889","170.3182273072889","170.3182273072889"
"71680","266.63429571672896","266.63429571672896","266.63429571672896"
"72704","167.09255779488012","167.09255779488012","167.09255779488012"
"73728","195.00971634325106","195.00971634325106","195.00971634325106"
"74752","239.72107637685258","239.72107637685258","239.72107637685258"
"75776","367.3174774421932","367.3174774421932","367.3174774421932"
"76800","281.6925649330078","281.6925649330078","281.6925649330078"
"77824","248.68230248097098","248.68230248097098","248.68230248097098"
"78848","249.15266835025977","249.15266835025977","249.15266835025977"
"79872","235.5107037403941","235.5107037403941","235.5107037403941"
"80896","238.38005001261627","238.38005001261627","238.38005001261627"
"81920","199.20492452173494","199.20492452173494","199.20492452173494"
"82944","255.3372511639609","255.3372511639609","255.3372511639609"
"83968","208.35634027104243","208.35634027104243","208.35634027104243"
"84992","273.91186429024674","273.91186429024674","273.91186429024674"
"86016","288.4191199684865","288.4191199684865","288.4191199684865"
"87040","156.74497549250373","156.74497549250373","156.74497549250373"
"88064","268.2815475830721","268.2815475830721","268.2815475830721"
"89088","232.8309646397829","232.8309646397829","232.8309646397829"
"90112","124.6361484726076","124.6361484726076","124.6361484726076"
"91136","356.8351597561268","356.8351597561268","356.8351597561268"
"92160","211.2062072980334","211.2062072980334","211.2062072980334"
"93184","220.02850195253268","220.02850195253268","220.02850195253268"
"94208","146.47863778210012","146.47863778210012","146.47863778210012"
"95232","348.30482110357843","348.30482110357843","348.30482110357843"
