,HV (log10),Cardinality,Time (m)
Envelope,7.4791022902703785,100,51
GPI-LS,7.559203159719119,100,1200
PCN,7.3774277416172165,100,62
IPRO,7.526770019645943,526,3300
DQN,10.708845169685418,69,83
UDC,11.164752233483865,54,70
DyLam-DQN,11.23610824261289,73,42
