"Step","Reacher-Dylam_1758023347 - ep_info/Target3","Reacher-Dylam_1758023347 - ep_info/Target3__MIN","Reacher-Dylam_1758023347 - ep_info/Target3__MAX"
"1024","388.82835417357273","388.82835417357273","388.82835417357273"
"2048","397.4960394836962","397.4960394836962","397.4960394836962"
"3072","428.61678197357105","428.61678197357105","428.61678197357105"
"4096","433.42139786854386","433.42139786854386","433.42139786854386"
"5120","433.3584018237889","433.3584018237889","433.3584018237889"
"6016","430.98404132947326","430.98404132947326","430.98404132947326"
"7040","428.0920793428086","428.0920793428086","428.0920793428086"
"8064","432.2894315868616","432.2894315868616","432.2894315868616"
"9088","430.8889641892165","430.8889641892165","430.8889641892165"
"10112","433.9739079847932","433.9739079847932","433.9739079847932"
"11008","429.97162498533726","429.97162498533726","429.97162498533726"
"12032","434.623275924474","434.623275924474","434.623275924474"
"13056","434.3959771450609","434.3959771450609","434.3959771450609"
"14080","431.068939037621","431.068939037621","431.068939037621"
"15104","433.56748615577817","433.56748615577817","433.56748615577817"
"16000","433.17072484083474","433.17072484083474","433.17072484083474"
"17024","434.1132608037442","434.1132608037442","434.1132608037442"
"18048","434.3957126941532","434.3957126941532","434.3957126941532"
"19072","433.9368012845516","433.9368012845516","433.9368012845516"
"20096","432.60630677081645","432.60630677081645","432.60630677081645"
"21120","432.41365750320256","432.41365750320256","432.41365750320256"
"22016","432.6291700527072","432.6291700527072","432.6291700527072"
"23040","434.43785141967237","434.43785141967237","434.43785141967237"
"24064","435.1518413554877","435.1518413554877","435.1518413554877"
"25088","434.83643450401723","434.83643450401723","434.83643450401723"
"26112","433.7194234151393","433.7194234151393","433.7194234151393"
"27008","434.7946487152949","434.7946487152949","434.7946487152949"
"28032","435.9863191302866","435.9863191302866","435.9863191302866"
"29056","434.9848857950419","434.9848857950419","434.9848857950419"
"30080","435.2536863870919","435.2536863870919","435.2536863870919"
"31104","436.09685161337256","436.09685161337256","436.09685161337256"
"32000","435.52430450730026","435.52430450730026","435.52430450730026"
"33024","435.1646356768906","435.1646356768906","435.1646356768906"
"34048","430.7497673686594","430.7497673686594","430.7497673686594"
"35072","443.991815444082","443.991815444082","443.991815444082"
"36096","430.7390327441972","430.7390327441972","430.7390327441972"
"37120","431.6449131593108","431.6449131593108","431.6449131593108"
"38016","431.91587176918983","431.91587176918983","431.91587176918983"
"39040","429.4133157171309","429.4133157171309","429.4133157171309"
"40064","427.9570293292636","427.9570293292636","427.9570293292636"
"41088","432.5273578874767","432.5273578874767","432.5273578874767"
"42112","430.8955445950851","430.8955445950851","430.8955445950851"
"43008","432.4056029058993","432.4056029058993","432.4056029058993"
"44032","433.90272937342525","433.90272937342525","433.90272937342525"
"45056","433.5969388317317","433.5969388317317","433.5969388317317"
"46080","433.92568466067314","433.92568466067314","433.92568466067314"
"47104","434.6757265422493","434.6757265422493","434.6757265422493"
"48000","433.7012410182506","433.7012410182506","433.7012410182506"
"49024","434.3639251701534","434.3639251701534","434.3639251701534"
"50048","434.6182531379163","434.6182531379163","434.6182531379163"
"51072","434.26445043087006","434.26445043087006","434.26445043087006"
"52096","434.5961918719113","434.5961918719113","434.5961918719113"
"53120","434.8668416030705","434.8668416030705","434.8668416030705"
"54016","441.2386207152158","441.2386207152158","441.2386207152158"
"55040","446.7066852841526","446.7066852841526","446.7066852841526"
"56064","454.9861068688333","454.9861068688333","454.9861068688333"
"57088","457.4389043543488","457.4389043543488","457.4389043543488"
"58112","460.9220103342086","460.9220103342086","460.9220103342086"
"59008","442.13499087281525","442.13499087281525","442.13499087281525"
"60032","438.67650457285345","438.67650457285345","438.67650457285345"
