"Step","Reacher-Dylam_1758023347 - ep_info/Target0","Reacher-Dylam_1758023347 - ep_info/Target0__MIN","Reacher-Dylam_1758023347 - ep_info/Target0__MAX"
"1024","454.62976593815256","454.62976593815256","454.62976593815256"
"2048","459.9514959700464","459.9514959700464","459.9514959700464"
"3072","611.6452875565737","611.6452875565737","611.6452875565737"
"4096","324.0945784188807","324.0945784188807","324.0945784188807"
"5120","539.8050353974104","539.8050353974104","539.8050353974104"
"6016","488.0843916386366","488.0843916386366","488.0843916386366"
"7040","243.14103167213034","243.14103167213034","243.14103167213034"
"8064","293.08124162524473","293.08124162524473","293.08124162524473"
"9088","485.6720090061426","485.6720090061426","485.6720090061426"
"10112","280.95092115039006","280.95092115039006","280.95092115039006"
"11008","527.3829135298729","527.3829135298729","527.3829135298729"
"12032","409.60209618508816","409.60209618508816","409.60209618508816"
"13056","398.66325511038303","398.66325511038303","398.66325511038303"
"14080","235.3681835854768","235.3681835854768","235.3681835854768"
"15104","562.6575812995434","562.6575812995434","562.6575812995434"
"16000","537.6258689910173","537.6258689910173","537.6258689910173"
"17024","437.86778196692467","437.86778196692467","437.86778196692467"
"18048","230.27639828948304","230.27639828948304","230.27639828948304"
"19072","405.5302258133888","405.5302258133888","405.5302258133888"
"20096","576.2035436332226","576.2035436332226","576.2035436332226"
"21120","410.61185505241156","410.61185505241156","410.61185505241156"
"22016","239.6526605731342","239.6526605731342","239.6526605731342"
"23040","337.1652805134654","337.1652805134654","337.1652805134654"
"24064","535.0095203220844","535.0095203220844","535.0095203220844"
"25088","622.2998715341091","622.2998715341091","622.2998715341091"
"26112","249.49865703529213","249.49865703529213","249.49865703529213"
"27008","566.1759961545467","566.1759961545467","566.1759961545467"
"28032","292.26189759373665","292.26189759373665","292.26189759373665"
"29056","315.3603046312928","315.3603046312928","315.3603046312928"
"30080","564.3350177407265","564.3350177407265","564.3350177407265"
"31104","543.9725099802017","543.9725099802017","543.9725099802017"
"32000","277.8690566760488","277.8690566760488","277.8690566760488"
"33024","373.8529943674803","373.8529943674803","373.8529943674803"
"34048","348.9269842132926","348.9269842132926","348.9269842132926"
"35072","355.07751113176346","355.07751113176346","355.07751113176346"
"36096","251.44496455664557","251.44496455664557","251.44496455664557"
"37120","520.250975728035","520.250975728035","520.250975728035"
"38016","475.05323058366776","475.05323058366776","475.05323058366776"
"39040","466.20590011775494","466.20590011775494","466.20590011775494"
"40064","494.0919669093564","494.0919669093564","494.0919669093564"
"41088","210.04991819737188","210.04991819737188","210.04991819737188"
"42112","523.0121139287949","523.0121139287949","523.0121139287949"
"43008","416.71323351562023","416.71323351562023","416.71323351562023"
"44032","575.3393788337708","575.3393788337708","575.3393788337708"
"45056","437.68337132036686","437.68337132036686","437.68337132036686"
"46080","611.3714818656445","611.3714818656445","611.3714818656445"
"47104","247.45536777022062","247.45536777022062","247.45536777022062"
"48000","243.43836214715702","243.43836214715702","243.43836214715702"
"49024","309.35771045461297","309.35771045461297","309.35771045461297"
"50048","497.7913598418236","497.7913598418236","497.7913598418236"
"51072","365.5540365576744","365.5540365576744","365.5540365576744"
"52096","274.77468455938833","274.77468455938833","274.77468455938833"
"53120","398.2379420697689","398.2379420697689","398.2379420697689"
"54016","554.9347711801529","554.9347711801529","554.9347711801529"
"55040","683.0953295230865","683.0953295230865","683.0953295230865"
"56064","449.49802546203136","449.49802546203136","449.49802546203136"
"57088","693.1698242425919","693.1698242425919","693.1698242425919"
"58112","392.3000776618719","392.3000776618719","392.3000776618719"
"59008","365.2144005447626","365.2144005447626","365.2144005447626"
"60032","421.32175701856613","421.32175701856613","421.32175701856613"
"61056","372.1051126867533","372.1051126867533","372.1051126867533"
"62080","417.1118092685938","417.1118092685938","417.1118092685938"
"63104","295.83749544620514","295.83749544620514","295.83749544620514"
"64000","468.1753683388233","468.1753683388233","468.1753683388233"
"65024","251.39282450964674","251.39282450964674","251.39282450964674"
"66048","534.3396300077438","534.3396300077438","534.3396300077438"
"67072","468.5217957496643","468.5217957496643","468.5217957496643"
"68096","222.54439557244768","222.54439557244768","222.54439557244768"
"69120","539.4951985478401","539.4951985478401","539.4951985478401"
"70016","377.7768972367048","377.7768972367048","377.7768972367048"
"71040","263.4311201572418","263.4311201572418","263.4311201572418"
"72064","328.1213852316141","328.1213852316141","328.1213852316141"
"73088","262.5378265939653","262.5378265939653","262.5378265939653"
"74112","436.5092248618603","436.5092248618603","436.5092248618603"
"75008","384.5225537568331","384.5225537568331","384.5225537568331"
"76032","573.2790874540806","573.2790874540806","573.2790874540806"
"77056","492.2421733736992","492.2421733736992","492.2421733736992"
"78080","189.99180576010258","189.99180576010258","189.99180576010258"
"79104","211.5190685337293","211.5190685337293","211.5190685337293"
"80000","277.85275845229626","277.85275845229626","277.85275845229626"
"81024","408.1300968825817","408.1300968825817","408.1300968825817"
"82048","641.4176467359066","641.4176467359066","641.4176467359066"
"83072","427.0437811613083","427.0437811613083","427.0437811613083"
"84096","238.89914650238643","238.89914650238643","238.89914650238643"
"85120","553.2180530130863","553.2180530130863","553.2180530130863"
"86016","466.5327533967793","466.5327533967793","466.5327533967793"
"87040","312.0404387116432","312.0404387116432","312.0404387116432"
"88064","481.614274546504","481.614274546504","481.614274546504"
"89088","314.3558420352638","314.3558420352638","314.3558420352638"
"90112","275.9076854225714","275.9076854225714","275.9076854225714"
"91008","275.1054832157679","275.1054832157679","275.1054832157679"
"92032","316.16757487878203","316.16757487878203","316.16757487878203"
"93056","547.6751829385757","547.6751829385757","547.6751829385757"
"94080","309.8833406046033","309.8833406046033","309.8833406046033"
