"Step","env: DQNREACHER - ep_info/Target1","env: DQNREACHER - ep_info/Target1__MIN","env: DQNREACHER - ep_info/Target1__MAX"
"1000","341.5974864549935","341.5974864549935","341.5974864549935"
"2000","461.7864121804014","461.7864121804014","461.7864121804014"
"3000","437.4694266933948","437.4694266933948","437.4694266933948"
"4000","377.9206285532564","377.9206285532564","377.9206285532564"
"5000","394.2660383749753","394.2660383749753","394.2660383749753"
"6000","439.704541240877","439.704541240877","439.704541240877"
"7000","554.5148019634653","554.5148019634653","554.5148019634653"
"8000","356.38502558507025","356.38502558507025","356.38502558507025"
"9000","497.1244530081749","497.1244530081749","497.1244530081749"
"10000","348.53753864751343","348.53753864751343","348.53753864751343"
"11000","431.5545173229184","431.5545173229184","431.5545173229184"
"12000","415.10294669744326","415.10294669744326","415.10294669744326"
"13000","284.6559090896626","284.6559090896626","284.6559090896626"
"14000","316.87755191186443","316.87755191186443","316.87755191186443"
"15000","596.4040529243648","596.4040529243648","596.4040529243648"
"16000","410.2209282144904","410.2209282144904","410.2209282144904"
"17000","257.5981218891684","257.5981218891684","257.5981218891684"
"18000","463.52480218571145","463.52480218571145","463.52480218571145"
"19000","339.6557835757267","339.6557835757267","339.6557835757267"
"20000","212.86577387175203","212.86577387175203","212.86577387175203"
"21000","352.01867916062474","352.01867916062474","352.01867916062474"
"22000","539.8070303524146","539.8070303524146","539.8070303524146"
"23000","403.9505363977514","403.9505363977514","403.9505363977514"
"24000","261.79883662879","261.79883662879","261.79883662879"
"25000","585.2632882972248","585.2632882972248","585.2632882972248"
"26000","342.1379531871062","342.1379531871062","342.1379531871062"
"27000","384.2553820470348","384.2553820470348","384.2553820470348"
"28000","297.93667793739587","297.93667793739587","297.93667793739587"
"29000","296.0649388441816","296.0649388441816","296.0649388441816"
"30000","443.3354644551873","443.3354644551873","443.3354644551873"
"31000","258.60511147987563","258.60511147987563","258.60511147987563"
"32000","476.06024740543216","476.06024740543216","476.06024740543216"
"33000","523.7326938752085","523.7326938752085","523.7326938752085"
"34000","301.2092628777027","301.2092628777027","301.2092628777027"
"35000","254.13530457441811","254.13530457441811","254.13530457441811"
"36000","301.71171095156024","301.71171095156024","301.71171095156024"
"37000","530.0210759732872","530.0210759732872","530.0210759732872"
"38000","278.31713863974437","278.31713863974437","278.31713863974437"
"39000","349.1538023399189","349.1538023399189","349.1538023399189"
"40000","407.23829339724034","407.23829339724034","407.23829339724034"
"41000","549.042821129784","549.042821129784","549.042821129784"
