"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"313","7","0","70"
"314","7","0","70"
"315","7","0","70"
"316","7","0","70"
"317","7","0","70"
"318","7","0","70"
"319","0","0","0"
"320","7","0","70"
"321","7","0","70"
"322","14","0","70"
"323","7","0","70"
"324","7","0","70"
"325","7","0","70"
"326","14","0","70"
"327","7","0","70"
"328","0","0","0"
"329","7","0","70"
"330","7","0","70"
"331","14","0","70"
"332","7","0","70"
"333","14","0","70"
"334","7","0","70"
"335","14","0","70"
"336","0","0","0"
"337","7","0","70"
"338","7","0","70"
"339","14","0","70"
"340","14","0","70"
"341","7","0","70"
"342","14","0","70"
"343","7","0","70"
"344","7","0","70"
"345","14","0","70"
"346","7","0","70"
"347","7","0","70"
"348","7","0","70"
"349","7","0","70"
"350","7","0","70"
"351","7","0","70"
"352","7","0","70"
"353","14","0","70"
"354","7","0","70"
"355","7","0","70"
"356","7","0","70"
"357","7","0","70"
"358","7","0","70"
"359","7","0","70"
"360","7","0","70"
"361","7","0","70"
"362","7","0","70"
"363","7","0","70"
"364","7","0","70"
"365","7","0","70"
"366","7","0","70"
"367","14","0","70"
"368","14","0","70"
"369","14","0","70"
"370","14","0","70"
"371","14","0","70"
"372","14","0","70"
"373","7","0","70"
"374","14","0","70"
"375","14","0","70"
"376","21","0","70"
"377","7","0","70"
"378","14","0","70"
"379","14","0","70"
"380","14","0","70"
"381","7","0","70"
"382","14","0","70"
"383","7","0","70"
"384","7","0","70"
"385","7","0","70"
"386","14","0","70"
"387","14","0","70"
"388","7","0","70"
"389","7","0","70"
"390","7","0","70"
"391","14","0","70"
"392","7","0","70"
"393","7","0","70"
"394","7","0","70"
"395","7","0","70"
"396","7","0","70"
"397","14","0","70"
"398","7","0","70"
"399","14","0","70"
"400","7","0","70"
"401","7","0","70"
"402","7","0","70"
"403","14","0","70"
"404","7","0","70"
"405","7","0","70"
"406","14","0","70"
"407","14","0","70"
"408","14","0","70"
"409","14","0","70"
"410","7","0","70"
"411","7","0","70"
"412","14","0","70"
"413","14","0","70"
"414","7","0","70"
"415","14","0","70"
"416","7","0","70"
"417","7","0","70"
"418","7","0","70"
"419","7","0","70"
"420","7","0","70"
"421","7","0","70"
"422","7","0","70"
"423","14","0","70"
"424","7","0","70"
"425","7","0","70"
"426","14","0","70"
"427","7","0","70"
"428","14","0","70"
"429","14","0","70"
"430","7","0","70"
"431","14","0","70"
"432","7","0","70"
"433","14","0","70"
"434","14","0","70"
"435","7","0","70"
"436","7","0","70"
"437","7","0","70"
"438","14","0","70"
"439","14","0","70"
"440","7","0","70"
"441","0","0","0"
"442","14","0","70"
"443","7","0","70"
"444","14","0","70"
"445","7","0","70"
"446","7","0","70"
"447","7","0","70"
"448","7","0","70"
"449","7","0","70"
"450","14","0","70"
"451","14","0","70"
"452","14","0","70"
"453","7","0","70"
"454","14","0","70"
"455","21","0","70"
"456","7","0","70"
"457","14","0","70"
"458","7","0","70"
"459","14","0","70"
"460","14","0","70"
"461","14","0","70"
"462","7","0","70"
"463","14","0","70"
"464","7","0","70"
"465","14","0","70"
"466","14","0","70"
"467","7","0","70"
"468","14","0","70"
"469","14","0","70"
"470","14","0","70"
"471","21","0","70"
"472","14","0","70"
"473","14","0","70"
"474","14","0","70"
"475","14","0","70"
"476","14","0","70"
"477","14","0","70"
"478","14","0","70"
"479","14","0","70"
"480","14","0","70"
"481","14","0","70"
"482","21","0","70"
"483","21","0","70"
"484","14","0","70"
"485","21","0","70"
"486","14","0","70"
"487","21","0","70"
"488","21","0","70"
"489","21","0","70"
"490","21","0","70"
"491","21","0","70"
"492","21","0","70"
"493","21","0","70"
"494","21","0","70"
"495","21","0","70"
"496","21","0","70"
"497","14","0","70"
"498","21","0","70"
"499","21","0","70"
"500","21","0","70"
"501","21","0","70"
"502","21","0","70"
"503","21","0","70"
"504","14","0","70"
"505","21","0","70"
"506","21","0","70"
"507","21","0","70"
"508","14","0","70"
"509","21","0","70"
"510","14","0","70"
"511","14","0","70"
"512","7","0","70"
"513","21","0","70"
"514","21","0","70"
"515","14","0","70"
"516","21","0","70"
"517","14","0","70"
"518","14","0","70"
"519","14","0","70"
"520","14","0","70"
"521","14","0","70"
"522","21","0","70"
"523","14","0","70"
"524","14","0","70"
"525","21","0","70"
"526","21","0","70"
"527","14","0","70"
"528","7","0","70"
"529","14","0","70"
"530","14","0","70"
"531","21","0","70"
"532","28","0","70"
"533","14","0","70"
"534","7","0","70"
"535","14","0","70"
"536","14","0","70"
"537","21","0","70"
"538","14","0","70"
"539","14","0","70"
"540","14","0","70"
"541","14","0","70"
"542","14","0","70"
"543","21","0","70"
"544","14","0","70"
"545","14","0","70"
"546","21","0","70"
"547","14","0","70"
"548","14","0","70"
"549","14","0","70"
"550","14","0","70"
"551","21","0","70"
"552","14","0","70"
"553","14","0","70"
"554","21","0","70"
"555","14","0","70"
"556","14","0","70"
"557","21","0","70"
"558","21","0","70"
"559","21","0","70"
"560","21","0","70"
"561","21","0","70"
"562","21","0","70"
"563","14","0","70"
"564","28","0","70"
"565","21","0","70"
"566","28","0","70"
"567","21","0","70"
"568","21","0","70"
"569","14","0","70"
"570","28","0","70"
"571","21","0","70"
"572","21","0","70"
"573","21","0","70"
"574","21","0","70"
"575","14","0","70"
"576","21","0","70"
"577","21","0","70"
"578","21","0","70"
"579","28","0","70"
"580","21","0","70"
"581","14","0","70"
"582","28","0","70"
"583","21","0","70"
"584","21","0","70"
"585","21","0","70"
"586","21","0","70"
"587","21","0","70"
"588","21","0","70"
"589","21","0","70"
"590","21","0","70"
"591","14","0","70"
"592","35","0","70"
"593","21","0","70"
"594","21","0","70"
"595","21","0","70"
"596","21","0","70"
"597","21","0","70"
"598","28","0","70"
"599","21","0","70"
"600","21","0","70"
"601","21","0","70"
"602","21","0","70"
"603","21","0","70"
"604","21","0","70"
"605","21","0","70"
"606","21","0","70"
"607","21","0","70"
"608","21","0","70"
"609","28","0","70"
"610","21","0","70"
"611","28","0","70"
"612","28","0","70"
"613","21","0","70"
"614","21","0","70"
"615","28","0","70"
"616","21","0","70"
"617","21","0","70"
"618","28","0","70"
"619","21","0","70"
"620","21","0","70"
"621","21","0","70"
"622","28","0","70"
"623","21","0","70"
"624","14","0","70"
"625","21","0","70"
"626","21","0","70"
"627","21","0","70"
"628","21","0","70"
"629","21","0","70"
"630","21","0","70"
"631","21","0","70"
"632","21","0","70"
"633","21","0","70"
"634","21","0","70"
"635","21","0","70"
"636","21","0","70"
"637","21","0","70"
"638","28","0","70"
"639","21","0","70"
"640","21","0","70"
"641","21","0","70"
"642","21","0","70"
"643","21","0","70"
"644","21","0","70"
"645","21","0","70"
"646","21","0","70"
"647","21","0","70"
"648","21","0","70"
"649","21","0","70"
"650","21","0","70"
"651","21","0","70"
"652","21","0","70"
"653","21","0","70"
"654","21","0","70"
"655","21","0","70"
"656","21","0","70"
"657","21","0","70"
"658","21","0","70"
"659","21","0","70"
"660","21","0","70"
"661","28","0","70"
"662","21","0","70"
"663","28","0","70"
"664","28","0","70"
"665","28","0","70"
"666","28","0","70"
"667","28","0","70"
"668","28","0","70"
"669","28","0","70"
"670","28","0","70"
"671","35","0","70"
"672","21","0","70"
"673","28","0","70"
"674","21","0","70"
"675","21","0","70"
"676","21","0","70"
"677","21","0","70"
"678","21","0","70"
"679","21","0","70"
"680","21","0","70"
"681","21","0","70"
"682","28","0","70"
"683","21","0","70"
"684","21","0","70"
"685","28","0","70"
"686","21","0","70"
"687","28","0","70"
"688","21","0","70"
"689","28","0","70"
"690","21","0","70"
