"Step","env: CHICKENBANANA - ep_info/Objective","env: CHICKENBANANA - ep_info/Objective__MIN","env: CHICKENBANANA - ep_info/Objective__MAX"
"313","80","0","100"
"314","70","0","100"
"315","60","0","100"
"316","70","0","100"
"317","70","0","100"
"318","60","0","100"
"319","80","0","100"
"320","50","0","100"
"321","90","0","100"
"322","50","0","100"
"323","70","0","100"
"324","90","0","100"
"325","70","0","100"
"326","90","0","100"
"327","90","0","100"
"328","80","0","100"
"329","60","0","100"
"330","70","0","100"
"331","90","0","100"
"332","80","0","100"
"333","80","0","100"
"334","80","0","100"
"335","80","0","100"
"336","90","0","100"
"337","80","0","100"
"338","80","0","100"
"339","50","0","100"
"340","60","0","100"
"341","70","0","100"
"342","60","0","100"
"343","80","0","100"
"344","70","0","100"
"345","70","0","100"
"346","60","0","100"
"347","60","0","100"
"348","80","0","100"
"349","60","0","100"
"350","90","0","100"
"351","70","0","100"
"352","60","0","100"
"353","70","0","100"
"354","70","0","100"
"355","50","0","100"
"356","50","0","100"
"357","50","0","100"
"358","60","0","100"
"359","70","0","100"
"360","70","0","100"
"361","50","0","100"
"362","90","0","100"
"363","70","0","100"
"364","70","0","100"
"365","80","0","100"
"366","60","0","100"
"367","80","0","100"
"368","70","0","100"
"369","80","0","100"
"370","60","0","100"
"371","80","0","100"
"372","80","0","100"
"373","70","0","100"
"374","80","0","100"
"375","90","0","100"
"376","60","0","100"
"377","70","0","100"
"378","70","0","100"
"379","70","0","100"
"380","70","0","100"
"381","80","0","100"
"382","50","0","100"
"383","60","0","100"
"384","80","0","100"
"385","70","0","100"
"386","90","0","100"
"387","60","0","100"
"388","50","0","100"
"389","60","0","100"
"390","80","0","100"
"391","70","0","100"
"392","70","0","100"
"393","50","0","100"
"394","60","0","100"
"395","50","0","100"
"396","70","0","100"
"397","60","0","100"
"398","60","0","100"
"399","60","0","100"
"400","70","0","100"
"401","60","0","100"
"402","80","0","100"
"403","70","0","100"
"404","70","0","100"
"405","60","0","100"
"406","60","0","100"
"407","70","0","100"
"408","50","0","100"
"409","60","0","100"
"410","50","0","100"
"411","50","0","100"
"412","60","0","100"
"413","60","0","100"
"414","50","0","100"
"415","70","0","100"
"416","80","0","100"
"417","60","0","100"
"418","70","0","100"
"419","70","0","100"
"420","70","0","100"
"421","70","0","100"
"422","80","0","100"
"423","90","0","100"
"424","80","0","100"
"425","80","0","100"
"426","80","0","100"
"427","80","0","100"
"428","60","0","100"
"429","70","0","100"
"430","90","0","100"
"431","80","0","100"
"432","90","0","100"
"433","70","0","100"
"434","70","0","100"
"435","60","0","100"
"436","70","0","100"
"437","80","0","100"
"438","70","0","100"
"439","70","0","100"
"440","50","0","100"
"441","50","0","100"
"442","40","0","100"
