"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"1","7","0","70"
"2","14","0","70"
"3","14","0","70"
"4","14","0","70"
"5","7","0","70"
"6","7","0","70"
"7","28","0","70"
"8","0","0","0"
"9","28","0","70"
"10","14","0","70"
"11","7","0","70"
"12","7","0","70"
"13","7","0","70"
"14","7","0","70"
"15","7","0","70"
"16","7","0","70"
"17","7","0","70"
"18","7","0","70"
"19","7","0","70"
"20","35","0","70"
"21","14","0","70"
"22","7","0","70"
"23","21","0","70"
"24","7","0","70"
"25","7","0","70"
"26","28","0","70"
"27","7","0","70"
"28","7","0","70"
"29","14","0","70"
"30","14","0","70"
"31","21","0","70"
"32","14","0","70"
"33","21","0","70"
"34","7","0","70"
"35","14","0","70"
"36","21","0","70"
"37","7","0","70"
"38","14","0","70"
"39","14","0","70"
"40","21","0","70"
"41","7","0","70"
"42","21","0","70"
"43","7","0","70"
"44","7","0","70"
"45","7","0","70"
"46","7","0","70"
"47","14","0","70"
"48","7","0","70"
"49","21","0","70"
"50","14","0","70"
"51","7","0","70"
"52","7","0","70"
"53","14","0","70"
"54","14","0","70"
"55","0","0","0"
"56","14","0","70"
"57","7","0","70"
"58","0","0","0"
"59","14","0","70"
"60","7","0","70"
"61","7","0","70"
"62","14","0","70"
"63","0","0","0"
"64","14","0","70"
"65","21","0","70"
"66","21","0","70"
"67","7","0","70"
"68","14","0","70"
"69","7","0","70"
"70","14","0","70"
"71","14","0","70"
"72","7","0","70"
"73","7","0","70"
"74","7","0","70"
"75","0","0","0"
"76","7","0","70"
"77","7","0","70"
"78","7","0","70"
"79","7","0","70"
"80","14","0","70"
"81","21","0","70"
"82","14","0","70"
"83","7","0","70"
"84","14","0","70"
"85","14","0","70"
"86","0","0","0"
"87","7","0","70"
"88","14","0","70"
"89","7","0","70"
"90","7","0","70"
"91","7","0","70"
"92","7","0","70"
"93","14","0","70"
"94","0","0","0"
"95","7","0","70"
"96","7","0","70"
"97","14","0","70"
"98","7","0","70"
"99","7","0","70"
"100","0","0","0"
"101","14","0","70"
"102","7","0","70"
"103","14","0","70"
"104","0","0","0"
"105","21","0","70"
"106","7","0","70"
"107","0","0","0"
"108","21","0","70"
"109","7","0","70"
"110","14","0","70"
"111","0","0","0"
"112","7","0","70"
"113","7","0","70"
"114","14","0","70"
"115","14","0","70"
"116","0","0","0"
"117","0","0","0"
"118","7","0","70"
"119","14","0","70"
"120","7","0","70"
"121","7","0","70"
"122","7","0","70"
"123","7","0","70"
"124","14","0","70"
"125","7","0","70"
"126","7","0","70"
"127","7","0","70"
"128","14","0","70"
"129","28","0","70"
"130","14","0","70"
"131","21","0","70"
"132","7","0","70"
"133","7","0","70"
"134","0","0","0"
"135","7","0","70"
"136","7","0","70"
"137","7","0","70"
"138","14","0","70"
"139","21","0","70"
"140","0","0","0"
"141","14","0","70"
"142","7","0","70"
"143","14","0","70"
"144","14","0","70"
"145","14","0","70"
"146","7","0","70"
"147","21","0","70"
"148","0","0","0"
"149","21","0","70"
"150","0","0","0"
"151","7","0","70"
"152","7","0","70"
"153","21","0","70"
"154","7","0","70"
"155","7","0","70"
"156","7","0","70"
"157","7","0","70"
"158","14","0","70"
"159","7","0","70"
"160","14","0","70"
"161","7","0","70"
"162","21","0","70"
"163","14","0","70"
"164","7","0","70"
"165","14","0","70"
"166","7","0","70"
"167","14","0","70"
"168","7","0","70"
"169","21","0","70"
"170","7","0","70"
"171","7","0","70"
"172","21","0","70"
"173","14","0","70"
