"Step","env: CHICKENBANANA - ep_info/Banana","env: CHICKENBANANA - ep_info/Banana__MIN","env: CHICKENBANANA - ep_info/Banana__MAX"
"272","27.75","0","30"
"273","27","0","30"
"274","28.5","0","30"
"275","27.75","0","30"
"276","26.25","0","30"
"277","28.5","0","30"
"278","25.5","0","30"
"279","26.25","0","30"
"280","25.5","0","30"
"281","26.25","0","30"
"282","26.25","0","30"
"283","26.25","0","30"
"284","27.75","0","30"
"285","27","0","30"
"286","25.5","0","30"
"287","25.5","0","30"
"288","24.75","0","30"
"289","25.5","0","30"
"290","24.75","0","30"
"291","26.25","0","30"
"292","26.25","0","30"
"293","25.5","0","30"
"294","24","0","30"
"295","24","0","30"
"296","24.75","0","30"
"297","24","0","30"
"298","27.75","0","30"
"299","25.5","0","30"
"300","25.5","0","30"
"301","24.75","0","30"
"302","27","0","30"
"303","26.25","0","30"
"304","25.5","0","30"
"305","24","0","30"
"306","26.25","0","30"
"307","24.75","0","30"
"308","23.25","0","30"
"309","25.5","0","30"
"310","26.25","0","30"
"311","25.5","0","30"
"312","25.5","0","30"
"313","26.25","0","30"
"314","24","0","30"
"315","26.25","0","30"
"316","25.5","0","30"
"317","26.25","0","30"
"318","26.25","0","30"
"319","24","0","30"
"320","24","0","30"
"321","25.5","0","30"
"322","25.5","0","30"
"323","26.25","0","30"
"324","26.25","0","30"
"325","27","0","30"
"326","27.75","0","30"
"327","26.25","0","30"
"328","27","0","30"
"329","27","0","30"
"330","27","0","30"
"331","27","0","30"
"332","24.75","0","30"
"333","25.5","0","30"
"334","27","0","30"
"335","24.75","0","30"
"336","27","0","30"
"337","26.25","0","30"
"338","27.75","0","30"
"339","26.25","0","30"
"340","24.75","0","30"
"341","26.25","0","30"
"342","26.25","0","30"
"343","27","0","30"
"344","26.25","0","30"
"345","24.75","0","30"
"346","25.5","0","30"
"347","24.75","0","30"
"348","24","0","30"
"349","25.5","0","30"
"350","25.5","0","30"
"351","27","0","30"
"352","26.25","0","30"
"353","27","0","30"
"354","25.5","0","30"
"355","26.25","0","30"
"356","24.75","0","30"
