"Step","env: CHICKENBANANA - ep_info/Chicken","env: CHICKENBANANA - ep_info/Chicken__MIN","env: CHICKENBANANA - ep_info/Chicken__MAX"
"313","21","0","70"
"314","14","0","70"
"315","7","0","70"
"316","7","0","70"
"317","7","0","70"
"318","0","0","0"
"319","7","0","70"
"320","14","0","70"
"321","14","0","70"
"322","7","0","70"
"323","14","0","70"
"324","14","0","70"
"325","7","0","70"
"326","7","0","70"
"327","7","0","70"
"328","21","0","70"
"329","14","0","70"
"330","7","0","70"
"331","14","0","70"
"332","14","0","70"
"333","7","0","70"
"334","7","0","70"
"335","7","0","70"
"336","14","0","70"
"337","7","0","70"
"338","7","0","70"
"339","7","0","70"
"340","14","0","70"
"341","14","0","70"
"342","7","0","70"
"343","14","0","70"
"344","14","0","70"
"345","28","0","70"
"346","21","0","70"
"347","7","0","70"
"348","7","0","70"
"349","7","0","70"
"350","7","0","70"
"351","14","0","70"
"352","14","0","70"
"353","7","0","70"
"354","7","0","70"
"355","7","0","70"
"356","7","0","70"
"357","21","0","70"
"358","7","0","70"
"359","28","0","70"
"360","14","0","70"
"361","14","0","70"
"362","0","0","0"
"363","14","0","70"
"364","14","0","70"
"365","7","0","70"
"366","7","0","70"
"367","7","0","70"
"368","14","0","70"
"369","7","0","70"
"370","14","0","70"
"371","7","0","70"
"372","14","0","70"
"373","14","0","70"
"374","7","0","70"
"375","7","0","70"
"376","7","0","70"
"377","7","0","70"
"378","7","0","70"
"379","21","0","70"
"380","14","0","70"
"381","21","0","70"
"382","7","0","70"
"383","21","0","70"
"384","7","0","70"
"385","14","0","70"
"386","7","0","70"
"387","7","0","70"
"388","7","0","70"
"389","14","0","70"
"390","7","0","70"
"391","7","0","70"
"392","14","0","70"
"393","7","0","70"
"394","7","0","70"
"395","7","0","70"
"396","7","0","70"
"397","7","0","70"
"398","7","0","70"
"399","0","0","0"
"400","7","0","70"
"401","7","0","70"
"402","7","0","70"
"403","7","0","70"
"404","7","0","70"
"405","14","0","70"
"406","0","0","0"
"407","7","0","70"
"408","7","0","70"
"409","7","0","70"
"410","21","0","70"
"411","21","0","70"
"412","14","0","70"
"413","7","0","70"
"414","7","0","70"
"415","7","0","70"
"416","7","0","70"
"417","7","0","70"
"418","14","0","70"
"419","14","0","70"
"420","14","0","70"
"421","14","0","70"
"422","21","0","70"
"423","7","0","70"
"424","14","0","70"
"425","14","0","70"
"426","14","0","70"
"427","7","0","70"
"428","7","0","70"
"429","7","0","70"
"430","7","0","70"
"431","21","0","70"
"432","14","0","70"
"433","28","0","70"
"434","14","0","70"
"435","21","0","70"
"436","21","0","70"
"437","14","0","70"
"438","21","0","70"
"439","7","0","70"
"440","21","0","70"
"441","14","0","70"
"442","28","0","70"
"443","28","0","70"
"444","21","0","70"
"445","14","0","70"
"446","14","0","70"
"447","14","0","70"
"448","7","0","70"
"449","14","0","70"
"450","21","0","70"
"451","21","0","70"
"452","14","0","70"
"453","14","0","70"
"454","14","0","70"
"455","14","0","70"
"456","14","0","70"
"457","14","0","70"
"458","7","0","70"
"459","14","0","70"
"460","14","0","70"
"461","21","0","70"
"462","28","0","70"
"463","14","0","70"
"464","14","0","70"
"465","7","0","70"
"466","14","0","70"
"467","14","0","70"
"468","14","0","70"
"469","14","0","70"
"470","14","0","70"
"471","7","0","70"
"472","7","0","70"
"473","7","0","70"
"474","14","0","70"
"475","14","0","70"
"476","14","0","70"
"477","7","0","70"
"478","7","0","70"
"479","7","0","70"
"480","7","0","70"
"481","7","0","70"
"482","7","0","70"
"483","28","0","70"
"484","14","0","70"
"485","7","0","70"
"486","7","0","70"
"487","7","0","70"
"488","7","0","70"
"489","7","0","70"
"490","7","0","70"
"491","7","0","70"
"492","7","0","70"
"493","7","0","70"
"494","14","0","70"
"495","14","0","70"
"496","14","0","70"
"497","14","0","70"
"498","7","0","70"
"499","7","0","70"
"500","7","0","70"
"501","14","0","70"
"502","21","0","70"
"503","21","0","70"
"504","14","0","70"
"505","14","0","70"
"506","14","0","70"
"507","7","0","70"
"508","14","0","70"
"509","7","0","70"
"510","7","0","70"
"511","7","0","70"
"512","7","0","70"
"513","7","0","70"
"514","14","0","70"
"515","21","0","70"
"516","7","0","70"
"517","21","0","70"
"518","14","0","70"
"519","14","0","70"
"520","7","0","70"
"521","14","0","70"
"522","14","0","70"
"523","7","0","70"
"524","7","0","70"
"525","7","0","70"
"526","7","0","70"
"527","7","0","70"
"528","7","0","70"
"529","7","0","70"
"530","7","0","70"
"531","14","0","70"
"532","14","0","70"
"533","7","0","70"
"534","14","0","70"
"535","14","0","70"
"536","14","0","70"
"537","21","0","70"
"538","7","0","70"
"539","28","0","70"
"540","28","0","70"
"541","21","0","70"
"542","28","0","70"
"543","21","0","70"
"544","21","0","70"
"545","21","0","70"
"546","14","0","70"
"547","7","0","70"
"548","7","0","70"
"549","7","0","70"
"550","7","0","70"
"551","14","0","70"
"552","7","0","70"
"553","21","0","70"
"554","21","0","70"
"555","21","0","70"
"556","14","0","70"
"557","14","0","70"
"558","14","0","70"
"559","14","0","70"
"560","21","0","70"
"561","28","0","70"
"562","21","0","70"
"563","21","0","70"
"564","14","0","70"
"565","21","0","70"
"566","21","0","70"
"567","21","0","70"
"568","28","0","70"
"569","28","0","70"
"570","28","0","70"
"571","28","0","70"
"572","14","0","70"
"573","21","0","70"
"574","28","0","70"
"575","14","0","70"
"576","14","0","70"
"577","14","0","70"
"578","14","0","70"
"579","14","0","70"
"580","14","0","70"
"581","14","0","70"
"582","21","0","70"
"583","14","0","70"
"584","7","0","70"
"585","7","0","70"
"586","21","0","70"
"587","14","0","70"
"588","14","0","70"
"589","21","0","70"
"590","14","0","70"
"591","14","0","70"
"592","14","0","70"
"593","14","0","70"
"594","21","0","70"
"595","14","0","70"
"596","14","0","70"
"597","28","0","70"
"598","21","0","70"
"599","21","0","70"
"600","14","0","70"
"601","14","0","70"
"602","7","0","70"
"603","14","0","70"
"604","21","0","70"
"605","14","0","70"
"606","14","0","70"
"607","14","0","70"
"608","14","0","70"
"609","14","0","70"
"610","21","0","70"
"611","7","0","70"
"612","21","0","70"
"613","7","0","70"
"614","21","0","70"
"615","21","0","70"
"616","21","0","70"
"617","21","0","70"
"618","21","0","70"
"619","21","0","70"
"620","14","0","70"
"621","21","0","70"
"622","28","0","70"
"623","28","0","70"
"624","28","0","70"
"625","21","0","70"
"626","21","0","70"
"627","21","0","70"
"628","28","0","70"
"629","28","0","70"
"630","21","0","70"
"631","28","0","70"
"632","28","0","70"
"633","28","0","70"
"634","28","0","70"
"635","21","0","70"
"636","21","0","70"
"637","35","0","70"
"638","21","0","70"
"639","28","0","70"
"640","35","0","70"
"641","28","0","70"
"642","28","0","70"
"643","28","0","70"
"644","35","0","70"
"645","28","0","70"
"646","21","0","70"
"647","28","0","70"
"648","28","0","70"
"649","14","0","70"
"650","28","0","70"
"651","28","0","70"
"652","28","0","70"
"653","28","0","70"
"654","28","0","70"
"655","28","0","70"
"656","28","0","70"
"657","28","0","70"
"658","28","0","70"
"659","28","0","70"
"660","28","0","70"
"661","28","0","70"
"662","28","0","70"
"663","28","0","70"
"664","28","0","70"
"665","35","0","70"
"666","28","0","70"
"667","21","0","70"
"668","21","0","70"
"669","21","0","70"
"670","14","0","70"
"671","7","0","70"
"672","7","0","70"
"673","7","0","70"
"674","7","0","70"
"675","14","0","70"
"676","14","0","70"
"677","7","0","70"
"678","14","0","70"
"679","14","0","70"
"680","21","0","70"
"681","21","0","70"
"682","21","0","70"
