_step,ep_info/Goal,seed
1199,0,1779063847
7422,0,1779063847
7447,0,1779063847
10541,0,1779063847
11193,0,1779063847
12893,0,1779063847
13693,0,1779063847
17193,0,1779063847
17822,0,1779063847
18459,0,1779063847
21456,0,1779063847
23510,0,1779063847
25210,0,1779063847
27260,0,1779063847
28598,0,1779063847
30034,0,1779063847
30523,0,1779063847
32148,0,1779063847
32198,0,1779063847
33432,0,1779063847
35429,0,1779063847
36589,0,1779063847
38673,0,1779063847
38785,0,1779063847
39473,0,1779063847
46206,0,1779063847
46431,1,1779063847
47058,1,1779063847
47469,-1,1779063847
47908,-1,1779063847
48224,-1,1779063847
49814,0,1779063847
50257,0,1779063847
50340,-1,1779063847
50498,-1,1779063847
52013,-1,1779063847
52187,0,1779063847
52678,0,1779063847
54301,0,1779063847
55499,0,1779063847
55899,0,1779063847
56240,0,1779063847
57337,0,1779063847
57936,1,1779063847
58109,0,1779063847
60433,1,1779063847
68082,1,1779063847
68590,0,1779063847
71597,0,1779063847
72780,0,1779063847
73595,0,1779063847
73937,0,1779063847
75772,0,1779063847
76236,0,1779063847
76313,1,1779063847
76508,-1,1779063847
77848,0,1779063847
80677,1,1779063847
81997,0,1779063847
86248,1,1779063847
87135,0,1779063847
90355,0,1779063847
92573,0,1779063847
92839,0,1779063847
94109,1,1779063847
94267,1,1779063847
94598,0,1779063847
99727,1,1779063847
99837,-1,1779063847
102535,0,1779063847
102932,1,1779063847
103024,0,1779063847
104569,0,1779063847
105557,1,1779063847
105893,0,1779063847
106035,0,1779063847
107035,1,1779063847
107125,1,1779063847
111274,0,1779063847
113331,1,1779063847
113976,0,1779063847
114875,1,1779063847
116457,0,1779063847
118113,1,1779063847
121427,0,1779063847
122622,1,1779063847
123100,0,1779063847
124293,1,1779063847
124328,0,1779063847
124780,0,1779063847
125107,1,1779063847
126091,0,1779063847
126849,0,1779063847
129486,0,1779063847
130175,0,1779063847
131275,-1,1779063847
131296,1,1779063847
133066,1,1779063847
136368,0,1779063847
136555,1,1779063847
136768,0,1779063847
137424,1,1779063847
140088,0,1779063847
145250,0,1779063847
146442,0,1779063847
149812,-1,1779063847
152823,1,1779063847
154395,0,1779063847
154885,0,1779063847
155442,1,1779063847
155671,1,1779063847
156835,1,1779063847
157764,0,1779063847
159185,1,1779063847
160012,-1,1779063847
160110,0,1779063847
164626,0,1779063847
165505,1,1779063847
165874,1,1779063847
166848,1,1779063847
171128,1,1779063847
173806,1,1779063847
173842,1,1779063847
176163,0,1779063847
176759,0,1779063847
176768,1,1779063847
177373,1,1779063847
177777,1,1779063847
178551,0,1779063847
180363,0,1779063847
180591,0,1779063847
181493,-1,1779063847
183135,-1,1779063847
186172,-1,1779063847
186674,-1,1779063847
187639,0,1779063847
187720,0,1779063847
190368,0,1779063847
191719,1,1779063847
193970,1,1779063847
194776,1,1779063847
195553,1,1779063847
197437,1,1779063847
197735,0,1779063847
200230,1,1779063847
201069,1,1779063847
201094,1,1779063847
202242,1,1779063847
202803,1,1779063847
203832,1,1779063847
204057,0,1779063847
204526,1,1779063847
205371,1,1779063847
206194,1,1779063847
210589,0,1779063847
212227,1,1779063847
214112,0,1779063847
214206,1,1779063847
214259,0,1779063847
215101,0,1779063847
216106,1,1779063847
216547,0,1779063847
216848,0,1779063847
217047,0,1779063847
217093,1,1779063847
217554,1,1779063847
217612,1,1779063847
218574,1,1779063847
219143,1,1779063847
220508,1,1779063847
220998,0,1779063847
221018,0,1779063847
221702,1,1779063847
222092,1,1779063847
223585,0,1779063847
224041,1,1779063847
224676,1,1779063847
224687,1,1779063847
224792,1,1779063847
225795,1,1779063847
227233,1,1779063847
228841,1,1779063847
229948,0,1779063847
230337,1,1779063847
230460,1,1779063847
231873,1,1779063847
233548,0,1779063847
233651,1,1779063847
234663,1,1779063847
236702,1,1779063847
236959,1,1779063847
237708,0,1779063847
237900,1,1779063847
239651,1,1779063847
239753,1,1779063847
240233,1,1779063847
240956,0,1779063847
241070,1,1779063847
241385,0,1779063847
242356,0,1779063847
243036,1,1779063847
243303,0,1779063847
243441,1,1779063847
247259,1,1779063847
247319,1,1779063847
247867,1,1779063847
249188,0,1779063847
251639,0,1779063847
251804,1,1779063847
252679,0,1779063847
252782,0,1779063847
254181,1,1779063847
254223,1,1779063847
256017,1,1779063847
256192,1,1779063847
258089,0,1779063847
260311,1,1779063847
260646,1,1779063847
262585,1,1779063847
263453,0,1779063847
264203,0,1779063847
269803,1,1779063847
269897,1,1779063847
270114,0,1779063847
270301,0,1779063847
271660,1,1779063847
271696,1,1779063847
272154,0,1779063847
273746,1,1779063847
273911,1,1779063847
274239,1,1779063847
274409,1,1779063847
275163,1,1779063847
275655,1,1779063847
276012,1,1779063847
277455,1,1779063847
279480,0,1779063847
279779,0,1779063847
280419,1,1779063847
280511,1,1779063847
283039,0,1779063847
284381,1,1779063847
284938,1,1779063847
285030,1,1779063847
286717,1,1779063847
287735,1,1779063847
288523,1,1779063847
290435,1,1779063847
291886,0,1779063847
297301,1,1779063847
297356,0,1779063847
298281,1,1779063847
298369,0,1779063847
298983,1,1779063847
300628,1,1779063847
300642,1,1779063847
301369,0,1779063847
304113,1,1779063847
304119,0,1779063847
304513,0,1779063847
304642,1,1779063847
305575,1,1779063847
305717,1,1779063847
307823,1,1779063847
309158,1,1779063847
310109,1,1779063847
310189,1,1779063847
311374,0,1779063847
311448,1,1779063847
313115,0,1779063847
315462,1,1779063847
317309,0,1779063847
318473,1,1779063847
320380,1,1779063847
320990,1,1779063847
321029,1,1779063847
321764,0,1779063847
323287,1,1779063847
324129,0,1779063847
325495,1,1779063847
327494,0,1779063847
327591,0,1779063847
327646,1,1779063847
328224,0,1779063847
329979,1,1779063847
330783,1,1779063847
331470,1,1779063847
332721,1,1779063847
333791,1,1779063847
334499,1,1779063847
335068,1,1779063847
335394,0,1779063847
335577,1,1779063847
336755,-1,1779063847
338141,1,1779063847
338389,0,1779063847
339165,1,1779063847
340625,1,1779063847
340999,1,1779063847
341864,1,1779063847
341934,1,1779063847
342382,1,1779063847
343087,-1,1779063847
344410,1,1779063847
344427,0,1779063847
344850,1,1779063847
346140,1,1779063847
346740,1,1779063847
346965,1,1779063847
347135,1,1779063847
347420,1,1779063847
348079,1,1779063847
348819,1,1779063847
349078,1,1779063847
351481,1,1779063847
352653,1,1779063847
353103,1,1779063847
353539,1,1779063847
353669,0,1779063847
354023,1,1779063847
357220,1,1779063847
357460,1,1779063847
358631,1,1779063847
358820,1,1779063847
359736,1,1779063847
360401,1,1779063847
360492,0,1779063847
361022,1,1779063847
361821,1,1779063847
