"Step","env: VSSEF - ep_info/Goal","env: VSSEF - ep_info/Goal__MIN","env: VSSEF - ep_info/Goal__MAX"
"10717","0","0","0"
"10754","0","0","0"
"10811","0","0","0"
"10837","0","0","0"
"10895","0","0","0"
"10900","0","0","0"
"10901","0","0","0"
"10917","0","0","0"
"10945","0","0","0"
"10969","0","0","0"
"10985","0","0","0"
"10996","0","0","0"
"11013","0","0","0"
"11035","0","0","0"
"11036","0","0","0"
"11048","0","0","0"
"11061","0","0","0"
"11132","0","0","0"
"11150","0","0","0"
"11177","0","0","0"
"11179","0","0","0"
"11187","0","0","0"
"11190","0","0","0"
"11199","0","0","0"
"11211","0","0","0"
"11237","0","0","0"
"11243","0","0","0"
"11281","0","0","0"
"11296","0","0","0"
"11303","0","0","0"
"11317","0","0","0"
"11369","0","0","0"
"11403","0","0","0"
"11448","-1","-1","-1"
"11473","0","0","0"
"11515","0","0","0"
"11554","0","0","0"
"11559","0","0","0"
"11579","0","0","0"
"11682","0","0","0"
"11695","0","0","0"
"11701","0","0","0"
"11714","0","0","0"
"11769","0","0","0"
"11778","-1","-1","-1"
"11785","0","0","0"
"11820","0","0","0"
"11835","0","0","0"
"11891","0","0","0"
"11905","0","0","0"
"11915","0","0","0"
"11950","0","0","0"
"12049","0","0","0"
"12081","0","0","0"
"12101","0","0","0"
"12123","0","0","0"
"12146","0","0","0"
"12172","0","0","0"
"12203","0","0","0"
"12213","0","0","0"
"12223","0","0","0"
"12236","0","0","0"
"12248","0","0","0"
"12252","-0.5","-1","0"
"12263","1","1","1"
"12270","0","0","0"
"12300","0","0","0"
"12317","0","0","0"
"12332","0","0","0"
"12354","0","0","0"
"12393","0","0","0"
"12412","0","0","0"
"12436","0","0","0"
"12437","0","0","0"
"12472","0","0","0"
"12491","0","0","0"
"12501","0","0","0"
"12594","0","0","0"
"12601","0","0","0"
"12613","0","0","0"
"12623","0","0","0"
"12638","0","0","0"
"12652","0","0","0"
"12662","0","0","0"
"12727","0","0","0"
"12733","0","0","0"
"12750","0","0","0"
"12759","0","0","0"
"12761","0","0","0"
"12767","0","0","0"
"12773","0","0","0"
"12782","0","0","0"
"12784","0","0","0"
