"objective_1","objective_2"
"26.60754003516946","-11.997852477278276"
"679.3252903823857","-29.374641178998264"
"725.7466241543705","-31.131425062346217"
"727.546644716023","-32.34591014507769"
"729.445254538476","-32.83404782227954"
"738.5296886251424","-33.38170554908079"
"739.4439965373488","-33.865247400828274"
"764.7485181164753","-34.129213895408796"
"766.7362893586396","-34.59350122088681"
"771.2703294469044","-34.78535504034166"
"767.8223136551212","-34.73404046008568"
"780.3413700152189","-35.10811450473354"
