"Step","env: HALFCHEETAH - ep_info/Final_position","env: HALFCHEETAH - ep_info/Final_position__MIN","env: HALFCHEETAH - ep_info/Final_position__MAX"
"999","-8.643339708164444","-12.661652181766712","-2.739102141904653"
"1999","-2.891496090912232","-9.026274765436733","4.265098180923952"
"2999","-2.31505216745231","-7.223335294886201","2.85691395598963"
"3999","-4.597530874947832","-11.890011910836817","2.4719843150391836"
"4999","-5.725680279941248","-8.981497079189053","-2.72123867723901"
"5999","-4.446632937558652","-6.602615230448768","0.37969791853684987"
"6999","-4.431863463733018","-10.219172339379657","-2.1551895575919464"
"7999","-5.339870746129564","-14.397251034693838","1.009774545945745"
"8999","-2.5267165850744187","-6.647389431100633","3.9088118839385166"
"9999","-1.3193978371375206","-4.8228990371027844","1.4904080291414972"
"10999","-4.8215737572152495","-8.326695467042239","-1.226219195525682"
"11999","-0.7698187303940554","-3.0091424759975016","1.6204174667057327"
"12999","1.1809674522244005","0.1354464317992762","3.4275552210189644"
"13999","1.2146797602008628","0.5844709249469738","1.7315358257629727"
"14999","1.4991386319085558","0.860806256933968","1.8942243879300176"
"15999","1.9831823060922287","1.5126755151989788","2.5929116879788063"
"16999","2.8707112479220935","2.0805353157707756","3.9373881983210546"
"17999","5.397319932052262","2.306561492499629","9.112990140399"
"18999","15.042209956010364","3.0802057792207087","27.345833933253783"
"19999","27.171574667615925","7.336842860490298","41.47857768166724"
"20999","27.82677375873994","6.5326695050514605","52.97833060791356"
"21999","30.510454818316667","2.384884415116219","61.524802281486686"
"22999","33.815208403117936","1.2116358359569286","46.954198389131314"
"23999","43.63014643147809","1.1858489070921585","71.6955614077405"
"24999","21.915810894756074","1.5604844627481416","46.54938733951366"
"25999","28.953675697472953","1.4046828015919155","81.59682694916442"
"26999","37.84904795689697","2.2865867533159316","83.97182453777165"
"27999","56.065884447309315","4.214544949774532","92.68027639151164"
"28999","54.52311006742134","2.484922647725922","97.97944884663562"
"29999","64.9883519483838","3.928010478851694","108.06286122444524"
"30999","79.2090965122046","8.406221714540349","116.42922191088002"
"31999","96.29031336198763","74.20161163897609","119.24962358254459"
"32999","104.1032828965663","79.1017558149226","126.85400069567412"
"33999","107.98238239726183","81.4014914988628","128.4254919551696"
"34999","116.13455592335148","95.75300134932596","134.8306230121111"
"35999","121.80298824236749","104.71391754330627","136.2426372306608"
"36999","129.35658879228282","113.67893857347926","143.142168700086"
"37999","132.73355709265954","119.40764666401145","144.8149491106514"
"38999","139.3092130873897","127.0894789965958","149.12380290387975"
"39999","143.87785812743198","129.2783609148394","155.22850633544508"
"40999","147.39498220597176","136.8714069930156","156.8078164676791"
"41999","152.01765571704732","141.02430404937812","161.98657358084557"
"42999","153.95991084691528","147.469379471274","163.2965848083133"
"43999","155.5158833373659","146.83146035886818","165.55547625811158"
"44999","158.55375197598335","150.1549249279934","167.29825153693136"
"45999","162.00349951427268","155.33087364882195","167.38186688973298"
"46999","151.49707129486734","99.21374840820108","169.63783116608198"
"47999","163.18821141378424","156.186462224155","170.2723468280149"
"48999","164.96391744769412","156.19907363797654","170.52226103433546"
"49999","156.11727959717155","106.50319989084602","172.30022655546912"
"50999","167.7965673941581","158.26759070045028","175.35239226635082"
"51999","168.85447314378925","156.60256606623878","179.66141883912604"
"52999","170.53040593744987","159.22739496007608","179.8873353371912"
"53999","170.99554300719734","161.5236816436174","178.93872667688285"
"54999","173.12356308391747","157.9187388820646","179.6279258369282"
"55999","175.66586007631864","161.35707404100472","185.07822630837177"
"56999","174.96963825938388","165.2075448494437","180.86617508871592"
"57999","176.65676067511424","164.00654787135147","182.88463094535354"
"58999","178.40150109292478","167.1717599527851","185.9573814839236"
"59999","179.59890946125273","162.49251552240133","190.44493641903722"
"60999","181.62505051783077","169.13859004414067","191.12016539830068"
"61999","181.57737780963606","169.41678766948758","189.20941180061132"
"62999","183.88352898757262","171.84497616103297","195.4984253402914"
"63999","185.68828062136254","171.76421258677","196.88650930985764"
"64999","185.7347035048885","172.12464939676073","195.79129441025253"
"65999","187.09859751431236","168.395500279883","199.2625257754637"
"66999","190.55840915966246","173.4365905123697","204.09974874474298"
"67999","190.274031955643","173.55530384039307","202.84796413421975"
"68999","191.57890673913067","171.67749730717244","207.62646212823103"
"69999","193.01093158350847","174.74514932271472","211.2075072340507"
"70999","196.28347673760155","175.85511009168513","216.1476368980151"
"71999","198.73560085123512","176.18178623016178","223.8198374202035"
"72999","198.7474042963882","177.67774478337432","221.26480127284057"
"73999","201.1783142254531","181.3443066866492","224.04047159038237"
"74999","206.47065256212855","182.6561139763097","236.23162460902"
"75999","208.47864954836172","185.31040638344436","233.19767856718826"
"76999","210.0380428879611","187.9749249767057","230.54246904944588"
"77999","213.9547614527427","195.7485472684337","232.3978357442351"
"78999","215.24418837390976","194.721226010802","237.7279973948777"
"79999","217.52040338232996","197.71573486749557","242.18143908355984"
"80999","219.945159113622","197.5168612668376","243.0421212974842"
"81999","221.84090407659465","196.36493170737077","251.06443541696459"
"82999","225.9315719412863","203.9406592337434","256.1228237314239"
"83999","226.13731968489742","202.8914738513637","252.10878190311269"
"84999","230.40616246162958","202.81594259216862","261.4184860517907"
"85999","234.44460741092766","203.93027694761903","268.46735817357717"
"86999","234.87769938747678","206.45140835361877","262.37147116077887"
"87999","236.5747734602857","209.43635576155967","269.5348780890165"
"88999","238.40381659059284","211.946864029582","269.2163191048244"
"89999","239.79126317109635","209.9670044614086","274.85395163693846"
"90999","241.51671151244827","212.41999145040813","280.2031095690811"
"91999","242.72515163787529","213.62790407697867","277.279320419057"
"92999","246.86614093811949","216.32734587051127","281.7149042545744"
"93999","247.36429645215176","213.25363879065893","282.53080006775866"
"94999","247.47537329606877","213.2444606721705","279.29612990166714"
"95999","250.6662109857325","216.77070244906162","282.2291909042634"
"96999","252.21624201012042","217.23933733134857","280.77227838444793"
"97999","252.89199272279552","219.6676071809847","288.9517762227486"
"98999","256.22933937592745","216.04826729894887","284.85853258189286"
"99999","255.04019795871278","213.72666771905673","284.4453022870247"
"100999","259.35472639585686","220.2969674277406","286.2961378794679"
"101999","260.0607994491907","220.571409891306","285.38667120472303"
"102999","259.02005766753575","218.46528114891277","291.4513009396207"
"103999","263.7412943958688","219.63952588201468","291.3958576179473"
"104999","264.5225700524071","222.99781692974577","290.24813846722327"
"105999","267.66487363942446","226.10180395308925","296.3598651026611"
"106999","265.4834348378867","223.23062227043266","289.62612873660925"
"107999","269.7203855871178","231.47170918145216","302.71367362789414"
"108999","268.2447036014205","232.42651833328887","297.2594222029275"
"109999","270.69643191484624","228.09524039948207","304.1680413145356"
"110999","219.94528542818233","11.203461099927518","309.5232545272288"
"111999","189.6119291570223","0.09988632625695944","310.25190827659986"
"112999","218.28952534416098","0.7237358090846832","302.39460837003764"
"113999","218.68673891318736","-2.7052661201366353","314.7241706558776"
"114999","221.22275636989102","-0.6456769269013063","314.65569887146313"
"115999","223.4104518170444","15.112224977042652","322.97037486501057"
"116999","225.4841982262125","4.207826052805023","321.3274630165401"
"117999","222.3795363596683","4.5252101089559345","317.44898109689626"
"118999","225.10442189658698","12.107825973521212","315.7994654413301"
"119999","230.92010740376728","32.66973707119917","324.28357815766685"
"120999","240.28732823069353","72.26875804561848","328.8696953488724"
"121999","240.8657436722311","56.572735767734315","327.4476827183207"
"122999","266.64659863817116","195.84919924042737","326.55951343862097"
"123999","238.3190581030477","36.28808472541781","322.3168339972805"
"124999","286.23190911249003","251.0718892406137","333.49503822997985"
"125999","268.7930770797156","163.78220086663637","331.90360737374823"
"126999","288.7021474475511","243.5800238225357","332.92445259568785"
"127999","290.81715977361563","248.86255438949016","335.11825239981346"
"128999","288.14396412624944","254.15455634392862","327.5142441011873"
"129999","294.773861056442","257.74834272197904","335.02698968496895"
"130999","293.82389162148746","266.0638702696895","336.7778062859794"
"131999","293.9629517551367","265.2995297090325","330.5216177084941"
"132999","294.79747087755277","265.5352173879048","336.0758364802208"
"133999","298.2557367486952","270.0435308789035","335.37995125330264"
"134999","298.9047120035601","262.98014756386885","344.6603489075441"
"135999","293.0968660075091","247.93183261960732","337.8032385534795"
"136999","299.3056638381013","270.00909632537287","337.809479113508"
"137999","303.3810247027608","277.737522116053","340.1015876453667"
"138999","302.83846285347084","280.35319062203166","337.3276971139547"
"139999","307.27114156834995","282.52428227509705","343.7813799015047"
"140999","304.167038335086","276.8226786552765","350.4527505929433"
"141999","305.1310853328292","279.7005922392624","343.22962955284083"
"142999","309.28633615015303","281.6954986397519","344.1477748398544"
"143999","307.9541592657217","278.4305256750522","339.6290109429144"
"144999","309.79025049583294","287.49073975206545","343.80035771059573"
"145999","314.25843146630876","281.8964983276884","349.1165673610509"
"146999","311.42371605515757","290.19770958141237","349.71204970910213"
"147999","315.981033431251","296.1531787157776","350.18671841714126"
"148999","312.7657314252989","297.64933736174333","347.8231485266379"
"149999","315.4809769656675","290.2593197098011","352.09807569804235"
"150999","315.820431541038","298.74603398435033","344.15951567003185"
"151999","314.98771482889754","297.70367858872964","341.9974953621288"
"152999","318.0298635658277","303.9987700885319","348.9083330339509"
"153999","316.7694623451101","291.811256365766","352.47726146486343"
"154999","315.8819277123604","291.6513291105198","347.2302857340701"
"155999","321.418271337892","304.36713300354785","349.87770696529594"
"156999","319.2348517837393","299.9284663251222","349.1916239863589"
"157999","323.13726090776794","303.2422166651624","341.21969617170436"
"158999","323.0567775197824","304.85530817925076","351.4729441139217"
"159999","327.36570251738596","311.58116527995577","352.8113233075824"
"160999","324.01469491018486","308.08032044500396","353.5373260701634"
"161999","323.6024591522363","302.7453624623374","349.35385045016005"
"162999","322.77363742831915","298.45867409109354","349.2118502185274"
"163999","263.6535265793203","-0.34180471213465796","340.9640175580899"
"164999","328.1131148950957","317.4304367765976","350.90900720945723"
"165999","332.20297279808125","321.4144865782764","354.4502665935823"
"166999","266.4411566267828","-2.698884132401873","352.12545422462665"
"167999","331.06167732105087","314.4525768855961","350.994667014931"
"168999","322.3999224927975","284.0120179961221","344.2422239268218"
"169999","309.7894183346629","246.35012852769628","338.0460608336402"
"170999","269.8662560706511","6.514560881785829","357.0930746012093"
"171999","266.71814152795685","1.399668237024392","342.3627812464128"
"172999","270.00812666892205","0.7333942694345945","345.6082976835932"
"173999","268.8412676091592","-0.07737417909867297","349.37190706610676"
"174999","269.7816277456092","-1.652436443583259","351.41303506447696"
"175999","269.92023601842226","1.092699742922538","352.75682270779504"
"176999","270.852666807789","0.530831039189816","352.5541467044979"
"177999","271.6828044064065","0.11647759469805052","347.69509478261364"
"178999","272.81695184719285","0.18358957083734354","353.79784185829874"
"179999","269.3629767911029","5.238906043100569","350.8543722204188"
"180999","230.86569663760088","40.27369254993973","353.25962803630415"
"181999","276.041196929305","33.76203016052374","356.76540507015284"
"182999","273.2492793159044","30.442658581048427","352.19845789976955"
"183999","269.20459735028163","7.534575865196946","350.07298734838855"
"184999","270.98924186365673","4.853616609485824","358.5045448972443"
"185999","272.0776529332371","-2.5955941795616533","353.91128258756544"
"186999","269.79033011994755","0.4157913537906766","352.2740692923125"
"187999","272.0820646045865","17.118844033857727","348.82691573158814"
"188999","275.56829219031073","5.693452404286277","356.9640258265408"
"189999","274.5725573505449","-3.874402419150269","353.3635641994746"
"190999","274.4737120152937","1.336306762306764","356.96808893115775"
"191999","276.97049718903605","1.1600261496425428","356.758743253889"
"192999","275.7994095431222","0.2825132844448529","357.37104204024115"
"193999","278.47096654280995","1.8713724484463754","355.2662835132145"
"194999","276.645728339833","0.013737459035545681","358.8599605209256"
"195999","280.39722889944176","0.9275248626388922","363.6614467047454"
"196999","274.90971925164797","1.3272736754983034","352.6536619462402"
"197999","282.4746188118826","10.82065607182106","361.23195713716916"
"198999","278.68845920487104","11.149634140717827","357.63027582330403"
"199999","280.2494316785784","11.771210080092859","354.975936141946"
"200999","284.7872092072502","23.339801819702647","361.9475120322013"
"201999","289.3850873373405","50.495392424577126","360.1615592705699"
"202999","287.08759368848484","29.978411767323053","361.86508060602796"
