"Step","env: HALFCHEETAH - ep_info/Final_position","env: HALFCHEETAH - ep_info/Final_position__MIN","env: HALFCHEETAH - ep_info/Final_position__MAX"
"999","-5.31806991922277","-10.844929997294885","-1.6981760981571699"
"1999","-4.175624892308779","-7.923176500950099","0.7284355887965922"
"2999","-3.7705633161214323","-8.221332750031378","1.843133229732857"
"3999","-3.420161705933181","-8.113176349032676","2.50579516969157"
"4999","-2.78437050117104","-5.336301248986415","0.4551663113152902"
"5999","-2.6757501935178327","-7.524871049244905","1.80704396010054"
"6999","-4.743534381715067","-10.121150045112422","-0.7716128119980281"
"7999","-4.7001078965597465","-11.110751616537943","-0.34923121673228613"
"8999","-5.701801188159327","-9.782072360703687","-3.7564166433808523"
"9999","-5.6966278134582735","-12.033747169767366","0.07955808723783658"
"10999","-2.9774351272947954","-5.494808267097704","-0.15074732687137482"
"11999","-1.7726570768580998","-2.8456291797015814","-0.726510099858525"
"12999","-0.17931976108403144","-3.492230539946688","4.819849715691151"
"13999","-1.016000986341709","-1.5740943063939818","-0.49581157976737666"
"14999","0.19008367111992536","-1.7118118827625828","2.5477077550347578"
"15999","1.6161062127506216","0.5127304149797326","3.112796867255185"
"16999","1.902097813494569","1.262543181402702","2.4706136130192"
"17999","2.191532862416035","0.59056782650951","2.8373551268138275"
"18999","2.736597982669878","2.0114890304121986","3.876323097197649"
"19999","6.364751193049999","3.337194916765684","10.492908040979765"
"20999","15.391255054728811","8.442630371658742","21.75175266820024"
"21999","22.82681713843719","11.347244090989511","30.26268012529845"
"22999","27.081096090155057","13.429572455975805","36.26900423463634"
"23999","30.591051189379744","15.98619377866265","39.50703447992313"
"24999","36.00692650420384","21.516669234436534","44.02862341424068"
"25999","41.89516644311344","29.21936820300899","49.12493094818021"
"26999","46.968786797127244","33.207921163439515","53.33010920865489"
"27999","49.814986905238634","38.680251510499865","56.001646369197154"
"28999","54.10709083805862","46.545787494479676","60.85788754004885"
"29999","59.23063629732336","53.249429617116604","66.33301776077813"
"30999","62.80136638943992","57.09752088457946","68.34272414085872"
"31999","65.97573579533875","61.28606008916266","71.09524358893998"
"32999","70.07866839836046","64.91433357756986","75.45914121469677"
"33999","74.11042181970558","67.08412181849324","83.34328092945324"
"34999","79.01711713533668","70.36514199621455","90.10810089762582"
"35999","82.59504521969951","71.83809344629536","91.16832903143398"
"36999","86.18655646132677","74.90816143655509","94.2813353048849"
"37999","91.3754978537714","78.50715714747771","99.49917783493254"
"38999","94.74353132173452","83.3153464257848","101.33457878069547"
