Run,Control
1.,0.
0.0927,0.9073
0.2933,0.7067
0.06,0.94
0.0775,0.9225
0.0506,0.9494
0.1542,0.8458
0.1687,0.8313
0.0619,0.9381
0.147,0.853
0.064,0.936
0.0438,0.9562
0.0593,0.9407
0.1428,0.8572
0.0598,0.9402
0.0598,0.9402
0.0432,0.9568
0.0555,0.9445
0.0634,0.9366
