"Step","env: HALFCHEETAH - lambdas/component_0","env: HALFCHEETAH - lambdas/component_0__MIN","env: HALFCHEETAH - lambdas/component_0__MAX"
"23400","0.5","0.5","0.5"
"23500","0.5","0.5","0.5"
"23600","0.5","0.5","0.5"
"23700","0.5","0.5","0.5"
"23800","0.5","0.5","0.5"
"23900","0.5","0.5","0.5"
"24000","0.5","0.5","0.5"
"24100","0.5","0.5","0.5"
"24200","0.5","0.5","0.5"
"24300","0.5","0.5","0.5"
"24400","0.5","0.5","0.5"
"24500","0.5","0.5","0.5"
"24600","0.5","0.5","0.5"
"24700","0.5","0.5","0.5"
"24800","0.5","0.5","0.5"
"24900","0.5","0.5","0.5"
"25000","0.5","0.5","0.5"
"25100","0.5","0.5","0.5"
"25200","0.5","0.5","0.5"
"25300","0.5","0.5","0.5"
"25400","0.5","0.5","0.5"
"25500","0.5","0.5","0.5"
"25600","0.5","0.5","0.5"
"25700","0.5","0.5","0.5"
"25800","0.5","0.5","0.5"
"25900","0.5","0.5","0.5"
"26000","0.5","0.5","0.5"
"26100","0.5","0.5","0.5"
"26200","0.5","0.5","0.5"
"26300","0.5","0.5","0.5"
"26400","0.5","0.5","0.5"
"26500","0.5","0.5","0.5"
"26600","0.5","0.5","0.5"
"26700","0.5","0.5","0.5"
"26800","0.5","0.5","0.5"
"26900","0.5","0.5","0.5"
"27000","0.5","0.5","0.5"
"27100","0.5","0.5","0.5"
"27200","0.5","0.5","0.5"
"27300","0.5","0.5","0.5"
"27400","0.5","0.5","0.5"
"27500","0.5","0.5","0.5"
"27600","0.5","0.5","0.5"
"27700","0.5","0.5","0.5"
"27800","0.5","0.5","0.5"
"27900","0.5","0.5","0.5"
"28000","0.5","0.5","0.5"
"28100","0.5","0.5","0.5"
"28200","0.5","0.5","0.5"
"28300","0.5","0.5","0.5"
"28400","0.5","0.5","0.5"
"28500","0.5","0.5","0.5"
"28600","0.5","0.5","0.5"
"28700","0.5","0.5","0.5"
"28800","0.5","0.5","0.5"
"28900","0.5","0.5","0.5"
"29000","0.5","0.5","0.5"
"29100","0.5","0.5","0.5"
"29200","0.5","0.5","0.5"
"29300","0.5","0.5","0.5"
"29400","0.5","0.5","0.5"
"29500","0.5","0.5","0.5"
"29600","0.5","0.5","0.5"
"29700","0.5","0.5","0.5"
"29800","0.5","0.5","0.5"
"29900","0.5","0.5","0.5"
"30000","0.5","0.5","0.5"
"30100","0.5","0.5","0.5"
"30200","0.5","0.5","0.5"
"30300","0.5","0.5","0.5"
"30400","0.5","0.5","0.5"
"30500","0.5","0.5","0.5"
"30600","0.5","0.5","0.5"
"30700","0.5","0.5","0.5"
"30800","0.5","0.5","0.5"
"30900","0.5","0.5","0.5"
"31000","0.5","0.5","0.5"
"31100","0.5","0.5","0.5"
"31200","0.5","0.5","0.5"
"31300","0.5","0.5","0.5"
"31400","0.5","0.5","0.5"
"31500","0.5","0.5","0.5"
"31600","0.5","0.5","0.5"
"31700","0.5","0.5","0.5"
"31800","0.5","0.5","0.5"
"31900","0.5","0.5","0.5"
"32000","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32100","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32200","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32300","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32400","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32500","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32600","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32700","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32800","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"32900","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33000","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33100","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33200","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33300","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33400","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33500","0.9999388456344604","0.9999383091926575","0.9999397397041321"
"33600","0.9999388337135315","0.9999383091926575","0.9999397397041321"
