objective_1,objective_2,__wall_time_min__
-0.952755494862879,-17.85532453666765,574.8837839802106
-0.3122584604734054,-18.02964621300871,574.8837839802106
-0.8047400646513948,-17.923891551953055,574.8837839802106
3.969488571850576,-18.59481953504569,574.8837839802106
393.6383268400241,-28.33836187320594,574.8837839802106
671.3945854632126,-34.98835425972184,574.8837839802106
697.7144038159225,-35.358092025369935,574.8837839802106
699.9789394704683,-35.539694168311506,574.8837839802106
700.0128632945474,-35.5805345851099,574.8837839802106
708.4520879673364,-35.73139636243177,574.8837839802106
709.6953415986093,-35.3890352334095,574.8837839802106
712.196008687024,-35.59295059301248,574.8837839802106
710.6804551208916,-36.02792883534289,574.8837839802106
717.8318356981035,-36.117687247402955,574.8837839802106
713.509358628391,-35.758988493128435,574.8837839802106
714.2454938994954,-36.3062965779669,574.8837839802106
723.9901931218512,-36.004303581134494,574.8837839802106
709.6477670537366,-35.72793919391415,574.8837839802106
723.6850814150996,-36.25782132425752,574.8837839802106
707.3663444075908,-36.07900255400536,574.8837839802106
716.6507469631324,-36.271776579842665,574.8837839802106
733.2734603906923,-35.96138898709519,574.8837839802106
714.8121973041677,-36.20021234660253,574.8837839802106
705.4668114233879,-36.12636320641195,574.8837839802106
724.0571732560754,-36.51371876246435,574.8837839802106
724.8989290404658,-36.052271877668,574.8837839802106
725.0868749972782,-36.291811642385525,574.8837839802106
713.4033086570213,-36.352026738532274,574.8837839802106
712.7619224835595,-36.19038448197057,574.8837839802106
722.1097963985405,-36.112397871633945,574.8837839802106
725.3823885883728,-36.062355558523265,574.8837839802106
708.4750109762302,-36.49967614660945,574.8837839802106
714.4010717170662,-36.18757963805463,574.8837839802106
724.424792790605,-36.25788469613731,574.8837839802106
726.6861261273094,-36.30887940877883,574.8837839802106
725.7230878333387,-36.20343546326276,574.8837839802106
722.1623163672746,-36.468724317521534,574.8837839802106
729.7513247172756,-36.11577853923954,574.8837839802106
723.3501938547706,-36.651914787852135,574.8837839802106
730.326370103762,-36.26778617217583,574.8837839802106
729.3268534032919,-36.147167082780655,574.8837839802106
722.3813244366611,-36.09163768984026,574.8837839802106
721.6204253902949,-36.17390806728381,574.8837839802106
733.9375699375639,-36.7640136535008,574.8837839802106
716.272834127798,-36.5296295233019,574.8837839802106
724.9987546587305,-35.7799083959183,574.8837839802106
721.7091872895311,-36.540642113988085,574.8837839802106
727.6671507348481,-36.638998407612874,574.8837839802106
720.2179771205759,-36.127023787800496,574.8837839802106
720.5223522754095,-36.72184484199097,574.8837839802106
720.7750522387505,-36.72119439224325,574.8837839802106
718.6636288307549,-36.14189473951219,574.8837839802106
728.001025548263,-36.30092181534828,574.8837839802106
731.4057195303088,-36.49163439668018,574.8837839802106
724.0349263939249,-36.387112556169996,574.8837839802106
707.3671871736412,-36.081672446594304,574.8837839802106
711.177671092964,-36.82192492177383,574.8837839802106
719.0713964088529,-36.643477478342035,574.8837839802106
710.174493051233,-36.112213893014996,574.8837839802106
726.1283185114851,-36.83351684945101,574.8837839802106
721.5545579418016,-36.11344931415552,574.8837839802106
721.0065118203056,-36.2330721204723,574.8837839802106
720.2308950454869,-36.38832131278987,574.8837839802106
731.149479990406,-36.41163218326729,574.8837839802106
723.018490971747,-36.1473282954581,574.8837839802106
718.5933075866021,-36.305830284344665,574.8837839802106
715.0381590747216,-36.602665316388176,574.8837839802106
709.4552448280389,-36.81811101045537,574.8837839802106
713.1879856406479,-36.27396074726321,574.8837839802106
721.4084750047128,-36.309744789135586,574.8837839802106
730.6440112788696,-36.091356677412385,574.8837839802106
715.5162295629386,-36.40764502152233,574.8837839802106
722.1234732066805,-36.12646298409872,574.8837839802106
723.5503384846845,-36.2683424872529,574.8837839802106
711.5794127857255,-36.59205210897085,574.8837839802106
730.6203279884066,-37.00691580955417,574.8837839802106
712.367210783367,-37.062811692230255,574.8837839802106
718.6773535735323,-36.741142367592786,574.8837839802106
732.8641567498038,-36.3109742551333,574.8837839802106
715.4021280003246,-36.168793483230544,574.8837839802106
732.0531445542874,-36.3868367398547,574.8837839802106
722.2224770787695,-36.50824415130337,574.8837839802106
721.36960001447,-36.25314683994229,574.8837839802106
706.6300547457183,-36.80398317898139,574.8837839802106
721.9659698477656,-36.195096741487575,574.8837839802106
726.1004936231999,-36.54279663150364,574.8837839802106
725.1183463559195,-36.23342089576695,574.8837839802106
725.2872728560236,-36.4416137884743,574.8837839802106
715.9620315512293,-36.55227203387776,574.8837839802106
733.1423203926475,-36.11293134330672,574.8837839802106
729.8879396295408,-35.870639749908335,574.8837839802106
724.1665314067795,-36.2011111517606,574.8837839802106
724.2995284057863,-36.17188819717417,574.8837839802106
722.170246749901,-36.55016859374937,574.8837839802106
723.8633667341143,-36.0306158439188,574.8837839802106
734.0702512611985,-36.235439162198375,574.8837839802106
728.0623134398163,-36.81775613027012,574.8837839802106
719.6984520230908,-36.4042586650663,574.8837839802106
725.8729014116922,-36.31444019413293,574.8837839802106
725.7938764166436,-36.29871837571727,574.8837839802106
