objective_1,objective_2,objective_3,__wall_time_min__
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.2873984068632126,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.2841954816132784,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
3.945161353158255e-09,4.948778453695013e-09,-1.1190164483750444,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-1.0691501742362486,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-1.084277084096477,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.2841954816132784,468.1531291802724
0.0,0.0,-2.600654561800067,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-1.300958643849649,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
2.983487901175863e-10,4.96148686579545e-09,-1.444982725659753,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
7.430636906065047e-05,0.000973841268569231,-1.5722398213558428,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
5.105595057841583e-10,3.7011556486277185e-09,-2.6131328238976677,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-9.119336755021923,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-9.896982214711194,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-10.133889055603241,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-10.24571120584346,468.1531291802724
0.0,0.0,-0.28092719055712223,468.1531291802724
0.0,0.0,-10.4030693054316,468.1531291802724
0.0,0.0,-10.582631401221617,468.1531291802724
